threads,size,nb,ib,GFlops
4,4096,20,2,2.5527
4,4096,20,4,4.5223
4,4096,20,6,5.5373
4,4096,20,10,8.242
4,4096,20,12,8.3467
4,4096,20,14,8.014
4,4096,20,18,8.1776
4,4096,22,2,3.0327
4,4096,22,4,5.0661
4,4096,22,6,6.3568
4,4096,22,10,7.725
4,4096,22,12,9.3368
4,4096,22,14,9.4081
4,4096,22,18,9.5213
4,4096,22,20,9.876
4,4096,26,2,3.5096
4,4096,26,4,6.4142
4,4096,26,6,7.7696
4,4096,26,10,11.5362
4,4096,26,12,11.1523
4,4096,26,14,13.3916
4,4096,26,18,13.4438
4,4096,26,20,13.8269
4,4096,26,22,13.5585
4,4096,28,2,3.8416
4,4096,28,4,7.047
4,4096,28,6,9.2721
4,4096,28,10,13.1081
4,4096,28,12,13.3842
4,4096,28,14,16.0005
4,4096,28,18,16.3984
4,4096,28,20,16.6506
4,4096,28,22,16.0656
4,4096,28,26,16.1901
4,4096,30,2,4.2122
4,4096,30,4,7.8618
4,4096,30,6,10.8113
4,4096,30,10,15.2138
4,4096,30,12,15.3353
4,4096,30,14,15.7843
4,4096,30,18,18.5292
4,4096,30,20,19.4959
4,4096,30,22,19.1284
4,4096,30,26,19.2716
4,4096,30,28,19.3614
4,4096,34,2,4.8369
4,4096,34,4,9.3191
4,4096,34,6,12.7961
4,4096,34,10,16.8256
4,4096,34,12,19.9343
4,4096,34,14,19.9426
4,4096,34,18,23.8031
4,4096,34,20,23.9734
4,4096,34,22,23.6138
4,4096,34,26,23.7867
4,4096,34,28,24.1466
4,4096,34,30,23.8889
4,4096,36,2,5.2239
4,4096,36,4,9.6923
4,4096,36,6,15.1489
4,4096,36,10,19.2048
4,4096,36,12,22.292
4,4096,36,14,22.69
4,4096,36,18,26.552
4,4096,36,20,27.4594
4,4096,36,22,26.8555
4,4096,36,26,27.6592
4,4096,36,28,27.1783
4,4096,36,30,26.8382
4,4096,36,34,26.7249
4,4096,38,2,5.5058
4,4096,38,4,10.0582
4,4096,38,6,13.3093
4,4096,38,10,21.0219
4,4096,38,12,21.4135
4,4096,38,14,25.3684
4,4096,38,18,24.6523
4,4096,38,20,30.6362
4,4096,38,22,29.9271
4,4096,38,26,29.978
4,4096,38,28,30.4463
4,4096,38,30,30.9186
4,4096,38,34,30.6142
4,4096,38,36,29.4322
4,4096,42,2,6.1637
4,4096,42,4,11.1888
4,4096,42,6,16.2867
4,4096,42,10,21.1382
4,4096,42,12,25.5941
4,4096,42,14,30.2834
4,4096,42,18,30.1268
4,4096,42,20,30.959
4,4096,42,22,35.9115
4,4096,42,26,36.6639
4,4096,42,28,35.9105
4,4096,42,30,36.025
4,4096,42,34,35.9812
4,4096,42,36,36.2575
4,4096,42,38,35.4752
4,4096,44,2,7.3062
4,4096,44,4,11.8813
4,4096,44,6,15.8113
4,4096,44,10,24.5457
4,4096,44,12,28.6559
4,4096,44,14,26.8833
4,4096,44,18,33.1487
4,4096,44,20,32.0385
4,4096,44,22,38.5994
4,4096,44,26,37.8241
4,4096,44,28,39.1544
4,4096,44,30,37.8958
4,4096,44,34,38.3496
4,4096,44,36,38.4435
4,4096,44,38,37.4487
4,4096,44,42,37.882
4,4096,46,2,6.646
4,4096,46,4,13.8362
4,4096,46,6,19.3151
4,4096,46,10,25.0501
4,4096,46,12,30.5855
4,4096,46,14,23.8828
4,4096,46,18,35.2438
4,4096,46,20,35.8068
4,4096,46,22,35.0098
4,4096,46,26,41.468
4,4096,46,28,41.6475
4,4096,46,30,40.3182
4,4096,46,34,41.1305
4,4096,46,36,42.7277
4,4096,46,38,40.9831
4,4096,46,42,39.356
4,4096,46,44,41.815
4,4096,50,2,7.9475
4,4096,50,4,14.8749
4,4096,50,6,19.9729
4,4096,50,10,29.3586
4,4096,50,12,28.8525
4,4096,50,14,35.2444
4,4096,50,18,39.5566
4,4096,50,20,40.1599
4,4096,50,22,38.406
4,4096,50,26,49.1192
4,4096,50,28,48.1928
4,4096,50,30,47.1123
4,4096,50,34,47.4804
4,4096,50,36,45.2526
4,4096,50,38,47.0812
4,4096,50,42,46.7199
4,4096,50,44,46.1143
4,4096,50,46,42.8298
4,4096,52,2,7.6227
4,4096,52,4,15.7487
4,4096,52,6,22.0151
4,4096,52,10,29.3143
4,4096,52,12,31.9763
4,4096,52,14,37.303
4,4096,52,18,43.7266
4,4096,52,20,43.6834
4,4096,52,22,42.9816
4,4096,52,26,49.8365
4,4096,52,28,51.4147
4,4096,52,30,50.517
4,4096,52,34,50.8426
4,4096,52,36,52.0588
4,4096,52,38,49.8988
4,4096,52,42,48.5301
4,4096,52,44,49.7518
4,4096,52,46,51.2532
4,4096,52,50,46.9866
4,4096,54,2,7.8767
4,4096,54,4,15.0159
4,4096,54,6,21.4974
4,4096,54,10,31.904
4,4096,54,12,33.3503
4,4096,54,14,38.938
4,4096,54,18,44.859
4,4096,54,20,45.9796
4,4096,54,22,44.1097
4,4096,54,26,46.5478
4,4096,54,28,53.8176
4,4096,54,30,54.4827
4,4096,54,34,53.2409
4,4096,54,36,52.6131
4,4096,54,38,53.7337
4,4096,54,42,50.303
4,4096,54,44,54.1677
4,4096,54,46,52.561
4,4096,54,50,51.5439
4,4096,54,52,52.1881
4,4096,58,2,8.4573
4,4096,58,4,17.2795
4,4096,58,6,24.1108
4,4096,58,10,36.0436
4,4096,58,12,40.5963
4,4096,58,14,39.1126
4,4096,58,18,45.2279
4,4096,58,20,46.7045
4,4096,58,22,48.7999
4,4096,58,26,49.2142
4,4096,58,28,52.716
4,4096,58,30,56.3767
4,4096,58,34,58.3349
4,4096,58,36,57.7895
4,4096,58,38,56.6991
4,4096,58,42,57.2738
4,4096,58,44,57.5802
4,4096,58,46,56.9763
4,4096,58,50,55.9286
4,4096,58,52,57.5519
4,4096,58,54,54.2194
4,4096,60,2,9.9476
4,4096,60,4,16.4383
4,4096,60,6,26.7784
4,4096,60,10,34.8283
4,4096,60,12,42.5538
4,4096,60,14,41.8929
4,4096,60,18,46.8797
4,4096,60,20,54.0224
4,4096,60,22,53.7452
4,4096,60,26,55.8437
4,4096,60,28,56.2758
4,4096,60,30,60.4291
4,4096,60,34,60.4262
4,4096,60,36,61.9649
4,4096,60,38,61.0479
4,4096,60,42,58.0454
4,4096,60,44,60.3748
4,4096,60,46,58.3637
4,4096,60,50,57.7575
4,4096,60,52,61.8259
4,4096,60,54,58.5477
4,4096,60,58,56.3807
4,4096,62,2,9.862
4,4096,62,4,19.0989
4,4096,62,6,24.9012
4,4096,62,10,34.3714
4,4096,62,12,38.5751
4,4096,62,14,41.5454
4,4096,62,18,46.5603
4,4096,62,20,48.4274
4,4096,62,22,55.493
4,4096,62,26,52.8529
4,4096,62,28,54.9507
4,4096,62,30,53.5459
4,4096,62,34,59.2705
4,4096,62,36,62.4215
4,4096,62,38,62.6592
4,4096,62,42,57.3169
4,4096,62,44,61.629
4,4096,62,46,59.648
4,4096,62,50,61.2806
4,4096,62,52,59.8181
4,4096,62,54,59.1206
4,4096,62,58,55.3157
4,4096,62,60,57.4364
4,4096,66,2,10.4345
4,4096,66,4,18.0284
4,4096,66,6,28.6888
4,4096,66,10,37.3335
4,4096,66,12,40.356
4,4096,66,14,45.0131
4,4096,66,18,52.0109
4,4096,66,20,53.8299
4,4096,66,22,60.6095
4,4096,66,26,59.0626
4,4096,66,28,60.6424
4,4096,66,30,59.6423
4,4096,66,34,69.0148
4,4096,66,36,66.9284
4,4096,66,38,66.1958
4,4096,66,42,65.8515
4,4096,66,44,65.0264
4,4096,66,46,67.1019
4,4096,66,50,64.7544
4,4096,66,52,63.5781
4,4096,66,54,62.7164
4,4096,66,58,62.3931
4,4096,66,60,62.9338
4,4096,66,62,61.9337
4,4096,68,2,9.728
4,4096,68,4,18.8773
4,4096,68,6,26.8437
4,4096,68,10,41.8464
4,4096,68,12,44.1743
4,4096,68,14,47.8986
4,4096,68,18,54.8126
4,4096,68,20,57.0638
4,4096,68,22,55.9711
4,4096,68,26,60.4483
4,4096,68,28,62.4602
4,4096,68,30,61.5292
4,4096,68,34,68.327
4,4096,68,36,69.0822
4,4096,68,38,66.149
4,4096,68,42,66.4192
4,4096,68,44,68.2269
4,4096,68,46,67.5739
4,4096,68,50,66.2125
4,4096,68,52,66.911
4,4096,68,54,64.8504
4,4096,68,58,63.326
4,4096,68,60,68.9336
4,4096,68,62,63.2207
4,4096,68,66,60.6839
4,4096,70,2,10.0881
4,4096,70,4,19.1406
4,4096,70,6,27.0526
4,4096,70,10,40.2584
4,4096,70,12,47.3552
4,4096,70,14,51.0663
4,4096,70,18,57.842
4,4096,70,20,58.4077
4,4096,70,22,58.1494
4,4096,70,26,61.3863
4,4096,70,28,64.9957
4,4096,70,30,64.3324
4,4096,70,34,63.0096
4,4096,70,36,69.1217
4,4096,70,38,69.1379
4,4096,70,42,71.355
4,4096,70,44,70.5853
4,4096,70,46,69.1496
4,4096,70,50,69.6817
4,4096,70,52,68.1918
4,4096,70,54,67.1419
4,4096,70,58,66.2477
4,4096,70,60,66.3589
4,4096,70,62,67.0864
4,4096,70,66,66.4164
4,4096,70,68,67.1648
4,4096,74,2,10.6182
4,4096,74,4,20.2338
4,4096,74,6,28.9829
4,4096,74,10,39.5115
4,4096,74,12,44.9526
4,4096,74,14,49.318
4,4096,74,18,54.5891
4,4096,74,20,61.2386
4,4096,74,22,62.6057
4,4096,74,26,66.2625
4,4096,74,28,66.3674
4,4096,74,30,66.2652
4,4096,74,34,64.7923
4,4096,74,36,66.7349
4,4096,74,38,73.2811
4,4096,74,42,73.0673
4,4096,74,44,73.5047
4,4096,74,46,69.8963
4,4096,74,50,71.267
4,4096,74,52,71.439
4,4096,74,54,68.8066
4,4096,74,58,67.4802
4,4096,74,60,67.3419
4,4096,74,62,69.3952
4,4096,74,66,68.1431
4,4096,74,68,71.4855
4,4096,74,70,67.9627
4,4096,76,2,11.1401
4,4096,76,4,20.7392
4,4096,76,6,31.3968
4,4096,76,10,41.4997
4,4096,76,12,47.162
4,4096,76,14,48.5681
4,4096,76,18,55.667
4,4096,76,20,63.2981
4,4096,76,22,63.1231
4,4096,76,26,71.639
4,4096,76,28,70.6942
4,4096,76,30,67.6163
4,4096,76,34,69.2469
4,4096,76,36,68.6933
4,4096,76,38,75.1594
4,4096,76,42,74.0848
4,4096,76,44,77.7294
4,4096,76,46,73.992
4,4096,76,50,71.1455
4,4096,76,52,77.6308
4,4096,76,54,74.4196
4,4096,76,58,70.3682
4,4096,76,60,72.471
4,4096,76,62,71.5723
4,4096,76,66,67.4272
4,4096,76,68,71.6017
4,4096,76,70,66.6126
4,4096,76,74,69.6605
4,4096,78,2,12.8323
4,4096,78,4,21.0685
4,4096,78,6,29.8899
4,4096,78,10,45.9989
4,4096,78,12,48.5427
4,4096,78,14,53.5501
4,4096,78,18,57.1829
4,4096,78,20,66.267
4,4096,78,22,62.985
4,4096,78,26,68.2284
4,4096,78,28,69.556
4,4096,78,30,71.1603
4,4096,78,34,72.3958
4,4096,78,36,72.1076
4,4096,78,38,68.3238
4,4096,78,42,75.2341
4,4096,78,44,76.1315
4,4096,78,46,70.8972
4,4096,78,50,75.4255
4,4096,78,52,74.0989
4,4096,78,54,73.5301
4,4096,78,58,69.1329
4,4096,78,60,71.9975
4,4096,78,62,69.8456
4,4096,78,66,71.5993
4,4096,78,68,74.449
4,4096,78,70,72.1443
4,4096,78,74,69.4357
4,4096,78,76,70.2132
4,4096,82,2,13.7402
4,4096,82,4,22.5966
4,4096,82,6,31.524
4,4096,82,10,43.1451
4,4096,82,12,55.7981
4,4096,82,14,56.1363
4,4096,82,18,62.1288
4,4096,82,20,62.6664
4,4096,82,22,68.3259
4,4096,82,26,68.3126
4,4096,82,28,77.2142
4,4096,82,30,73.5808
4,4096,82,34,70.796
