size,nb,ib,threads,GFlops
4096,16,8,4,0.0
4096,24,8,4,9.9433
4096,24,16,4,12.3078
4096,32,8,4,14.9323
4096,32,16,4,22.5664
4096,32,24,4,22.3397
4096,40,8,4,21.2615
4096,40,16,4,27.8989
4096,40,24,4,33.4486
4096,40,32,4,34.24
4096,48,8,4,26.352
4096,48,16,4,39.8069
4096,48,24,4,47.5663
4096,48,32,4,46.3916
4096,48,40,4,44.9401
4096,56,8,4,28.3309
4096,56,16,4,42.4867
4096,56,24,4,49.5279
4096,56,32,4,57.2424
4096,56,40,4,56.0259
4096,56,48,4,56.026
4096,64,8,4,36.3083
4096,64,16,4,53.0788
4096,64,24,4,61.5839
4096,64,32,4,67.4086
4096,64,40,4,65.4833
4096,64,48,4,67.0325
4096,64,56,4,63.3489
4096,72,8,4,36.2695
4096,72,16,4,53.9199
4096,72,24,4,69.7209
4096,72,32,4,68.0786
4096,72,40,4,75.7114
4096,72,48,4,74.7589
4096,72,56,4,69.8035
4096,72,64,4,69.4324
4096,80,8,4,39.3508
4096,80,16,4,60.7816
4096,80,24,4,68.0934
4096,80,32,4,74.9475
4096,80,40,4,79.4621
4096,80,48,4,81.3995
4096,80,56,4,77.1132
4096,80,64,4,72.7266
4096,80,72,4,71.9313
4096,88,8,4,47.681
4096,88,16,4,63.9593
4096,88,24,4,76.5543
4096,88,32,4,82.6471
4096,88,40,4,82.5372
4096,88,48,4,85.8575
4096,88,56,4,84.742
4096,88,64,4,81.7386
4096,88,72,4,81.9403
4096,88,80,4,75.8734
4096,96,8,4,47.2978
4096,96,16,4,71.7743
4096,96,24,4,78.4343
4096,96,32,4,87.7963
4096,96,40,4,84.5607
4096,96,48,4,90.8424
4096,96,56,4,88.527
4096,96,64,4,83.4933
4096,96,72,4,89.9725
4096,96,80,4,81.586
4096,96,88,4,80.0621
4096,104,8,4,54.87
4096,104,16,4,72.8916
4096,104,24,4,83.8375
4096,104,32,4,86.9698
4096,104,40,4,88.8717
4096,104,48,4,88.3338
4096,104,56,4,89.1573
4096,104,64,4,88.5672
4096,104,72,4,89.1425
4096,104,80,4,85.4815
4096,104,88,4,84.9351
4096,104,96,4,81.5855
4096,112,8,4,52.9256
4096,112,16,4,78.151
4096,112,24,4,88.5901
4096,112,32,4,93.9362
4096,112,40,4,92.8392
4096,112,48,4,95.1811
4096,112,56,4,90.8065
4096,112,64,4,91.0094
4096,112,72,4,91.2805
4096,112,80,4,90.9028
4096,112,88,4,85.3295
4096,112,96,4,85.9029
4096,112,104,4,89.466
4096,120,8,4,58.8571
4096,120,16,4,80.9752
4096,120,24,4,95.6832
4096,120,32,4,95.5422
4096,120,40,4,83.8732
4096,120,48,4,92.186
4096,120,56,4,89.4074
4096,120,64,4,92.6508
4096,120,72,4,95.9652
4096,120,80,4,95.4425
4096,120,88,4,89.7976
4096,120,96,4,93.2889
4096,120,104,4,90.411
4096,120,112,4,79.6422
4096,128,8,4,58.5681
4096,128,16,4,85.2163
4096,128,24,4,92.7324
4096,128,32,4,99.2555
4096,128,40,4,95.227
4096,128,48,4,98.8534
4096,128,56,4,96.0626
4096,128,64,4,91.3307
4096,128,72,4,91.0881
4096,128,80,4,96.1098
4096,128,88,4,90.4319
4096,128,96,4,91.7024
4096,128,104,4,92.0122
4096,128,112,4,87.46
4096,128,120,4,86.4661
4096,136,8,4,65.2856
4096,136,16,4,83.9032
4096,136,24,4,93.4835
4096,136,32,4,98.5916
4096,136,40,4,100.5468
4096,136,48,4,90.2333
4096,136,56,4,94.4605
4096,136,64,4,81.5126
4096,136,72,4,96.1995
4096,136,80,4,95.249
4096,136,88,4,95.8209
4096,136,96,4,93.323
4096,136,104,4,77.0449
4096,136,112,4,90.3309
4096,136,120,4,91.0356
4096,136,128,4,84.0132
4096,144,8,4,66.0559
4096,144,16,4,88.9999
4096,144,24,4,101.1811
4096,144,32,4,96.6278
4096,144,40,4,93.6719
4096,144,48,4,101.1433
4096,144,56,4,101.1282
4096,144,64,4,81.9752
4096,144,72,4,90.5178
4096,144,80,4,86.1785
4096,144,88,4,84.7759
4096,144,96,4,89.6643
4096,144,104,4,81.515
4096,144,112,4,95.9125
4096,144,120,4,83.8066
4096,144,128,4,87.5221
4096,144,136,4,89.514
4096,152,8,4,68.9466
4096,152,16,4,91.5023
4096,152,24,4,103.9495
4096,152,32,4,101.0757
4096,152,40,4,98.2516
4096,152,48,4,102.9144
4096,152,56,4,86.8067
4096,152,64,4,87.5663
4096,152,72,4,86.6245
4096,152,80,4,91.2487
4096,152,88,4,86.297
4096,152,96,4,88.4292
4096,152,104,4,89.083
4096,152,112,4,82.3554
4096,152,120,4,95.2674
4096,152,128,4,85.9116
