size,nb,ib,threads,GFlops
8192,16,8,8,0.0
8192,24,8,8,0.0
8192,24,16,8,0.0
8192,32,8,8,0.0
8192,32,16,8,0.0
8192,32,24,8,0.0
8192,40,8,8,0.0
8192,40,16,8,0.0
8192,40,24,8,0.0
8192,40,32,8,0.0
8192,48,8,8,30.3729
8192,48,16,8,49.2861
8192,48,24,8,58.1812
8192,48,32,8,57.9952
8192,48,40,8,56.7551
8192,56,8,8,34.8617
8192,56,16,8,48.6479
8192,56,24,8,57.4278
8192,56,32,8,65.541
8192,56,40,8,63.9892
8192,56,48,8,65.7415
8192,64,8,8,40.1107
8192,64,16,8,59.8666
8192,64,24,8,67.9408
8192,64,32,8,77.709
8192,64,40,8,75.6951
8192,64,48,8,74.4365
8192,64,56,8,68.0223
8192,72,8,8,44.6704
8192,72,16,8,61.1969
8192,72,24,8,77.8607
8192,72,32,8,77.1829
8192,72,40,8,85.7555
8192,72,48,8,82.8402
8192,72,56,8,79.0693
8192,72,64,8,79.6719
8192,80,8,8,48.7773
8192,80,16,8,71.3493
8192,80,24,8,79.1726
8192,80,32,8,84.964
8192,80,40,8,90.9373
8192,80,48,8,89.9082
8192,80,56,8,87.7656
8192,80,64,8,82.9817
8192,80,72,8,86.8847
8192,88,8,8,51.2385
8192,88,16,8,73.3889
8192,88,24,8,85.8734
8192,88,32,8,91.902
8192,88,40,8,91.4846
8192,88,48,8,94.7811
8192,88,56,8,91.6078
8192,88,64,8,91.2847
8192,88,72,8,89.669
8192,88,80,8,88.8306
8192,96,8,8,55.4336
8192,96,16,8,81.5986
8192,96,24,8,94.7079
8192,96,32,8,98.9522
8192,96,40,8,95.047
8192,96,48,8,98.3577
8192,96,56,8,96.4602
8192,96,64,8,94.7805
8192,96,72,8,95.9391
8192,96,80,8,91.3573
8192,96,88,8,91.0097
8192,104,8,8,60.313
8192,104,16,8,86.4091
8192,104,24,8,94.1834
8192,104,32,8,98.6767
8192,104,40,8,102.0003
8192,104,48,8,101.2526
8192,104,56,8,99.9163
8192,104,64,8,95.8836
8192,104,72,8,97.8497
8192,104,80,8,97.2919
8192,104,88,8,89.1599
8192,104,96,8,91.2768
8192,112,8,8,63.1897
8192,112,16,8,88.9729
8192,112,24,8,99.598
8192,112,32,8,102.1231
8192,112,40,8,104.7956
8192,112,48,8,103.4097
8192,112,56,8,103.4378
8192,112,64,8,101.5761
8192,112,72,8,102.0852
8192,112,80,8,99.2298
8192,112,88,8,99.4308
8192,112,96,8,96.6779
8192,112,104,8,92.9253
8192,120,8,8,66.3142
8192,120,16,8,90.7254
8192,120,24,8,104.3965
8192,120,32,8,107.5725
8192,120,40,8,113.9425
8192,120,48,8,109.4742
8192,120,56,8,98.104
8192,120,64,8,98.8634
8192,120,72,8,105.7777
8192,120,80,8,97.4244
8192,120,88,8,94.4491
8192,120,96,8,93.9686
8192,120,104,8,89.4964
8192,120,112,8,92.9451
8192,128,8,8,68.8996
8192,128,16,8,96.145
8192,128,24,8,104.3549
8192,128,32,8,110.8747
8192,128,40,8,111.8169
8192,128,48,8,109.1401
8192,128,56,8,91.4345
8192,128,64,8,100.6245
8192,128,72,8,100.4257
8192,128,80,8,97.4007
8192,128,88,8,91.0767
8192,128,96,8,91.0258
8192,128,104,8,89.1649
8192,128,112,8,85.9009
8192,128,120,8,84.9448
8192,136,8,8,71.2602
8192,136,16,8,95.3024
8192,136,24,8,106.537
8192,136,32,8,113.2711
8192,136,40,8,115.973
8192,136,48,8,110.9064
8192,136,56,8,100.0995
8192,136,64,8,95.9023
8192,136,72,8,96.5251
8192,136,80,8,84.1758
8192,136,88,8,90.4326
8192,136,96,8,88.5976
8192,136,104,8,86.8375
8192,136,112,8,93.2088
8192,136,120,8,90.7491
8192,136,128,8,91.1569
8192,144,8,8,72.663
8192,144,16,8,101.5078
8192,144,24,8,116.662
8192,144,32,8,113.073
8192,144,40,8,119.1678
8192,144,48,8,115.9469
8192,144,56,8,105.4938
8192,144,64,8,101.3125
8192,144,72,8,105.0883
8192,144,80,8,101.8688
8192,144,88,8,89.0324
8192,144,96,8,93.3033
8192,144,104,8,94.965
8192,144,112,8,105.1277
8192,144,120,8,101.7273
8192,144,128,8,97.8897
8192,144,136,8,97.3175
8192,152,8,8,75.2411
8192,152,16,8,102.6626
8192,152,24,8,114.2977
8192,152,32,8,120.0234
8192,152,40,8,121.6902
8192,152,48,8,115.875
8192,152,56,8,96.7834
8192,152,64,8,95.5082
8192,152,72,8,93.0092
8192,152,80,8,96.2166
8192,152,88,8,90.3827
8192,152,96,8,79.9175
8192,152,104,8,95.2708
8192,152,112,8,90.5542
8192,152,120,8,93.449
8192,152,128,8,90.1857
8192,152,136,8,87.5242
8192,152,144,8,90.4267
8192,160,8,8,78.6748
8192,160,16,8,101.9627
8192,160,24,8,116.3816
8192,160,32,8,118.1415
8192,160,40,8,122.2637
8192,160,48,8,116.2741
8192,160,56,8,97.8872
8192,160,64,8,91.9088
8192,160,72,8,90.4722
8192,160,80,8,88.3731
8192,160,88,8,99.0164
8192,160,96,8,95.9475
8192,160,104,8,99.6521
8192,160,112,8,93.1878
8192,160,120,8,92.1268
8192,160,128,8,92.3853
8192,160,136,8,91.3859
8192,160,144,8,89.7508
8192,160,152,8,86.2484
8192,168,8,8,82.2395
8192,168,16,8,109.1945
8192,168,24,8,121.8671
8192,168,32,8,118.9586
8192,168,40,8,122.8768
8192,168,48,8,103.8407
8192,168,56,8,103.8529
8192,168,64,8,98.6301
8192,168,72,8,99.2426
8192,168,80,8,96.2765
8192,168,88,8,110.5395
8192,168,96,8,107.5064
8192,168,104,8,109.2237
8192,168,112,8,105.8713
8192,168,120,8,103.3925
8192,168,128,8,101.8432
8192,168,136,8,99.4164
8192,168,144,8,100.7482
8192,168,152,8,98.9747
8192,168,160,8,96.4684
8192,176,8,8,81.3004
8192,176,16,8,108.9625
8192,176,24,8,120.2229
8192,176,32,8,121.9846
8192,176,40,8,125.4373
8192,176,48,8,114.2595
8192,176,56,8,87.367
8192,176,64,8,93.8273
8192,176,72,8,89.6191
8192,176,80,8,93.935
8192,176,88,8,98.3226
8192,176,96,8,98.8313
8192,176,104,8,97.3722
8192,176,112,8,98.1577
8192,176,120,8,95.2329
8192,176,128,8,87.598
8192,176,136,8,91.0345
8192,176,144,8,81.1854
8192,176,152,8,86.2829
8192,176,160,8,86.2438
8192,176,168,8,84.4411
8192,184,8,8,85.1565
8192,184,16,8,107.7299
8192,184,24,8,121.1845
8192,184,32,8,124.5745
8192,184,40,8,123.7681
8192,184,48,8,115.8402
8192,184,56,8,87.5499
8192,184,64,8,96.6587
8192,184,72,8,94.2662
8192,184,80,8,96.2073
8192,184,88,8,94.8602
8192,184,96,8,93.562
8192,184,104,8,89.9405
8192,184,112,8,87.6297
8192,184,120,8,84.1554
8192,184,128,8,85.4878
8192,184,136,8,80.4402
8192,184,144,8,81.3245
8192,184,152,8,87.6345
8192,184,160,8,85.0061
8192,184,168,8,84.0741
8192,184,176,8,78.6362
8192,192,8,8,89.8244
8192,192,16,8,109.974
8192,192,24,8,122.2196
8192,192,32,8,125.9865
8192,192,40,8,125.0806
8192,192,48,8,115.7632
8192,192,56,8,83.4905
8192,192,64,8,96.1673
8192,192,72,8,93.4519
8192,192,80,8,93.6711
8192,192,88,8,94.9994
8192,192,96,8,103.4916
8192,192,104,8,103.2801
8192,192,112,8,97.5873
8192,192,120,8,96.085
