threads,size,nb,ib,GFlops
8,4096,4,2,0.0
8,4096,6,2,0.0
8,4096,8,2,0.0
8,4096,10,2,0.0
8,4096,12,2,0.0
8,4096,14,2,0.0
8,4096,16,2,0.0
8,4096,18,2,0.0
8,4096,20,16,10.940674999999999
8,4096,22,20,12.303149999999999
8,4096,24,20,15.818449999999999
8,4096,26,20,18.781425
8,4096,28,22,22.548675
8,4096,30,24,25.2407
8,4096,32,16,29.400425
8,4096,34,18,32.0569
8,4096,36,24,37.174350000000004
8,4096,38,24,40.266124999999995
8,4096,40,32,44.857325
8,4096,42,32,48.262975
8,4096,44,24,51.72205
8,4096,46,30,54.297275
8,4096,48,24,61.146625
8,4096,50,26,62.222199999999994
8,4096,52,28,66.83215
8,4096,54,30,70.17345
8,4096,56,32,73.547475
8,4096,58,34,75.2149
8,4096,60,36,79.58525
8,4096,62,32,80.372125
8,4096,64,32,87.63344999999998
8,4096,66,34,86.82025
8,4096,68,40,88.72695000000002
8,4096,70,38,91.2559
8,4096,72,40,96.494975
8,4096,74,40,93.67647500000001
8,4096,76,44,98.01790000000001
8,4096,78,46,97.536
8,4096,80,40,102.376675
8,4096,82,42,102.647125
8,4096,84,44,105.08449999999999
8,4096,86,46,101.98140000000001
8,4096,88,44,105.1045
8,4096,90,48,101.37242499999999
8,4096,92,46,107.01835
8,4096,94,32,106.767875
8,4096,96,52,111.06912499999999
8,4096,98,50,109.15892500000001
8,4096,100,52,110.170375
8,4096,102,54,110.35477499999999
8,4096,104,56,113.5357
8,4096,106,40,113.66824999999999
8,4096,108,40,116.74295
8,4096,110,44,111.44855
8,4096,112,40,118.977025
8,4096,114,40,116.516775
8,4096,116,44,117.7785
8,4096,118,40,118.98845
8,4096,120,40,121.910425
8,4096,122,46,119.426525
8,4096,124,44,122.24595
8,4096,126,32,120.517875
8,4096,128,46,124.059975
8,4096,130,36,121.522775
8,4096,132,44,125.17060000000001
8,4096,134,36,122.48904999999999
8,4096,136,28,121.732525
8,4096,138,46,124.611525
8,4096,140,40,121.570875
8,4096,142,40,127.34752500000002
8,4096,144,32,127.55260000000001
8,4096,146,46,122.45767500000001
8,4096,148,40,128.38225
8,4096,150,40,127.91544999999999
8,4096,152,44,128.465925
8,4096,154,40,126.980225
8,4096,156,42,126.686125
8,4096,158,32,128.806025
8,4096,160,40,129.17307499999998
8,4096,162,40,127.22967499999999
8,4096,164,36,129.705625
8,4096,166,36,129.587925
8,4096,168,36,132.53255000000001
8,4096,170,46,127.771975
8,4096,172,32,130.07030000000003
8,4096,174,38,127.53575000000001
8,4096,176,36,132.22090000000003
8,4096,178,46,129.02960000000002
8,4096,180,32,132.789075
8,4096,182,32,129.80155
8,4096,184,32,130.30145
8,4096,186,32,130.07319999999999
8,4096,188,40,133.069525
8,4096,190,38,128.803725
8,4096,192,24,131.191125
8,4096,194,40,127.417825
8,4096,196,40,129.72275000000002
8,4096,198,40,130.47285
8,4096,200,40,128.8648
8,4096,202,42,127.68645000000001
8,4096,204,24,128.3654
8,4096,206,32,130.901025
8,4096,208,44,130.260075
8,4096,210,32,128.922825
8,4096,212,24,129.257
8,4096,214,32,128.73669999999998
8,4096,216,32,131.55035
8,4096,218,32,130.7615
8,4096,220,44,129.4393
8,4096,222,24,128.11245
8,4096,224,32,131.3206
8,4096,226,40,128.30465
8,4096,228,24,129.3594
8,4096,230,46,127.72187500000001
8,4096,232,40,130.485825
8,4096,234,24,129.81719999999999
8,4096,236,40,129.547625
8,4096,238,24,125.58785
8,4096,240,36,126.6702
8,4096,242,38,124.84884999999998
8,4096,244,32,127.620375
8,4096,246,24,127.05192500000001
8,4096,248,40,125.200925
8,4096,250,32,127.9336
8,4096,252,24,123.9657
8,4096,254,32,126.6026
8,4096,256,32,122.6436
8,4096,258,38,125.47463333333333
8,4096,260,44,124.48612499999999
8,4096,262,38,124.572225
8,4096,264,44,124.871125
8,4096,266,32,193.52575000000002
8,4096,268,34,121.06725
8,4096,270,44,191.453775
8,4096,272,54,136.39847500000002
8,4096,274,28,188.295875
8,4096,276,46,118.09335
8,4096,278,8,181.24759999999998
8,4096,280,40,116.00315
8,4096,282,30,114.51155
8,4096,284,24,146.176575
8,4096,286,40,114.84185000000001
8,4096,288,32,116.4743
8,4096,290,42,112.25745
8,4096,292,42,109.8001
8,4096,294,42,111.83805000000001
8,4096,296,32,109.69912500000001
8,4096,298,44,110.308625
8,4096,300,46,108.8423
8,4096,302,44,108.67134999999999
8,4096,304,40,108.22402500000001
8,4096,306,32,107.44985
8,4096,308,44,105.306225
8,4096,310,46,104.40655
8,4096,312,40,103.93427500000001
8,4096,314,46,101.8374
8,4096,316,46,102.086375
8,4096,318,40,99.94017500000001
8,4096,320,36,100.19315
8,4096,322,46,100.36639999999998
8,4096,324,40,97.76565
8,4096,326,42,99.546775
8,4096,328,44,97.28944999999999
8,4096,330,42,98.71860000000001
8,4096,332,42,96.77645000000001
8,4096,334,186,96.249475
8,4096,336,186,94.32717500000001
8,4096,338,190,94.48525000000001
8,4096,340,186,93.460925
8,4096,342,200,94.59942499999998
8,4096,344,186,94.86189999999999
8,4096,346,186,96.284975
8,4096,348,192,94.97665
8,4096,350,186,95.820175
8,4096,352,186,93.8089
8,4096,354,190,94.080825
8,4096,356,120,94.71897499999999
8,4096,358,186,96.031975
8,4096,360,190,94.539125
8,4096,362,192,94.94952500000001
8,4096,364,186,94.487675
8,4096,366,186,94.58495
8,4096,368,186,93.0011
8,4096,370,202,92.2388
8,4096,372,190,91.829
8,4096,374,192,92.9413
8,4096,376,190,94.3156
8,4096,378,202,93.6751
8,4096,380,190,95.58057500000001
8,4096,382,134,92.864075
8,4096,384,192,92.2453
8,4096,386,130,90.762275
8,4096,388,144,90.926825
8,4096,390,130,91.68635
8,4096,392,138,93.1288
8,4096,394,142,92.75385
8,4096,396,134,92.34235000000001
8,4096,398,142,90.63885
8,4096,400,134,92.74065
