threads,size,nb,ib,GFlops
64,16384,416,8,265.7735
64,16384,416,16,361.4049
64,16384,416,24,406.6858
64,16384,416,32,451.2452
64,16384,416,40,459.2227
64,16384,416,48,473.3697
64,16384,416,56,475.7988
64,16384,416,64,477.5227
64,16384,416,72,482.8978
64,16384,416,80,480.2314
64,16384,416,88,478.7537
64,16384,416,96,476.5858
64,16384,416,104,475.3358
64,16384,416,112,474.9171
64,16384,416,120,468.1989
64,16384,416,128,459.3682
64,16384,416,136,450.097
64,16384,416,144,456.636
64,16384,416,152,457.7696
64,16384,416,160,453.1332
64,16384,416,168,447.7408
64,16384,416,176,439.9855
64,16384,416,184,432.5216
64,16384,416,192,420.7587
64,16384,416,200,412.5342
64,16384,416,208,422.0315
64,16384,424,8,260.8787
64,16384,424,16,358.4552
64,16384,424,24,418.013
64,16384,424,32,444.1133
64,16384,424,40,462.8464
64,16384,424,48,477.6254
64,16384,424,56,479.632
64,16384,424,64,485.3429
64,16384,424,72,488.9302
64,16384,424,80,483.3323
64,16384,424,88,480.3768
64,16384,424,96,482.3111
64,16384,424,104,466.0648
64,16384,424,112,478.4955
64,16384,424,120,469.5334
64,16384,424,128,456.6513
64,16384,424,136,455.337
64,16384,424,144,458.5226
64,16384,424,152,456.5592
64,16384,424,160,453.3587
64,16384,424,168,450.1924
64,16384,424,176,441.5374
64,16384,424,184,434.362
64,16384,424,192,423.3726
64,16384,424,200,416.2749
64,16384,424,208,411.3233
64,16384,432,8,262.0064
64,16384,432,16,362.7903
64,16384,432,24,416.8547
64,16384,432,32,449.2391
64,16384,432,40,467.3836
64,16384,432,48,479.7572
64,16384,432,56,487.8473
64,16384,432,64,486.4175
64,16384,432,72,493.2835
64,16384,432,80,485.1557
64,16384,432,88,486.3337
64,16384,432,96,479.0166
64,16384,432,104,475.143
64,16384,432,112,477.7871
64,16384,432,120,470.978
64,16384,432,128,467.1578
64,16384,432,136,457.5763
64,16384,432,144,460.8851
64,16384,432,152,454.7383
64,16384,432,160,454.1831
64,16384,432,168,449.4908
64,16384,432,176,445.1494
64,16384,432,184,436.4183
64,16384,432,192,427.4009
64,16384,432,200,422.2309
64,16384,432,208,414.7105
64,16384,432,216,421.714
64,16384,440,8,263.8821
64,16384,440,16,360.1844
64,16384,440,24,414.8299
64,16384,440,32,451.0902
64,16384,440,40,464.4474
64,16384,440,48,473.4146
64,16384,440,56,483.0764
64,16384,440,64,488.1137
64,16384,440,72,479.7383
64,16384,440,80,476.7524
64,16384,440,88,484.4985
64,16384,440,96,477.0847
64,16384,440,104,469.7247
64,16384,440,112,470.5463
64,16384,440,120,468.9133
64,16384,440,128,464.1899
64,16384,440,136,457.7126
64,16384,440,144,447.8055
64,16384,440,152,453.1378
64,16384,440,160,452.306
64,16384,440,168,447.4442
64,16384,440,176,441.8979
64,16384,440,184,435.1802
64,16384,440,192,424.1143
64,16384,440,200,419.305
64,16384,440,208,413.4981
64,16384,440,216,401.9258
64,16384,448,8,261.6881
64,16384,448,16,356.0721
64,16384,448,24,416.0467
64,16384,448,32,452.4151
64,16384,448,40,460.2269
64,16384,448,48,470.4034
64,16384,448,56,485.8409
64,16384,448,64,488.4809
64,16384,448,72,482.2374
64,16384,448,80,486.1606
64,16384,448,88,477.5562
64,16384,448,96,481.8991
64,16384,448,104,470.9335
64,16384,448,112,475.2085
64,16384,448,120,471.661
64,16384,448,128,465.7419
64,16384,448,136,455.6131
64,16384,448,144,446.5027
64,16384,448,152,453.0204
64,16384,448,160,449.8196
64,16384,448,168,449.3525
64,16384,448,176,440.3749
64,16384,448,184,436.5406
64,16384,448,192,429.3844
64,16384,448,200,417.8441
64,16384,448,208,410.3054
64,16384,448,216,404.4378
64,16384,448,224,412.4463
64,16384,456,8,264.1429
64,16384,456,16,363.3868
64,16384,456,24,422.4664
64,16384,456,32,450.4056
64,16384,456,40,463.0654
64,16384,456,48,474.5415
64,16384,456,56,480.0588
64,16384,456,64,486.3019
64,16384,456,72,483.6876
64,16384,456,80,492.2894
64,16384,456,88,480.1128
64,16384,456,96,485.3649
64,16384,456,104,476.8417
64,16384,456,112,466.5217
64,16384,456,120,476.8756
64,16384,456,128,464.3838
64,16384,456,136,461.8171
64,16384,456,144,448.3404
64,16384,456,152,453.232
64,16384,456,160,448.7919
64,16384,456,168,448.1711
64,16384,456,176,443.1407
64,16384,456,184,436.2153
64,16384,456,192,429.945
64,16384,456,200,423.8141
64,16384,456,208,414.0949
64,16384,456,216,404.208
64,16384,456,224,398.7226
64,16384,464,8,263.0821
64,16384,464,16,362.6297
64,16384,464,24,418.6174
64,16384,464,32,446.742
64,16384,464,40,465.8618
64,16384,464,48,476.2122
64,16384,464,56,481.4179
64,16384,464,64,484.0754
64,16384,464,72,487.3656
64,16384,464,80,487.9541
64,16384,464,88,477.1463
64,16384,464,96,482.5484
64,16384,464,104,471.9367
64,16384,464,112,464.3077
64,16384,464,120,468.4029
64,16384,464,128,459.7376
64,16384,464,136,454.1541
64,16384,464,144,446.5045
64,16384,464,152,435.943
64,16384,464,160,443.8663
64,16384,464,168,444.254
64,16384,464,176,438.7921
64,16384,464,184,432.0585
64,16384,464,192,426.3907
64,16384,464,200,420.1282
64,16384,464,208,411.5749
64,16384,464,216,404.4883
64,16384,464,224,399.8183
64,16384,464,232,408.3922
64,16384,472,8,262.5039
64,16384,472,16,368.8272
64,16384,472,24,420.7481
64,16384,472,32,458.095
64,16384,472,40,470.699
64,16384,472,48,481.8724
64,16384,472,56,478.6158
64,16384,472,64,487.9979
64,16384,472,72,487.5653
64,16384,472,80,486.2893
64,16384,472,88,479.0887
64,16384,472,96,481.7902
64,16384,472,104,469.8338
64,16384,472,112,464.7943
64,16384,472,120,468.5373
64,16384,472,128,463.856
64,16384,472,136,454.0482
64,16384,472,144,449.8763
64,16384,472,152,439.6786
64,16384,472,160,443.6657
64,16384,472,168,443.9424
64,16384,472,176,440.9542
64,16384,472,184,434.1821
64,16384,472,192,429.744
64,16384,472,200,421.1202
64,16384,472,208,417.9564
64,16384,472,216,406.3255
64,16384,472,224,402.2284
64,16384,472,232,394.2515
64,16384,480,8,260.8571
64,16384,480,16,359.8463
64,16384,480,24,421.5711
64,16384,480,32,449.4635
64,16384,480,40,468.1731
64,16384,480,48,479.7885
64,16384,480,56,481.9885
64,16384,480,64,486.2393
64,16384,480,72,484.6568
64,16384,480,80,485.8488
64,16384,480,88,475.6017
64,16384,480,96,472.4781
64,16384,480,104,469.714
64,16384,480,112,456.8813
64,16384,480,120,460.4958
64,16384,480,128,457.9288
64,16384,480,136,451.4517
64,16384,480,144,444.3307
64,16384,480,152,433.4647
64,16384,480,160,436.961
64,16384,480,168,435.4752
64,16384,480,176,433.9603
64,16384,480,184,430.4879
64,16384,480,192,423.861
64,16384,480,200,420.5641
64,16384,480,208,412.4733
64,16384,480,216,404.9105
64,16384,480,224,396.8891
64,16384,480,232,390.8168
64,16384,480,240,402.2825
64,16384,488,8,262.4109
64,16384,488,16,365.2594
64,16384,488,24,418.3622
64,16384,488,32,449.1177
64,16384,488,40,458.9631
64,16384,488,48,477.8651
64,16384,488,56,488.3336
64,16384,488,64,488.8756
64,16384,488,72,484.9728
64,16384,488,80,483.2253
64,16384,488,88,477.4916
64,16384,488,96,471.8412
64,16384,488,104,473.8132
64,16384,488,112,464.6053
64,16384,488,120,452.7794
64,16384,488,128,460.8574
64,16384,488,136,454.9669
64,16384,488,144,447.727
64,16384,488,152,438.8975
64,16384,488,160,428.1199
64,16384,488,168,437.4723
64,16384,488,176,439.524
64,16384,488,184,434.6433
64,16384,488,192,425.4098
64,16384,488,200,425.3145
64,16384,488,208,417.9574
64,16384,488,216,410.1406
64,16384,488,224,402.2458
64,16384,488,232,397.26
64,16384,488,240,389.1917
64,16384,496,8,261.4233
64,16384,496,16,362.1929
64,16384,496,24,417.7281
64,16384,496,32,448.1575
64,16384,496,40,462.0387
64,16384,496,48,474.3851
64,16384,496,56,479.1081
64,16384,496,64,479.2374
64,16384,496,72,483.3952
64,16384,496,80,475.9907
64,16384,496,88,473.5759
64,16384,496,96,463.0135
64,16384,496,104,464.7321
64,16384,496,112,455.6326
64,16384,496,120,446.1454
64,16384,496,128,449.2029
64,16384,496,136,446.109
64,16384,496,144,441.1662
64,16384,496,152,431.0268
64,16384,496,160,421.0875
64,16384,496,168,429.9175
64,16384,496,176,431.8461
64,16384,496,184,426.3881
64,16384,496,192,422.8522
64,16384,496,200,418.9498
64,16384,496,208,411.3247
64,16384,496,216,403.6214
64,16384,496,224,398.5684
64,16384,496,232,391.2378
64,16384,496,240,384.1231
64,16384,496,248,395.4495
64,16384,504,8,262.8814
64,16384,504,16,361.8041
64,16384,504,24,422.8342
64,16384,504,32,443.5791
64,16384,504,40,464.9011
64,16384,504,48,474.724
64,16384,504,56,482.7191
64,16384,504,64,485.1432
64,16384,504,72,486.4184
64,16384,504,80,480.64
64,16384,504,88,476.7362
64,16384,504,96,466.6348
64,16384,504,104,467.4105
64,16384,504,112,460.5139
64,16384,504,120,449.4802
64,16384,504,128,451.4936
64,16384,504,136,451.6655
64,16384,504,144,444.0214
64,16384,504,152,436.6546
64,16384,504,160,428.8295
64,16384,504,168,435.156
64,16384,504,176,430.4786
64,16384,504,184,431.9253
64,16384,504,192,427.4473
64,16384,504,200,420.4639
64,16384,504,208,418.6807
64,16384,504,216,409.1243
64,16384,504,224,402.9477
64,16384,504,232,399.9056
64,16384,504,240,391.8588
64,16384,504,248,382.4624
64,16384,512,8,176.0532
64,16384,512,16,258.8135
64,16384,512,24,320.3333
