threads,size,nb,ib,GFlops
128,8192,20,8,3.2963
128,8192,28,8,5.9599
128,8192,36,8,11.1218
128,8192,36,16,12.8767
128,8192,44,8,26.4417
128,8192,44,16,28.4259
128,8192,52,8,43.9728
128,8192,52,16,69.9384
128,8192,52,24,83.8633
128,8192,60,8,47.5214
128,8192,60,16,103.7242
128,8192,60,24,112.1808
128,8192,68,8,74.7262
128,8192,68,16,126.0098
128,8192,68,24,170.2679
128,8192,68,32,156.4909
128,8192,76,8,89.5935
128,8192,76,16,176.8119
128,8192,76,24,195.5236
128,8192,76,32,234.0204
128,8192,84,8,118.7832
128,8192,84,16,194.9835
128,8192,84,24,220.1614
128,8192,84,32,293.5767
128,8192,84,40,242.0906
128,8192,92,8,141.0691
128,8192,92,16,213.2505
128,8192,92,24,330.5972
128,8192,92,32,331.2033
128,8192,92,40,306.9513
128,8192,100,8,161.9756
128,8192,100,16,234.9818
128,8192,100,24,293.6269
128,8192,100,32,285.8851
128,8192,100,40,438.2589
128,8192,100,48,366.8107
128,8192,108,8,176.6063
128,8192,108,16,268.1896
128,8192,108,24,378.8517
128,8192,108,32,371.3789
128,8192,108,40,412.3524
128,8192,108,48,432.7558
128,8192,116,8,203.2518
128,8192,116,16,285.436
128,8192,116,24,356.214
128,8192,116,32,470.738
128,8192,116,40,448.7488
128,8192,116,48,499.7383
128,8192,116,56,455.8825
128,8192,124,8,227.0054
128,8192,124,16,314.6889
128,8192,124,24,411.3358
128,8192,124,32,435.1412
128,8192,124,40,348.9345
128,8192,124,48,393.3207
128,8192,124,56,466.2714
128,8192,132,8,246.2719
128,8192,132,16,330.3912
128,8192,132,24,447.7832
128,8192,132,32,453.692
128,8192,132,40,408.0322
128,8192,132,48,428.6332
128,8192,132,56,470.9825
128,8192,132,64,478.7352
128,8192,140,8,279.7899
128,8192,140,16,378.0042
128,8192,140,24,417.1986
128,8192,140,32,462.5237
128,8192,140,40,500.367
128,8192,140,48,464.6935
128,8192,140,56,473.9142
128,8192,140,64,527.9282
128,8192,148,8,330.6122
128,8192,148,16,495.9755
128,8192,148,24,444.7901
128,8192,148,32,520.1627
128,8192,148,40,534.0414
128,8192,148,48,490.4385
128,8192,148,56,490.7701
128,8192,148,64,512.9575
128,8192,148,72,517.6261
128,8192,156,8,350.7465
128,8192,156,16,488.4866
128,8192,156,24,525.8962
128,8192,156,32,575.0049
128,8192,156,40,537.7933
128,8192,156,48,570.4005
128,8192,156,56,576.6068
128,8192,156,64,541.5951
128,8192,156,72,549.076
128,8192,164,8,383.6676
128,8192,164,16,528.1615
128,8192,164,24,669.6626
128,8192,164,32,542.5395
128,8192,164,40,605.6844
128,8192,164,48,562.1058
128,8192,164,56,665.9355
128,8192,164,64,476.1399
128,8192,164,72,676.9459
128,8192,164,80,633.2479
128,8192,172,8,395.0257
128,8192,172,16,517.4537
128,8192,172,24,621.5822
128,8192,172,32,667.8243
128,8192,172,40,618.3587
128,8192,172,48,572.5077
128,8192,172,56,612.819
128,8192,172,64,547.9757
128,8192,172,72,600.498
128,8192,172,80,581.6757
128,8192,180,8,429.9254
128,8192,180,16,570.2816
128,8192,180,24,697.7596
128,8192,180,32,654.7906
128,8192,180,40,715.9033
128,8192,180,48,688.038
128,8192,180,56,622.6497
128,8192,180,64,762.8592
128,8192,180,72,710.588
128,8192,180,80,704.1299
128,8192,180,88,620.8908
128,8192,188,8,459.8139
128,8192,188,16,625.9696
128,8192,188,24,746.4735
128,8192,188,32,763.7491
128,8192,188,40,745.5707
128,8192,188,48,658.2789
128,8192,188,56,649.6247
128,8192,188,64,688.4089
128,8192,188,72,685.3818
128,8192,188,80,733.5879
128,8192,188,88,733.2172
128,8192,196,8,438.1506
128,8192,196,16,640.9302
128,8192,196,24,680.8005
128,8192,196,32,745.1694
128,8192,196,40,737.8226
