threads,size,nb,ib,Time_sec,GFlops
1,8192,32,8,1.68895e-05,7.760561295479439
1,8192,32,12,1.51455e-05,8.654187712521871
1,8192,32,16,1.34317e-05,9.75840734977702
1,8192,36,8,2.3345e-05,7.994174341400728
1,8192,36,12,2.20306e-05,8.471126524016595
1,8192,36,16,2.22785e-05,8.376865587898646
1,8192,40,8,3.00674e-05,8.514204753320872
1,8192,40,12,2.42538e-05,10.55504704417452
1,8192,40,16,2.63986e-05,9.697483957482593
1,8192,40,20,2.27186e-05,11.268299983273616
1,8192,44,8,3.79585e-05,8.976540168868633
1,8192,44,12,2.96216e-05,11.502957301428687
1,8192,44,16,3.0121e-05,11.312240629461174
1,8192,44,20,3.06826e-05,11.105186653021581
1,8192,48,8,3.97375e-05,11.132255426234664
1,8192,48,12,3.27662e-05,13.500741617886726
1,8192,48,16,3.00098e-05,14.740784677005513
1,8192,48,20,3.36112e-05,13.1613271766554
1,8192,48,24,3.07268e-05,14.396813205410261
1,8192,52,8,5.40328e-05,10.40908485216387
1,8192,52,12,4.66708e-05,12.051046907273928
1,8192,52,16,4.3331e-05,12.979898917634026
1,8192,52,20,3.99627e-05,14.073923934068517
1,8192,52,24,3.88393e-05,14.48100248974621
1,8192,56,8,5.75194e-05,12.212644777240376
1,8192,56,12,5.21464e-05,13.470997039105287
1,8192,56,16,4.52669e-05,15.51827052437874
1,8192,56,20,4.50553e-05,15.591151318490832
1,8192,56,24,4.59098e-05,15.300959707949065
1,8192,56,28,4.17099e-05,16.841661092450472
1,8192,60,8,7.11048e-05,12.151078408208729
1,8192,60,12,6.096e-05,14.173228346456694
1,8192,60,16,5.32424e-05,16.227668174237074
1,8192,60,20,4.93368e-05,17.51228292065963
1,8192,60,24,4.98748e-05,17.32337773785559
1,8192,60,28,5.34952e-05,16.150981770327057
1,8192,64,8,8.31801e-05,12.606092082120604
1,8192,64,12,6.98126e-05,15.019867473779804
1,8192,64,16,6.32386e-05,16.581265239900947
1,8192,64,20,6.412e-05,16.35333749220212
1,8192,64,24,5.57662e-05,18.80307426362205
1,8192,64,28,5.95708e-05,17.602180934283236
1,8192,64,32,5.43708e-05,19.28564597173483
1,8192,68,8,0.000101069,12.444250957266817
1,8192,68,12,8.04949e-05,15.624940213603594
1,8192,68,16,7.57628e-05,16.60086480436309
1,8192,68,20,7.07858e-05,17.768083429162346
1,8192,68,24,6.9307e-05,18.147200138514144
1,8192,68,28,6.62146e-05,18.994723218142223
1,8192,68,32,6.63382e-05,18.95933263187726
1,8192,72,8,0.000106884,13.968339508251937
1,8192,72,12,9.09467e-05,16.41612065088673
1,8192,72,16,8.60871e-05,17.342807458957264
1,8192,72,20,7.97353e-05,18.724354206982355
1,8192,72,24,7.0587e-05,21.15109014407752
1,8192,72,28,7.12842e-05,20.9442204583905
1,8192,72,32,7.50412e-05,19.89563066688699
1,8192,72,36,6.5127e-05,22.92431710350546
1,8192,76,8,0.000131671,13.335540855617408
1,8192,76,12,0.000110692,15.862971127091388
1,8192,76,16,9.41229e-05,18.65543879332235
1,8192,76,20,8.82549e-05,19.895824481133626
1,8192,76,24,8.92919e-05,19.664762425259177
1,8192,76,28,8.28525e-05,21.193132373796807
1,8192,76,32,8.26071e-05,21.256090578170642
1,8192,76,36,8.38329e-05,20.945285204257516
1,8192,80,8,0.000146127,14.015205950987841
1,8192,80,12,0.000118438,17.291747581012853
1,8192,80,16,0.000104308,19.634160371208342
1,8192,80,20,0.000100218,20.43545071743599
1,8192,80,24,0.000101403,20.196641125016026
1,8192,80,28,9.46411e-05,21.639647045522505
1,8192,80,32,9.44409e-05,21.685519727152112
1,8192,80,36,9.53965e-05,21.46829286189745
1,8192,80,40,8.55525e-05,23.93851728470822
1,8192,84,8,0.000169255,14.007361673214971
1,8192,84,12,0.000137084,17.29462227539319
1,8192,84,16,0.000126329,18.76699728486729
1,8192,84,20,0.00011964,19.816248746238717
1,8192,84,24,0.000116738,20.308862581164657
1,8192,84,28,0.000108461,21.858695752390258
1,8192,84,32,0.000104847,22.61214913159175
1,8192,84,36,0.000108888,21.772977738593784
