threads,size,nb,ib,GFlops
20,4096,4,2,0.05669999999999999
20,4096,6,2,0.18588
20,4096,8,2,0.43826
20,4096,10,2,0.87912
20,4096,12,4,1.55984
20,4096,14,2,2.46472
20,4096,16,2,4.18778
20,4096,18,2,10.95312
20,4096,20,2,14.024440000000002
20,4096,22,2,16.20328
20,4096,24,2,19.93872
20,4096,26,4,30.580540000000003
20,4096,28,6,35.09974
20,4096,30,14,43.140280000000004
20,4096,32,8,60.18666
20,4096,34,10,69.82268
20,4096,36,32,86.34880000000001
20,4096,38,28,97.5962
20,4096,40,30,115.18358
20,4096,42,40,122.02858
20,4096,44,22,127.20554
20,4096,46,40,103.58314
20,4096,48,46,105.61770000000001
20,4096,50,34,96.10216
20,4096,52,32,101.09029999999998
20,4096,54,38,128.38029999999998
20,4096,56,40,112.75621999999998
20,4096,58,26,92.71288000000001
20,4096,60,30,128.39100000000002
20,4096,62,46,88.55102000000001
20,4096,64,48,93.29608
20,4096,66,32,81.13336000000001
20,4096,68,34,83.03046
20,4096,70,34,79.00714
20,4096,72,38,99.8183
20,4096,74,50,77.70522
20,4096,76,72,75.3395
20,4096,78,74,108.78638000000001
20,4096,80,44,97.67128
20,4096,82,34,96.8389
20,4096,84,46,100.56114
20,4096,86,42,96.5392
20,4096,88,42,113.58490000000002
20,4096,90,32,106.13358000000001
20,4096,92,46,111.00057999999999
20,4096,94,32,111.61744000000002
20,4096,96,46,108.67754
20,4096,98,74,116.596
20,4096,100,64,101.8918
20,4096,102,52,102.55367999999999
20,4096,104,36,110.25596
20,4096,106,44,108.52448
20,4096,108,62,127.9327
20,4096,110,38,134.9891
20,4096,112,88,104.88481999999999
20,4096,114,60,122.09662
20,4096,116,86,102.72102
20,4096,118,54,119.1646
20,4096,120,44,107.75406000000001
20,4096,122,34,104.80342
20,4096,124,28,126.44005999999999
20,4096,126,36,120.72106
20,4096,128,110,128.47682
20,4096,130,40,115.42924000000001
20,4096,132,44,135.40634
20,4096,134,106,128.957
20,4096,136,54,130.41394
20,4096,138,38,137.47638
20,4096,140,136,132.33972
20,4096,142,102,128.00052
20,4096,144,96,158.77516
20,4096,146,74,148.35052000000002
20,4096,148,90,152.58192
20,4096,150,118,131.9385
20,4096,152,106,161.64436
20,4096,154,96,143.92668
20,4096,156,56,134.56644
20,4096,158,128,146.95064
20,4096,160,132,148.34387999999998
20,4096,162,120,161.80718
20,4096,164,132,189.8058
20,4096,166,92,213.40616
20,4096,168,148,155.01614
20,4096,170,98,191.69346000000002
20,4096,172,94,193.88448
20,4096,174,66,179.24563999999998
20,4096,176,96,189.29632
20,4096,178,124,189.44668
20,4096,180,104,187.47296
20,4096,182,76,243.08016000000003
20,4096,184,88,232.20058
20,4096,186,102,229.86438000000004
20,4096,188,98,202.49320000000003
20,4096,190,140,209.24916000000002
20,4096,192,76,252.22424
20,4096,194,88,232.57412
20,4096,196,80,204.90295999999998
20,4096,198,82,201.73006
20,4096,200,62,222.11986000000002
20,4096,202,86,220.75735999999998
20,4096,204,88,201.57103999999998
20,4096,206,150,201.45336
20,4096,208,134,206.34092
20,4096,210,94,198.58058
20,4096,212,88,199.71189999999999
20,4096,214,152,197.23737999999997
20,4096,216,156,199.34846
20,4096,218,154,200.73052
20,4096,220,86,206.48322
20,4096,222,84,220.55360000000002
20,4096,224,156,201.50928
20,4096,226,148,201.37002
20,4096,228,162,196.12673999999998
20,4096,230,80,219.30861999999996
20,4096,232,146,199.49244
20,4096,234,96,223.54590000000002
20,4096,236,92,206.57844
20,4096,238,152,200.59308000000001
20,4096,240,80,218.57477999999998
20,4096,242,140,204.48056000000003
20,4096,244,146,202.01086
20,4096,246,130,187.94364000000002
20,4096,248,72,221.31964
20,4096,250,68,223.52525999999997
20,4096,252,68,244.7271
20,4096,254,80,242.27129999999997
20,4096,256,84,232.22614
20,4096,258,88,221.47654000000003
20,4096,260,132,201.71522
20,4096,262,86,209.34748
20,4096,264,136,202.92966
20,4096,266,154,206.04986
20,4096,268,118,208.07426
20,4096,270,86,234.08382
20,4096,272,116,210.70832000000001
20,4096,274,88,246.97448
20,4096,276,82,208.94142000000002
