nb,ib,GFlops
4,2,0.0598
6,2,0.1942
8,2,0.4722
10,2,0.9535
12,2,1.6671
14,10,2.7801
16,2,4.5155
18,2,11.8327
20,2,15.7009
22,2,17.014
24,2,21.7603
26,4,31.7973
28,6,42.749
30,14,51.1403
32,8,64.096
34,28,76.0739
36,32,89.6692
38,30,103.8854
40,22,121.617
42,22,132.0949
44,32,213.1171
46,40,192.6635
48,26,149.6024
50,28,144.1401
52,26,194.0562
54,24,186.353
56,14,179.3084
58,18,161.2122
60,30,258.8512
62,30,143.096
64,48,184.6825
66,32,141.8963
68,22,133.6768
70,34,165.3942
72,38,188.7788
74,18,133.9008
76,24,106.7826
78,74,184.4698
80,44,177.5234
82,34,209.9724
84,46,202.4376
86,42,202.5519
88,42,191.0362
90,54,205.8675
92,54,200.7412
94,32,268.2185
96,64,203.4782
98,94,198.596
100,64,196.5425
102,52,201.4928
104,72,209.7488
106,44,244.4149
108,62,311.9226
110,38,324.7922
112,58,207.7053
114,60,315.545
116,80,205.1546
118,54,300.749
120,92,211.1716
122,34,218.6481
124,28,320.2544
126,36,302.9034
128,28,309.945
130,40,261.6049
132,44,323.1889
134,68,279.2875
136,54,326.6873
138,38,338.7461
140,90,202.0217
142,42,318.2461
144,42,299.0957
146,48,325.61
148,90,296.6246
150,88,319.7877
152,74,305.5511
154,96,306.9979
156,56,334.6155
158,124,312.2213
160,74,300.8309
162,102,318.9229
164,60,332.3771
166,86,323.6822
168,108,329.7976
170,36,346.7478
172,92,323.7399
174,62,328.9993
176,72,329.737
178,92,323.4194
180,100,330.703
182,68,331.2914
184,82,325.3202
186,42,338.8165
188,50,337.5934
190,78,322.9136
192,50,342.5536
194,72,324.2401
196,62,320.3004
198,82,313.016
200,68,327.0269
202,72,320.7149
204,72,327.9522
206,62,323.4793
208,70,322.0663
210,72,319.5713
212,82,320.0822
214,58,329.0407
216,68,320.3185
218,78,315.1236
220,74,321.2091
222,72,319.863
224,66,317.8203
226,80,318.1301
228,84,310.8268
230,80,311.846
232,64,323.687
234,64,321.1163
236,80,311.9496
238,72,316.1712
240,72,312.4648
242,60,302.3948
244,72,306.3094
246,80,299.6223
248,68,305.3206
250,80,303.2289
252,64,299.7127
254,60,294.926
256,64,282.2843
258,64,303.9652
260,68,311.7736
262,72,315.1693
264,72,322.4147
266,80,319.7204
268,64,322.967
270,66,315.2908
272,58,315.3895
274,68,299.7256
276,66,302.3662
278,76,306.355
280,78,307.3998
282,74,310.5503
284,78,311.855
286,62,315.7479
288,60,321.9112
290,60,306.0895
292,80,293.292
294,72,287.72
296,60,296.0325
298,68,290.8867
300,68,300.9464
302,70,292.8521
304,64,302.5363
306,60,310.9207
308,58,300.9113
310,80,298.437
312,56,300.707
314,64,301.9483
316,72,283.4912
318,72,273.2629
320,60,276.3129
322,58,279.9382
324,68,290.0724
326,58,286.2569
328,68,289.7973
330,58,292.1687
332,60,290.158
334,74,282.8214
336,78,283.2408
338,72,282.693
340,78,280.1015
342,60,266.4909
344,56,263.4727
346,56,258.038
348,76,268.5626
350,50,275.4216
352,50,272.9615
354,60,265.8876
356,56,272.2751
358,60,270.3978
360,56,259.158
362,64,268.7142
364,56,276.5025
366,64,272.3571
368,60,251.8364
370,50,276.6822
372,56,261.9755
374,60,237.8864
376,50,247.7519
378,60,234.2447
380,50,243.7442
382,60,240.0346
384,52,248.5644
386,58,233.5673
388,54,263.1555
390,50,249.6736
392,54,260.5366
394,34,236.7716
396,52,216.2447
398,48,252.0338
400,36,253.9995
402,46,227.7967
404,54,203.4197
406,30,230.1979
408,28,246.6649
410,64,184.6739
412,48,188.0055
414,40,191.4633
416,98,187.5845
418,44,194.9534
420,36,196.2143
422,90,186.2765
424,16,209.9237
426,54,187.4273
428,68,196.636
430,46,196.1102
432,40,195.8397
434,52,200.2472
436,50,196.6454
438,40,199.0423
440,38,191.1823
442,32,194.932
444,30,188.7034
446,24,191.3279
448,46,195.2503
450,46,190.1006
452,40,188.2485
454,40,183.1442
456,32,189.2206
458,100,178.0237
460,46,189.2618
462,100,186.4523
464,44,186.5224
466,70,176.7851
468,44,197.9137
470,86,188.3792
472,42,187.0641
474,32,185.542
476,32,184.2261
478,32,181.9441
480,76,170.0535
482,48,183.0542
484,72,176.4126
486,42,183.8548
488,38,174.7723
490,84,177.9427
492,102,176.8991
494,40,180.4402
496,80,171.964
498,28,179.4785
500,36,174.3398
502,96,178.2594
504,66,175.4839
506,54,171.2055
508,44,174.0917
510,48,165.8185
512,42,168.7016
