threads,size,nb,ib,GFlops
12,4096,4,2,0.09205
12,4096,6,2,0.31375000000000003
12,4096,8,2,0.7564166666666666
12,4096,10,2,1.6099333333333334
12,4096,12,2,2.874416666666667
12,4096,14,2,5.14635
12,4096,16,2,9.100299999999999
12,4096,18,2,12.081633333333334
12,4096,20,4,15.126216666666666
12,4096,22,4,21.97746666666667
12,4096,24,10,30.055733333333336
12,4096,26,10,39.76448333333334
12,4096,28,16,50.23785
12,4096,30,24,61.37411666666666
12,4096,32,26,77.34103333333333
12,4096,34,28,85.97325000000001
12,4096,36,30,98.58625
12,4096,38,20,100.46820000000001
12,4096,40,24,112.91669999999999
12,4096,42,22,121.14055
12,4096,44,36,124.01905
12,4096,46,36,141.70311666666666
12,4096,48,24,157.06406666666666
12,4096,50,28,141.66388333333333
12,4096,52,28,152.71576666666667
12,4096,54,28,158.52263333333335
12,4096,56,24,169.02291666666667
12,4096,58,32,165.1807
12,4096,60,36,165.95463333333333
12,4096,62,32,192.22554
12,4096,64,36,201.39938
12,4096,66,20,197.23484
12,4096,68,40,203.07139999999998
12,4096,70,24,206.40346
12,4096,72,44,202.11092
12,4096,74,44,199.15066
12,4096,76,40,213.95227999999997
12,4096,78,40,202.90972
12,4096,80,40,220.30978
12,4096,82,32,215.02132
12,4096,84,44,218.88982000000001
12,4096,86,30,218.68084
12,4096,88,32,218.68888
12,4096,90,32,238.14932
12,4096,92,24,228.2431
12,4096,94,44,225.31998
12,4096,96,24,237.02687999999998
12,4096,98,50,225.45048000000003
12,4096,100,64,233.53339999999997
12,4096,102,68,235.44754000000003
12,4096,104,28,241.56088
12,4096,106,64,244.5356
12,4096,108,44,257.76394
12,4096,110,68,241.15820000000002
12,4096,112,28,255.81974
12,4096,114,44,243.0132
12,4096,116,40,279.96934
12,4096,118,80,250.08472
12,4096,120,44,260.4596
12,4096,122,72,252.43923999999998
12,4096,124,44,256.06442
12,4096,126,44,262.43656
12,4096,128,48,268.1634
12,4096,130,66,258.7928
12,4096,132,36,259.51203999999996
12,4096,134,48,254.88008
12,4096,136,32,258.71654
12,4096,138,24,257.55237999999997
12,4096,140,28,273.58352
12,4096,142,32,270.5929
12,4096,144,40,261.21531999999996
12,4096,146,28,255.60147999999998
12,4096,148,32,263.17312000000004
12,4096,150,32,261.75392
