threads,size,nb,ib,GFlops
threads,size,nb,ib,GFlops
16,2048,4,2,0.0948
16,2048,6,2,0.3313
16,2048,6,4,0.3128
16,2048,8,2,0.9011
16,2048,8,4,0.742
16,2048,8,6,0.746
16,2048,10,2,2.0599
16,2048,10,4,1.5896
16,2048,10,6,1.6357
16,2048,10,8,1.5738
16,2048,12,2,6.0582
16,2048,12,4,3.1004
16,2048,12,6,2.7977
16,2048,12,8,2.9079
16,2048,12,10,2.7777
16,2048,14,2,7.6206
16,2048,14,4,10.423
16,2048,14,6,6.4501
16,2048,14,8,4.8561
16,2048,14,10,5.3059
16,2048,14,12,5.0851
16,2048,16,2,10.2814
16,2048,16,4,14.3436
16,2048,16,6,15.5487
16,2048,16,8,8.9794
16,2048,16,10,9.4261
16,2048,16,12,8.9797
16,2048,16,14,8.8864
16,2048,18,2,12.0267
16,2048,18,4,17.3668
16,2048,18,6,20.1405
16,2048,18,8,20.5079
16,2048,18,10,18.8692
16,2048,18,12,17.6037
16,2048,18,14,19.8773
16,2048,18,16,18.0628
16,2048,20,2,14.2945
16,2048,20,4,22.6585
16,2048,20,6,23.9859
16,2048,20,8,27.0448
16,2048,20,10,27.4343
16,2048,20,12,27.569
16,2048,20,14,27.4325
16,2048,20,16,28.0415
16,2048,20,18,27.274
16,2048,22,2,15.789
16,2048,22,4,24.1836
16,2048,22,6,28.3041
16,2048,22,8,32.864
16,2048,22,10,31.9478
16,2048,22,12,35.0039
16,2048,22,14,36.2402
16,2048,22,16,35.7487
16,2048,22,18,35.288
16,2048,22,20,36.5463
16,2048,24,2,20.2155
16,2048,24,4,32.1944
16,2048,24,6,37.643
16,2048,24,8,43.5377
16,2048,24,10,42.82
16,2048,24,12,43.987
16,2048,24,14,46.9485
16,2048,24,16,45.9359
16,2048,24,18,47.003
16,2048,24,20,47.0247
16,2048,24,22,46.4205
16,2048,26,2,20.9179
16,2048,26,4,31.9763
16,2048,26,6,36.1754
16,2048,26,8,40.003
16,2048,26,10,45.1542
16,2048,26,12,49.9637
16,2048,26,14,56.2507
16,2048,26,16,52.8715
16,2048,26,18,52.136
16,2048,26,20,51.4619
16,2048,26,22,52.5184
16,2048,26,24,56.6557
16,2048,28,2,22.2851
16,2048,28,4,36.4506
16,2048,28,6,40.4514
16,2048,28,8,47.1102
16,2048,28,10,51.5365
16,2048,28,12,58.068
16,2048,28,14,61.1281
16,2048,28,16,64.0192
16,2048,28,18,57.8862
16,2048,28,20,59.9239
16,2048,28,22,57.2296
16,2048,28,24,64.0428
16,2048,28,26,61.8196
16,2048,30,2,23.6929
16,2048,30,4,37.5255
16,2048,30,6,43.994
16,2048,30,8,51.3627
16,2048,30,10,55.7969
16,2048,30,12,62.0626
16,2048,30,14,58.0525
16,2048,30,16,66.1946
16,2048,30,18,66.6476
16,2048,30,20,65.803
16,2048,30,22,62.9765
16,2048,30,24,66.2381
16,2048,30,26,66.0839
16,2048,30,28,65.3555
16,2048,32,2,27.024
16,2048,32,4,43.3106
16,2048,32,6,47.4333
16,2048,32,8,60.7747
16,2048,32,10,56.4487
16,2048,32,12,67.8206
16,2048,32,14,68.3091
16,2048,32,16,76.899
16,2048,32,18,75.572
16,2048,32,20,76.9271
16,2048,32,22,70.0208
16,2048,32,24,76.124
16,2048,32,26,74.2832
16,2048,32,28,77.1323
16,2048,32,30,74.3528
16,2048,34,2,28.0997
16,2048,34,4,42.6391
16,2048,34,6,50.6245
16,2048,34,8,59.0308
16,2048,34,10,59.2531
16,2048,34,12,73.0215
16,2048,34,14,70.2439
16,2048,34,16,71.4911
16,2048,34,18,77.5393
16,2048,34,20,77.4943
16,2048,34,22,79.2338
16,2048,34,24,78.3281
16,2048,34,26,77.4508
16,2048,34,28,74.8121
