threads,size,nb,ib,GFlops
8,4096,4,2,0.23954
8,4096,6,2,0.88566
8,4096,8,2,3.2015599999999997
8,4096,10,4,5.07484
8,4096,12,4,9.64872
8,4096,14,10,15.668420000000001
8,4096,16,12,21.60652
8,4096,18,12,23.8665
8,4096,20,12,31.048540000000003
8,4096,22,12,34.64692
8,4096,24,12,48.83272
8,4096,26,24,52.796839999999996
8,4096,28,16,62.05292000000001
8,4096,30,24,64.42436000000001
8,4096,32,24,75.80538
8,4096,34,26,76.53958
8,4096,36,24,101.86276000000001
8,4096,38,24,92.44200000000001
8,4096,40,24,101.42794
8,4096,42,24,100.12678000000001
8,4096,44,24,107.34013999999999
8,4096,46,24,105.80578
8,4096,48,24,138.95408
8,4096,50,26,126.64128000000001
8,4096,52,28,131.74086
8,4096,54,28,126.28135999999999
8,4096,56,28,134.44236
8,4096,58,32,131.33689999999999
8,4096,60,36,161.93084
8,4096,62,36,145.3992
8,4096,64,36,150.4578
8,4096,66,40,143.51746
8,4096,68,36,150.55946
8,4096,70,44,144.62287999999998
8,4096,72,36,178.13524
8,4096,74,38,159.58476000000002
8,4096,76,40,166.33374
8,4096,78,42,159.07546
8,4096,80,36,163.23971999999998
8,4096,82,42,161.2839
8,4096,84,48,187.9391
8,4096,86,36,168.93578
8,4096,88,24,178.57908
8,4096,90,36,170.30984
8,4096,92,36,176.21787999999998
8,4096,94,50,168.41667999999999
8,4096,96,24,204.16604
8,4096,98,36,182.36932000000002
8,4096,100,24,187.7777
8,4096,102,36,178.86126
8,4096,104,26,185.84560000000002
8,4096,106,36,178.86888
8,4096,108,24,208.38521999999998
8,4096,110,36,186.5693
8,4096,112,24,198.2508
8,4096,114,38,188.37628
8,4096,116,48,191.17266
8,4096,118,36,187.5044
8,4096,120,24,217.94279999999998
8,4096,122,48,198.04988
8,4096,124,24,198.13072
8,4096,126,48,196.31271999999998
8,4096,128,24,203.90458
8,4096,130,48,193.85206
8,4096,132,24,217.9942
8,4096,134,36,204.87788
8,4096,136,24,212.44153999999997
8,4096,138,48,204.37282
8,4096,140,48,207.77258
8,4096,142,36,204.05336
8,4096,144,24,231.18027999999998
8,4096,146,36,206.23372
8,4096,148,36,214.92046
8,4096,150,48,207.3719
8,4096,152,24,218.24362000000002
8,4096,154,36,206.62974
8,4096,156,24,230.15574
8,4096,158,36,219.95598
8,4096,160,36,222.2324
