threads,size,nb,ib,GFlops
8,4096,4,2,0.0
8,4096,6,2,0.0
8,4096,6,4,0.0
8,4096,8,2,0.0
8,4096,8,4,0.0
8,4096,8,6,0.0
8,4096,10,2,0.0
8,4096,10,4,0.0
8,4096,10,6,0.0
8,4096,10,8,0.0
8,4096,12,2,0.0
8,4096,12,4,0.0
8,4096,12,6,0.0
8,4096,12,8,0.0
8,4096,12,10,0.0
8,4096,14,2,0.0
8,4096,14,4,0.0
8,4096,14,6,0.0
8,4096,14,8,0.0
8,4096,14,10,0.0
8,4096,14,12,0.0
8,4096,16,2,0.0
8,4096,16,4,0.0
8,4096,16,6,0.0
8,4096,16,8,0.0
8,4096,16,10,0.0
8,4096,16,12,0.0
8,4096,16,14,0.0
8,4096,18,2,0.0
8,4096,18,4,0.0
8,4096,18,6,0.0
8,4096,18,8,0.0
8,4096,18,10,0.0
8,4096,18,12,0.0
8,4096,18,14,0.0
8,4096,18,16,0.0
8,4096,20,2,0.0
8,4096,20,4,7.0429
8,4096,20,6,9.4239
8,4096,20,8,10.1041
8,4096,20,10,9.6561
8,4096,20,12,10.1143
8,4096,20,14,9.0816
8,4096,20,16,9.7089
8,4096,20,18,9.4784
8,4096,22,2,6.6363
8,4096,22,4,9.9451
8,4096,22,6,13.0493
8,4096,22,8,13.7484
8,4096,22,10,12.6074
8,4096,22,12,12.6083
8,4096,22,14,12.11
8,4096,22,16,13.1994
8,4096,22,18,11.4425
8,4096,22,20,11.1525
8,4096,24,2,7.1097
8,4096,24,4,12.9753
8,4096,24,6,16.2512
8,4096,24,8,16.1545
8,4096,24,10,14.4098
8,4096,24,12,17.0886
8,4096,24,14,18.2773
8,4096,24,16,15.7197
8,4096,24,18,15.4266
8,4096,24,20,16.3606
8,4096,24,22,15.6856
8,4096,26,2,7.5495
8,4096,26,4,12.2629
8,4096,26,6,15.5853
8,4096,26,8,17.698
8,4096,26,10,19.423
8,4096,26,12,18.2114
8,4096,26,14,21.1982
8,4096,26,16,22.1159
8,4096,26,18,21.3502
8,4096,26,20,16.6991
8,4096,26,22,21.1568
8,4096,26,24,21.5677
8,4096,28,2,8.979
8,4096,28,4,15.431
8,4096,28,6,19.103
8,4096,28,8,20.5233
8,4096,28,10,23.6991
8,4096,28,12,22.3311
8,4096,28,14,26.2095
8,4096,28,16,25.2945
8,4096,28,18,26.1262
8,4096,28,20,26.2533
8,4096,28,22,26.0033
8,4096,28,24,24.3883
8,4096,28,26,25.7335
8,4096,30,2,9.9958
8,4096,30,4,16.6002
8,4096,30,6,22.5997
8,4096,30,8,25.2692
8,4096,30,10,27.3826
8,4096,30,12,26.2217
8,4096,30,14,26.4566
8,4096,30,16,30.227
8,4096,30,18,30.0971
8,4096,30,20,29.1343
8,4096,30,22,30.458
8,4096,30,24,32.8102
8,4096,30,26,30.2572
8,4096,30,28,27.3139
8,4096,32,2,11.7284
8,4096,32,4,20.133
8,4096,32,6,23.5212
8,4096,32,8,31.0435
8,4096,32,10,27.1738
8,4096,32,12,32.7922
8,4096,32,14,30.3236
8,4096,32,16,38.296
8,4096,32,18,36.5487
8,4096,32,20,37.8926
8,4096,32,22,37.5663
8,4096,32,24,35.6625
8,4096,32,26,37.4509
8,4096,32,28,36.3909
8,4096,32,30,31.9723
8,4096,34,2,12.0603
8,4096,34,4,20.3489
8,4096,34,6,25.3028
8,4096,34,8,24.4494
8,4096,34,10,29.1587
8,4096,34,12,31.8047
8,4096,34,14,35.1605
8,4096,34,16,33.8735
8,4096,34,18,41.3336
8,4096,34,20,31.0091
8,4096,34,22,35.9772
8,4096,34,24,40.9677
8,4096,34,26,35.3767
8,4096,34,28,41.0617
8,4096,34,30,33.4717
8,4096,34,32,40.4615
8,4096,36,2,12.9853
8,4096,36,4,22.6475
8,4096,36,6,27.3268
8,4096,36,8,30.0758
8,4096,36,10,35.5289
8,4096,36,12,36.5245
8,4096,36,14,33.7757
8,4096,36,16,41.3119
8,4096,36,18,40.7416
8,4096,36,20,34.6649
8,4096,36,22,44.6061
8,4096,36,24,45.9221
8,4096,36,26,44.2942
8,4096,36,28,45.5454
8,4096,36,30,38.8694
8,4096,36,32,46.0873
8,4096,36,34,43.0519
8,4096,38,2,14.5245
8,4096,38,4,23.5211
8,4096,38,6,28.3445
8,4096,38,8,37.5152
8,4096,38,10,37.4004
8,4096,38,12,32.8333
8,4096,38,14,41.4705
8,4096,38,16,44.244
8,4096,38,18,41.7283
8,4096,38,20,45.9777
8,4096,38,22,43.8604
8,4096,38,24,43.5377
8,4096,38,26,40.7395
8,4096,38,28,48.2255
8,4096,38,30,46.6405
8,4096,38,32,42.3028
8,4096,38,34,41.6932
8,4096,38,36,35.4021
8,4096,40,2,15.5765
8,4096,40,4,24.7259
8,4096,40,6,32.9064
8,4096,40,8,41.2632
8,4096,40,10,40.168
8,4096,40,12,39.3434
8,4096,40,14,42.2958
8,4096,40,16,49.4019
8,4096,40,18,46.0066
8,4096,40,20,48.5783
8,4096,40,22,48.2301
8,4096,40,24,56.6648
8,4096,40,26,49.8403
8,4096,40,28,45.9021
8,4096,40,30,44.664
8,4096,40,32,50.2015
8,4096,40,34,47.9595
8,4096,40,36,52.1615
8,4096,40,38,45.6249
8,4096,42,2,16.2743
8,4096,42,4,25.1023
8,4096,42,6,36.3581
8,4096,42,8,35.8711
8,4096,42,10,37.0635
8,4096,42,12,45.0933
8,4096,42,14,48.8294
8,4096,42,16,46.9404
8,4096,42,18,48.2182
8,4096,42,20,50.1531
8,4096,42,22,50.4312
8,4096,42,24,55.6959
8,4096,42,26,46.6455
8,4096,42,28,54.2442
8,4096,42,30,46.9226
8,4096,42,32,49.6445
8,4096,42,34,53.1996
8,4096,42,36,46.6857
8,4096,42,38,47.5679
8,4096,42,40,45.9148
8,4096,44,2,16.712
8,4096,44,4,29.1911
8,4096,44,6,30.6611
8,4096,44,8,42.5069
8,4096,44,10,44.3595
8,4096,44,12,48.634
8,4096,44,14,44.0756
8,4096,44,16,55.183
8,4096,44,18,54.5337
8,4096,44,20,48.7721
8,4096,44,22,55.4335
8,4096,44,24,61.2443
8,4096,44,26,53.9327
8,4096,44,28,50.7018
8,4096,44,30,52.5103
8,4096,44,32,60.6577
8,4096,44,34,50.454
8,4096,44,36,52.3442
8,4096,44,38,57.3341
8,4096,44,40,56.6077
8,4096,44,42,50.8056
8,4096,46,2,17.4061
8,4096,46,4,30.1277
8,4096,46,6,40.8763
8,4096,46,8,44.7828
8,4096,46,10,48.498
8,4096,46,12,47.5729
8,4096,46,14,49.0789
8,4096,46,16,60.0428
8,4096,46,18,55.9037
8,4096,46,20,52.2428
8,4096,46,22,57.89
8,4096,46,24,65.267
8,4096,46,26,63.0378
8,4096,46,28,62.7446
8,4096,46,30,56.9241
8,4096,46,32,64.4121
8,4096,46,34,58.0037
8,4096,46,36,55.1452
8,4096,46,38,49.002
8,4096,46,40,63.3786
8,4096,46,42,60.3076
8,4096,46,44,60.2752
8,4096,48,2,18.4347
8,4096,48,4,33.0731
8,4096,48,6,43.0952
8,4096,48,8,51.7737
8,4096,48,10,49.0391
8,4096,48,12,57.9921
8,4096,48,14,58.6504
8,4096,48,16,62.7677
8,4096,48,18,57.9162
8,4096,48,20,63.9432
8,4096,48,22,62.5058
8,4096,48,24,71.7998
8,4096,48,26,68.0174
8,4096,48,28,70.8178
8,4096,48,30,68.3612
8,4096,48,32,71.2609
8,4096,48,34,65.4315
8,4096,48,36,69.8387
8,4096,48,38,66.6409
8,4096,48,40,69.7784
8,4096,48,42,68.1737
8,4096,48,44,67.7846
8,4096,48,46,65.443
8,4096,50,2,19.7993
8,4096,50,4,34.1644
8,4096,50,6,40.9883
8,4096,50,8,51.1725
8,4096,50,10,47.5854
8,4096,50,12,54.9588
8,4096,50,14,60.6632
8,4096,50,16,64.3216
8,4096,50,18,64.4859
