threads,size,nb,ib,GFlops
8.0,4096,4,2,0.0
8.0,4096,6,2,0.0
8.0,4096,8,2,0.0
8.0,4096,10,2,0.0
8.0,4096,12,2,0.0
8.0,4096,14,2,0.0
8.0,4096,16,2,0.0
8.0,4096,18,2,0.0
8.0,4096,20,16,9.96568
8.0,4096,22,16,12.99934
8.0,4096,24,16,18.02142
8.0,4096,26,14,22.48616
8.0,4096,28,20,27.713440000000002
8.0,4096,30,24,32.55876
8.0,4096,32,16,38.95662
8.0,4096,34,18,41.30766
8.0,4096,36,24,46.53122
8.0,4096,38,32,49.54914
8.0,4096,40,24,55.221140000000005
8.0,4096,42,24,56.634640000000005
8.0,4096,44,24,60.69539999999999
8.0,4096,46,24,65.2095
8.0,4096,48,24,71.4666
8.0,4096,50,40,70.06032
8.0,4096,52,32,75.59794000000001
8.0,4096,54,30,79.51658
8.0,4096,56,32,86.0096
8.0,4096,58,48,83.31028
8.0,4096,60,40,87.96626
8.0,4096,62,40,90.75126
8.0,4096,64,40,98.52655999999999
8.0,4096,66,40,92.92386
8.0,4096,68,40,98.65752
8.0,4096,70,40,101.52402
8.0,4096,72,40,108.4093
8.0,4096,74,40,102.96166000000001
8.0,4096,76,56,104.86869999999999
8.0,4096,78,48,105.68978
8.0,4096,80,40,111.35918
8.0,4096,82,42,110.75147999999999
8.0,4096,84,48,111.88119999999999
8.0,4096,86,44,109.91864000000001
8.0,4096,88,32,118.61576
8.0,4096,90,24,114.43342
8.0,4096,92,52,114.5068
8.0,4096,94,40,118.1277
8.0,4096,96,24,125.68864
8.0,4096,98,40,117.82692
8.0,4096,100,32,118.65408
8.0,4096,102,48,121.29585999999999
8.0,4096,104,40,125.89212
8.0,4096,106,48,120.27054000000001
8.0,4096,108,40,124.0225
8.0,4096,110,40,124.50729999999999
8.0,4096,112,40,130.85302
8.0,4096,114,48,125.52852
8.0,4096,116,40,127.0717
8.0,4096,118,48,128.97284
8.0,4096,120,40,132.36824
8.0,4096,122,32,128.02732
8.0,4096,124,32,129.2622
8.0,4096,126,32,133.86636000000001
8.0,4096,128,24,133.27488
8.0,4096,130,40,131.07174
8.0,4096,132,24,130.04578
8.0,4096,134,48,133.6153
8.0,4096,136,24,138.9257
8.0,4096,138,40,133.73899999999998
8.0,4096,140,48,134.06582
8.0,4096,142,24,136.82184
8.0,4096,144,24,141.25358
8.0,4096,146,32,132.00889999999998
8.0,4096,148,32,136.49702
8.0,4096,150,32,138.03374000000002
8.0,4096,152,32,141.25618
8.0,4096,154,32,134.75621999999998
8.0,4096,156,24,138.04084
8.0,4096,158,24,143.0933
8.0,4096,160,32,142.51008
8.0,4096,162,48,135.0943
8.0,4096,164,40,134.83653999999999
8.0,4096,166,24,138.48013999999998
8.0,4096,168,40,142.03856000000002
8.0,4096,170,46,135.7742
8.0,4096,172,32,136.55466
8.0,4096,174,24,139.34718
8.0,4096,176,40,144.4385
8.0,4096,178,24,137.62274
8.0,4096,180,24,141.59714
8.0,4096,182,24,141.56086
8.0,4096,184,32,144.48308
8.0,4096,186,40,140.42912
8.0,4096,188,40,139.7962
8.0,4096,190,32,140.57523999999998
8.0,4096,192,32,143.36581999999999
8.0,4096,194,24,137.11884
8.0,4096,196,40,141.6728
8.0,4096,198,24,141.2334
8.0,4096,200,24,141.23942
8.0,4096,202,24,139.26784
8.0,4096,204,32,139.32742000000002
8.0,4096,206,24,141.04551999999998
8.0,4096,208,24,143.89146
8.0,4096,210,40,139.73186
8.0,4096,212,24,139.5121
8.0,4096,214,24,141.69526000000002
8.0,4096,216,24,146.75982
8.0,4096,218,24,138.91474
8.0,4096,220,24,141.49092000000002
8.0,4096,222,40,138.32198
8.0,4096,224,24,143.31144
8.0,4096,226,24,136.21815999999998
8.0,4096,228,24,138.48327999999998
8.0,4096,230,24,138.8577
8.0,4096,232,24,142.47138
8.0,4096,234,24,142.17347999999998
8.0,4096,236,40,140.6346
8.0,4096,238,24,140.22701999999998
8.0,4096,240,24,141.75209999999998
8.0,4096,242,40,138.09868
8.0,4096,244,32,137.53303999999997
8.0,4096,246,24,140.26978
8.0,4096,248,32,142.91646
8.0,4096,250,24,138.99794000000003
8.0,4096,252,24,140.8426
8.0,4096,254,24,138.50576
8.0,4096,256,24,139.20142
8.0,4096,258,32,133.16816
8.0,4096,260,16,138.57834
8.0,4096,262,32,137.49434000000002
8.0,4096,264,24,142.7724
8.0,4096,266,24,137.21800000000002
8.0,4096,268,32,137.60826
8.0,4096,270,24,136.84074
8.0,4096,272,24,139.0093
8.0,4096,274,24,137.4218
8.0,4096,276,24,139.04512
8.0,4096,278,24,137.81668
8.0,4096,280,24,140.5241
8.0,4096,282,24,137.9828
8.0,4096,284,24,136.52062
8.0,4096,286,16,134.46905999999998
8.0,4096,288,24,137.75642
8.0,4096,290,16,132.635
8.0,4096,292,24,131.52316000000002
8.0,4096,294,16,135.19728
8.0,4096,296,24,135.57792
8.0,4096,298,32,131.1708
8.0,4096,300,24,133.20058
8.0,4096,302,24,132.83116
8.0,4096,304,32,131.08364
8.0,4096,306,24,136.56586
8.0,4096,308,24,134.54502
8.0,4096,310,24,130.55938
8.0,4096,312,24,128.43276
8.0,4096,314,32,125.20774000000002
8.0,4096,316,24,127.19302
8.0,4096,318,16,131.3209
8.0,4096,320,24,129.9676
8.0,4096,322,16,126.6526
8.0,4096,324,22,126.21387999999999
8.0,4096,326,24,125.06856
8.0,4096,328,24,125.13456
8.0,4096,330,24,127.8602
8.0,4096,332,16,126.63632
8.0,4096,334,16,120.72168000000002
8.0,4096,336,24,120.40252000000001
8.0,4096,338,24,118.51594
8.0,4096,340,22,112.43688
8.0,4096,342,24,113.98322
8.0,4096,344,14,115.41266
8.0,4096,346,24,114.9066
8.0,4096,348,16,111.1993
8.0,4096,350,16,116.31282000000002
8.0,4096,352,16,115.99902
8.0,4096,354,16,115.92411999999999
8.0,4096,356,14,110.16846000000001
8.0,4096,358,14,110.59186
8.0,4096,360,14,112.77932000000001
8.0,4096,362,14,110.60778
8.0,4096,364,14,105.87460000000002
8.0,4096,366,16,107.80768
8.0,4096,368,8,100.8315
8.0,4096,370,16,99.68556000000001
8.0,4096,372,14,96.15252000000001
8.0,4096,374,14,95.66738000000001
8.0,4096,376,14,97.87773999999999
8.0,4096,378,16,97.38856000000001
8.0,4096,380,16,96.71144
8.0,4096,382,16,98.03766
8.0,4096,384,16,94.89226
8.0,4096,386,16,94.95372
8.0,4096,388,30,92.65788
8.0,4096,390,16,89.90446
8.0,4096,392,40,91.57298
8.0,4096,394,40,91.92670000000001
