threads,size,nb,ib,GFlops
16,4096,4,2,0.08706
16,4096,6,2,0.30306
16,4096,8,2,0.75218
16,4096,10,2,2.912
16,4096,12,2,3.56338
16,4096,14,6,8.27482
16,4096,16,6,11.493799999999998
16,4096,18,12,17.6124
16,4096,20,18,23.91126
16,4096,22,18,29.72862
16,4096,24,22,35.54434
16,4096,26,20,40.67468
16,4096,28,20,47.11574
16,4096,30,24,54.30592
16,4096,32,26,60.506359999999994
16,4096,34,18,66.47578
16,4096,36,24,73.33840000000001
16,4096,38,30,80.79982
16,4096,40,24,88.61444
16,4096,42,26,96.00219999999999
16,4096,44,36,101.3416
16,4096,46,24,105.39456
16,4096,48,24,116.06966
16,4096,50,36,118.56612
16,4096,52,30,126.2328
16,4096,54,32,131.37734
16,4096,56,32,134.99358
16,4096,58,40,142.28894
16,4096,60,34,145.88173999999998
16,4096,62,38,149.36970000000002
16,4096,64,32,159.58558
16,4096,66,40,159.11982
16,4096,68,56,162.74097999999998
16,4096,70,38,172.90126
16,4096,72,42,175.13112
16,4096,74,44,175.39994000000002
16,4096,76,38,187.34582
16,4096,78,30,184.65436
16,4096,80,42,185.21926
16,4096,82,44,202.88012
16,4096,84,48,199.15730000000002
16,4096,86,34,197.38602
16,4096,88,32,205.5573
16,4096,90,32,210.40338000000003
16,4096,92,32,215.64587999999998
16,4096,94,40,212.51500000000001
16,4096,96,44,216.73226
16,4096,98,40,224.07282
16,4096,100,36,231.97896
16,4096,102,36,225.97323999999998
16,4096,104,36,231.8009
16,4096,106,36,237.12402000000003
16,4096,108,40,240.68696
16,4096,110,40,236.594
16,4096,112,28,246.11846
16,4096,114,40,246.6954
16,4096,116,32,249.18952
16,4096,118,30,248.78180000000003
16,4096,120,44,252.71916000000002
16,4096,122,32,257.98447999999996
16,4096,124,32,258.00908
16,4096,126,42,256.8265
16,4096,128,32,261.31046000000003
16,4096,130,36,258.29066
16,4096,132,44,265.68992
16,4096,134,34,263.96318
16,4096,136,46,258.29362000000003
16,4096,138,40,261.0883
16,4096,140,40,261.11248
16,4096,142,32,262.12574
16,4096,144,32,264.9688
16,4096,146,32,260.85226
16,4096,148,30,262.9907
16,4096,150,32,267.39572
16,4096,152,40,272.21318
16,4096,154,32,272.8762
16,4096,156,28,269.05201999999997
16,4096,158,32,268.94436
16,4096,160,40,271.76176
16,4096,162,32,272.49555999999995
16,4096,164,40,278.03254
16,4096,166,44,272.99156
16,4096,168,36,272.97292
16,4096,170,40,272.9156
16,4096,172,38,271.14224
16,4096,174,44,277.95402
16,4096,176,40,282.91808000000003
16,4096,178,40,278.65506
