threads,size,nb,ib,GFlops
threads,size,nb,ib,GFlops
4,8192,4,2,0.0
4,8192,6,2,0.0
4,8192,6,4,0.0
4,8192,8,2,0.0
4,8192,8,4,0.0
4,8192,8,6,0.0
4,8192,10,2,0.0
4,8192,10,4,0.0
4,8192,10,6,0.0
4,8192,10,8,0.0
4,8192,12,2,0.0
4,8192,12,4,0.0
4,8192,12,6,0.0
4,8192,12,8,0.0
4,8192,12,10,0.0
4,8192,14,2,0.0
4,8192,14,4,0.0
4,8192,14,6,0.0
4,8192,14,8,0.0
4,8192,14,10,0.0
4,8192,14,12,0.0
4,8192,16,2,0.0
4,8192,16,4,0.0
4,8192,16,6,0.0
4,8192,16,8,0.0
4,8192,16,10,0.0
4,8192,16,12,0.0
4,8192,16,14,0.0
4,8192,18,2,0.0
4,8192,18,4,0.0
4,8192,18,6,0.0
4,8192,18,8,0.0
4,8192,18,10,0.0
4,8192,18,12,0.0
4,8192,18,14,0.0
4,8192,18,16,0.0
4,8192,20,2,0.0
4,8192,20,4,0.0
4,8192,20,6,0.0
4,8192,20,8,0.0
4,8192,20,10,0.0
4,8192,20,12,0.0
4,8192,20,14,0.0
4,8192,20,16,0.0
4,8192,20,18,0.0
4,8192,22,2,0.0
4,8192,22,4,0.0
4,8192,22,6,0.0
4,8192,22,8,0.0
4,8192,22,10,0.0
4,8192,22,12,0.0
4,8192,22,14,0.0
4,8192,22,16,0.0
4,8192,22,18,0.0
4,8192,22,20,0.0
4,8192,24,2,0.0
4,8192,24,4,0.0
4,8192,24,6,0.0
4,8192,24,8,0.0
4,8192,24,10,0.0
4,8192,24,12,0.0
4,8192,24,14,0.0
4,8192,24,16,0.0
4,8192,24,18,0.0
4,8192,24,20,0.0
4,8192,24,22,0.0
4,8192,26,2,0.0
4,8192,26,4,0.0
4,8192,26,6,0.0
4,8192,26,8,0.0
4,8192,26,10,0.0
4,8192,26,12,0.0
4,8192,26,14,0.0
4,8192,26,16,0.0
4,8192,26,18,0.0
4,8192,26,20,0.0
4,8192,26,22,0.0
4,8192,26,24,0.0
4,8192,28,2,0.0
4,8192,28,4,0.0
4,8192,28,6,0.0
4,8192,28,8,0.0
4,8192,28,10,0.0
4,8192,28,12,0.0
4,8192,28,14,0.0
4,8192,28,16,0.0
4,8192,28,18,0.0
4,8192,28,20,0.0
4,8192,28,22,0.0
4,8192,28,24,0.0
4,8192,28,26,0.0
4,8192,30,2,0.0
4,8192,30,4,0.0
4,8192,30,6,0.0
4,8192,30,8,0.0
4,8192,30,10,0.0
4,8192,30,12,0.0
4,8192,30,14,0.0
4,8192,30,16,0.0
4,8192,30,18,0.0
4,8192,30,20,0.0
4,8192,30,22,0.0
4,8192,30,24,0.0
4,8192,30,26,0.0
4,8192,30,28,0.0
4,8192,32,2,0.0
4,8192,32,4,0.0
4,8192,32,6,0.0
4,8192,32,8,0.0
4,8192,32,10,0.0
4,8192,32,12,0.0
4,8192,32,14,0.0
4,8192,32,16,0.0
4,8192,32,18,0.0
4,8192,32,20,0.0
4,8192,32,22,0.0
4,8192,32,24,0.0
4,8192,32,26,0.0
4,8192,32,28,0.0
4,8192,32,30,0.0
4,8192,34,2,0.0
4,8192,34,4,0.0
4,8192,34,6,0.0
4,8192,34,8,0.0
4,8192,34,10,0.0
4,8192,34,12,0.0
4,8192,34,14,0.0
4,8192,34,16,0.0
4,8192,34,18,0.0
4,8192,34,20,0.0
4,8192,34,22,0.0
4,8192,34,24,0.0
4,8192,34,26,0.0
4,8192,34,28,0.0
4,8192,34,30,0.0
4,8192,34,32,0.0
4,8192,36,2,0.0
4,8192,36,4,0.0
4,8192,36,6,0.0
4,8192,36,8,0.0
4,8192,36,10,0.0
4,8192,36,12,0.0
4,8192,36,14,0.0
4,8192,36,16,0.0
4,8192,36,18,0.0
4,8192,36,20,0.0
4,8192,36,22,0.0
4,8192,36,24,0.0
4,8192,36,26,0.0
4,8192,36,28,0.0
4,8192,36,30,0.0
4,8192,36,32,0.0
4,8192,36,34,0.0
4,8192,38,2,0.0
4,8192,38,4,0.0
4,8192,38,6,0.0
4,8192,38,8,0.0
4,8192,38,10,0.0
4,8192,38,12,0.0
4,8192,38,14,0.0
4,8192,38,16,0.0
4,8192,38,18,0.0
4,8192,38,20,0.0
4,8192,38,22,0.0
4,8192,38,24,0.0
4,8192,38,26,0.0
4,8192,38,28,0.0
4,8192,38,30,0.0
4,8192,38,32,0.0
4,8192,38,34,0.0
4,8192,38,36,0.0
4,8192,40,2,0.0
4,8192,40,4,0.0
4,8192,40,6,0.0
4,8192,40,8,0.0
4,8192,40,10,0.0
4,8192,40,12,0.0
4,8192,40,14,0.0
4,8192,40,16,0.0
4,8192,40,18,0.0
4,8192,40,20,0.0
4,8192,40,22,0.0
4,8192,40,24,0.0
4,8192,40,26,0.0
4,8192,40,28,0.0
4,8192,40,30,0.0
4,8192,40,32,0.0
4,8192,40,34,0.0
4,8192,40,36,0.0
4,8192,40,38,0.0
4,8192,42,2,0.0
4,8192,42,4,0.0
4,8192,42,6,0.0
4,8192,42,8,0.0
4,8192,42,10,0.0
4,8192,42,12,0.0
4,8192,42,14,0.0
4,8192,42,16,0.0
4,8192,42,18,0.0
4,8192,42,20,0.0
4,8192,42,22,0.0
4,8192,42,24,0.0
4,8192,42,26,0.0
4,8192,42,28,0.0
4,8192,42,30,0.0
4,8192,42,32,0.0
4,8192,42,34,0.0
4,8192,42,36,0.0
4,8192,42,38,0.0
4,8192,42,40,0.0
4,8192,44,2,0.0
4,8192,44,4,0.0
4,8192,44,6,0.0
4,8192,44,8,0.0
4,8192,44,10,0.0
4,8192,44,12,0.0
4,8192,44,14,0.0
4,8192,44,16,0.0
4,8192,44,18,0.0
4,8192,44,20,0.0
4,8192,44,22,0.0
4,8192,44,24,0.0
4,8192,44,26,0.0
4,8192,44,28,0.0
4,8192,44,30,0.0
4,8192,44,32,0.0
4,8192,44,34,0.0
4,8192,44,36,0.0
4,8192,44,38,0.0
4,8192,44,40,0.0
4,8192,44,42,0.0
4,8192,46,2,0.0
4,8192,46,4,12.2084
4,8192,46,6,16.87
4,8192,46,8,0.0
4,8192,46,10,0.0
4,8192,46,12,0.0
4,8192,46,14,0.0
4,8192,46,16,0.0
4,8192,46,18,0.0
4,8192,46,20,0.0
4,8192,46,22,0.0
4,8192,46,24,0.0
4,8192,46,26,0.0
4,8192,46,28,0.0
4,8192,46,30,0.0
4,8192,46,32,0.0
4,8192,46,34,0.0
4,8192,46,36,0.0
4,8192,46,38,0.0
4,8192,46,40,0.0
4,8192,46,42,0.0
4,8192,46,44,0.0
4,8192,48,2,7.6018
4,8192,48,4,14.9064
4,8192,48,6,20.6194
4,8192,48,8,25.8946
4,8192,48,10,27.9213
4,8192,48,12,0.0
4,8192,48,14,30.5529
4,8192,48,16,37.2757
4,8192,48,18,35.6816
4,8192,48,20,36.0862
4,8192,48,22,35.4095
4,8192,48,24,44.4797
4,8192,48,26,42.2056
4,8192,48,28,42.85
4,8192,48,30,38.6721
4,8192,48,32,43.4621
4,8192,48,34,41.733
4,8192,48,36,0.0
4,8192,48,38,0.0
4,8192,48,40,0.0
4,8192,48,42,40.5951
4,8192,48,44,0.0
4,8192,48,46,41.7728
4,8192,50,2,7.9249
4,8192,50,4,14.4471
4,8192,50,6,18.1921
4,8192,50,8,24.5656
4,8192,50,10,27.6967
4,8192,50,12,28.4998
4,8192,50,14,32.811
4,8192,50,16,33.2129
4,8192,50,18,36.767
4,8192,50,20,38.25
4,8192,50,22,37.0661
4,8192,50,24,38.0565
4,8192,50,26,43.5523
4,8192,50,28,43.4299
4,8192,50,30,42.9952
4,8192,50,32,43.6219
4,8192,50,34,44.4262
4,8192,50,36,43.4357
4,8192,50,38,42.9639
4,8192,50,40,44.4381
4,8192,50,42,43.3542
4,8192,50,44,43.1902
4,8192,50,46,42.0141
4,8192,50,48,42.9948
4,8192,52,2,8.6612
4,8192,52,4,15.3399
4,8192,52,6,20.8949
4,8192,52,8,24.2343
4,8192,52,10,27.5155
4,8192,52,12,31.1391
4,8192,52,14,34.4429
4,8192,52,16,35.891
4,8192,52,18,39.4868
4,8192,52,20,40.3847
4,8192,52,22,39.7736
4,8192,52,24,40.9191
4,8192,52,26,45.9616
4,8192,52,28,47.3269
4,8192,52,30,45.9817
4,8192,52,32,47.4892
4,8192,52,34,45.5648
4,8192,52,36,46.3815
4,8192,52,38,45.1646
4,8192,52,40,44.0846
4,8192,52,42,44.6971
4,8192,52,44,46.1737
4,8192,52,46,46.244
4,8192,52,48,45.281
4,8192,52,50,44.5635
4,8192,54,2,8.6055
4,8192,54,4,14.7402
4,8192,54,6,22.3545
4,8192,54,8,27.3603
4,8192,54,10,29.4565
4,8192,54,12,32.29
4,8192,54,14,33.9499
4,8192,54,16,37.7968
4,8192,54,18,40.7385
4,8192,54,20,41.6354
4,8192,54,22,42.0967
4,8192,54,24,42.9255
4,8192,54,26,38.8674
4,8192,54,28,48.3708
4,8192,54,30,47.7967
4,8192,54,32,47.8745
4,8192,54,34,46.8708
4,8192,54,36,47.1576
4,8192,54,38,47.9454
4,8192,54,40,47.5158
4,8192,54,42,46.932
4,8192,54,44,48.8
4,8192,54,46,46.9355
4,8192,54,48,48.0014
4,8192,54,50,46.413
4,8192,54,52,46.7151
4,8192,56,2,8.8832
4,8192,56,4,17.4135
4,8192,56,6,22.0295
4,8192,56,8,29.467
4,8192,56,10,31.7896
4,8192,56,12,35.3185
4,8192,56,14,38.2244
4,8192,56,16,39.7961
4,8192,56,18,38.4576
4,8192,56,20,43.3142
4,8192,56,22,43.2807
4,8192,56,24,45.258
