threads,size,nb,ib,GFlops
4,4096,4,2,0.0
4,4096,6,2,0.0
4,4096,8,2,0.0
4,4096,10,2,0.0
4,4096,12,2,0.0
4,4096,14,2,0.0
4,4096,16,2,0.0
4,4096,18,2,0.0
4,4096,20,10,8.49842
4,4096,22,16,10.046875
4,4096,24,16,12.482375
4,4096,26,16,14.4605
4,4096,28,24,16.83115
4,4096,30,28,19.110660000000003
4,4096,32,24,22.771250000000002
4,4096,34,32,24.78235
4,4096,36,24,27.88095
4,4096,38,32,29.92325
4,4096,40,32,34.216575
4,4096,42,24,36.502925
4,4096,44,24,39.473025
4,4096,46,24,42.060025
4,4096,48,24,47.0933
4,4096,50,40,47.947225
4,4096,52,28,52.0606
4,4096,54,32,54.762075
4,4096,56,32,58.053725
4,4096,58,32,58.777125
4,4096,60,32,62.38895
4,4096,62,32,62.578
4,4096,64,40,66.91335
4,4096,66,40,66.371925
4,4096,68,44,69.18658
4,4096,70,38,71.21038
4,4096,72,40,75.99055
4,4096,74,42,72.60816
4,4096,76,44,77.16418
4,4096,78,40,76.04984999999999
4,4096,80,40,79.282375
4,4096,82,42,80.12480000000001
4,4096,84,44,84.47866
4,4096,86,46,81.6722
4,4096,88,48,84.205875
4,4096,90,46,85.33006
4,4096,92,48,86.11907500000001
4,4096,94,48,86.66785
4,4096,96,48,88.6369
4,4096,98,52,87.80416
4,4096,100,52,89.41092
4,4096,102,54,88.4747
4,4096,104,68,90.43889999999999
4,4096,106,60,90.17382
4,4096,108,60,94.8125
4,4096,110,40,91.681225
4,4096,112,40,94.553
4,4096,114,40,93.885075
4,4096,116,44,96.44500000000001
4,4096,118,40,96.4422
4,4096,120,40,97.16535
4,4096,122,72,96.75255
4,4096,124,42,98.67588
4,4096,126,32,97.662675
4,4096,128,44,100.5903
4,4096,130,36,98.37068000000001
4,4096,132,54,97.80192
4,4096,134,46,99.88078
4,4096,136,40,100.874875
4,4096,138,32,100.845725
4,4096,140,36,100.91956
4,4096,142,36,101.52882
4,4096,144,48,102.15285
4,4096,146,38,98.33318
4,4096,148,44,100.31530000000001
4,4096,150,30,99.9827
4,4096,152,32,103.124175
4,4096,154,40,103.411475
4,4096,156,32,103.57995
4,4096,158,32,105.297275
4,4096,160,28,102.113725
4,4096,162,24,101.669325
4,4096,164,44,107.67814000000001
4,4096,166,44,104.96956
4,4096,168,44,106.39529999999999
4,4096,170,48,103.19635
4,4096,172,36,103.54084
4,4096,174,48,107.333525
4,4096,176,40,109.26925
4,4096,178,44,105.04328000000001
4,4096,180,40,110.266225
4,4096,182,48,107.891175
4,4096,184,40,107.996125
4,4096,186,32,107.184225
4,4096,188,44,109.04326
4,4096,190,40,108.6126
4,4096,192,44,105.940425
4,4096,194,44,103.32224000000001
4,4096,196,40,112.3194
4,4096,198,40,111.3649
4,4096,200,46,109.1487
4,4096,202,36,106.32770000000001
4,4096,204,44,107.32874
4,4096,206,40,108.419
4,4096,208,44,112.1171
4,4096,210,46,109.86977999999999
4,4096,212,36,109.42474
4,4096,214,40,111.91095
4,4096,216,40,115.876025
4,4096,218,44,113.0667
4,4096,220,32,112.953475
4,4096,222,46,110.15804
4,4096,224,32,113.964275
4,4096,226,40,110.8365
4,4096,228,40,112.85885
4,4096,230,40,110.9885
4,4096,232,32,113.524925
4,4096,234,32,111.987025
4,4096,236,32,113.143025
4,4096,238,46,110.6561
4,4096,240,36,114.200175
4,4096,242,40,113.650025
4,4096,244,36,113.11618000000001
4,4096,246,32,112.9542
4,4096,248,32,116.1606
4,4096,250,36,113.69162000000001
4,4096,252,44,112.27796000000001
4,4096,254,40,112.308175
4,4096,256,32,111.38034999999999
4,4096,258,46,111.52978
4,4096,260,46,112.63810000000001
4,4096,262,48,112.69187500000001
4,4096,264,32,113.58494999999999
4,4096,266,32,113.889425
4,4096,268,36,111.00558000000001
4,4096,270,40,109.64645
4,4096,272,40,114.477575
4,4096,274,48,111.1754
4,4096,276,40,115.013825
4,4096,278,32,115.77680000000001
4,4096,280,32,113.960275
4,4096,282,32,111.633775
4,4096,284,32,113.537925
4,4096,286,42,111.56515999999999
4,4096,288,44,113.471575
4,4096,290,32,110.211775
4,4096,292,32,111.110725
4,4096,294,32,113.323925
4,4096,296,32,114.17695
4,4096,298,24,112.914475
4,4096,300,32,109.4529
4,4096,302,40,114.22555
4,4096,304,40,115.53444999999999
4,4096,306,32,114.031025
4,4096,308,40,114.98247500000001
4,4096,310,32,114.999925
4,4096,312,40,114.5214
4,4096,314,32,111.12010000000001
4,4096,316,40,116.35225
4,4096,318,32,114.01915
4,4096,320,32,111.845725
4,4096,322,32,113.484425
4,4096,324,40,114.2284
4,4096,326,40,113.33755000000001
4,4096,328,44,112.2277
4,4096,330,32,114.96815
4,4096,332,48,110.4708
4,4096,334,32,112.300675
4,4096,336,44,111.536225
4,4096,338,40,111.985125
4,4096,340,44,108.73106
4,4096,342,32,111.428725
4,4096,344,40,113.940125
4,4096,346,32,111.62575
4,4096,348,36,110.57344
4,4096,350,24,109.11817500000001
4,4096,352,40,111.08869999999999
4,4096,354,40,113.81875
4,4096,356,32,110.91097500000001
4,4096,358,40,112.97115
4,4096,360,32,111.50265
4,4096,362,32,111.0235
4,4096,364,32,109.124675
4,4096,366,32,109.29515
4,4096,368,40,107.12845
4,4096,370,46,104.51166
4,4096,372,40,103.36305
4,4096,374,46,109.06672
4,4096,376,32,108.43787499999999
4,4096,378,32,109.6571
4,4096,380,44,107.26698000000002
4,4096,382,36,108.77156
4,4096,384,32,106.48635
4,4096,386,36,109.92066
4,4096,388,32,106.816525
4,4096,390,40,109.73575
4,4096,392,40,106.77605
4,4096,394,40,109.18459999999999
4,4096,396,40,104.86705
4,4096,398,20,102.80157999999999
4,4096,400,32,102.35495
