config,node,threads,size,nb_opt,ib_opt,GFlops_max,GFlops_sd,noise_ratio,trials,nb_lo95,nb_hi95,nb_in_band,nb_scanned_lo,nb_scanned_hi,n_nb
aoba-b_s2_smt-off,par001,128,4096,156,48,420.4043,0.0,0.0,1,156,156,1,20,512,124
aoba-b_s2_smt-off,par002,128,4096,168,40,429.454,0.0,0.0,1,164,172,3,20,512,124
aoba-b_s2_smt-off,par004,128,4096,208,72,388.5307,0.0,0.0,1,208,208,1,20,512,124
aoba-b_s2_smt-off,par005,128,8192,316,56,937.9161,0.0,0.0,1,260,348,12,20,508,62
aoba-b_s2_smt-off,par006,128,4096,176,44,408.9309,0.0,0.0,1,172,176,2,20,512,124
aoba-b_s2_smt-off,par006,128,8192,316,56,941.524,0.0,0.0,1,308,348,6,20,508,62
aoba-b_s2_smt-off,par007,128,4096,180,84,415.5127,0.0,0.0,1,180,180,1,20,512,124
aoba-b_s2_smt-off,par007,128,8192,268,48,920.282,0.0,0.0,1,268,276,2,20,508,62
aoba-b_s2_smt-off,par034,128,8192,276,32,907.8549,0.0,0.0,1,276,284,2,20,508,62
aoba-b_s2_smt-off,par057,128,8192,308,40,933.2756,0.0,0.0,1,284,316,5,20,508,62
calc_s1_smt-off,calc,12,1024,88,24,65.94712,2.3405909685376423,0.7098387218540073,5,80,108,8,32,512,121
calc_s1_smt-off,calc,12,2048,152,40,129.16924,1.6437281444934824,0.2545076745041594,5,104,200,25,32,512,121
calc_s1_smt-off,calc,12,4096,232,48,175.4967,0.27063701705420967,0.03084240524798582,5,160,252,24,32,512,121
calc_s1_smt-off,calc,12,8192,376,64,204.18052,0.23684019295719952,0.023199097833348597,5,264,448,24,32,512,61
calc_s2_smt-off,calc,24,1024,96,12,62.35828,1.5616270319765868,0.5008563520278579,5,96,96,1,32,512,121
calc_s2_smt-off,calc,24,4096,200,40,287.47936,0.6748573723387621,0.04694997041448556,5,140,252,29,20,512,124
dogwood_s1_smt-off,dogwood,8,1024,96,32,79.35098,4.6041150709989855,1.16044315293875,5,88,104,5,32,512,121
dogwood_s1_smt-off,dogwood,8,2048,176,48,156.60978,0.38818649126418997,0.049573722824231024,5,136,200,17,32,512,121
dogwood_s1_smt-off,dogwood,8,4096,280,56,217.22364,1.365942218031215,0.12576368005169375,5,216,336,31,32,512,121
dogwood_s1_smt-off,dogwood,8,8192,360,72,259.18863999999996,0.5766990662381831,0.04450033506392743,5,280,496,55,32,512,121
epyc_s1_smt-off,epyc,32,1024,172,44,4.831300000000001,0.004217226576792111,0.017457937105094322,5,88,248,41,32,512,121
epyc_s1_smt-off,epyc,32,2048,232,64,18.83312,0.019901055248403958,0.021134103375759255,5,168,312,37,32,512,121
epyc_s1_smt-off,epyc,32,4096,168,56,566.60136,1.5669687945201667,0.05531115543104827,5,144,228,22,32,512,121
epyc_s1_smt-off,epyc,32,8192,328,88,799.04042,2.312099184074904,0.05787189549371993,5,216,440,29,32,512,61
epyc_s1_smt-off,epyc,32,16384,504,88,956.49868,7.759756071037308,0.1622533566076078,5,328,504,23,32,512,61
i3-10100_s1_smt-off,i3-10100,4,1024,148,40,84.90718,0.5845512697787937,0.13769183472558946,5,132,160,8,32,512,121
i3-10100_s1_smt-off,i3-10100,4,2048,264,40,113.41641999999999,0.4598872220447082,0.08109711487008817,5,160,284,32,32,512,121
i3-10100_s1_smt-off,i3-10100,4,4096,260,52,131.51302,1.2477290759616089,0.18974989335072812,5,176,508,84,32,512,121
i3-10100_s1_smt-off,i3-10100,4,8192,456,96,147.79023999999998,0.745979961527126,0.10095118074469951,5,304,512,27,32,512,61
i3-7100_s1_smt-on,i3-7100,4,1024,152,32,44.32588,0.34366216259576954,0.15506163108133197,5,116,164,13,32,512,121
i3-7100_s1_smt-on,i3-7100,4,2048,160,32,54.69524,0.284873134921495,0.10416743209152936,5,128,200,19,32,512,121
i3-7100_s1_smt-on,i3-7100,4,4096,160,32,60.48646,0.4178063702242931,0.13814872625188945,5,136,264,33,32,512,121
i3-7100_s1_smt-on,i3-7100,4,8192,192,64,66.12234,0.20970514538275015,0.06342943863836342,5,128,264,18,32,512,61
i3-8100_s1_smt-off,i3-8100,4,1024,152,32,65.30372,0.2715172130823363,0.08315520557859071,5,116,164,13,32,512,121
i3-8100_s1_smt-off,i3-8100,4,2048,192,48,82.75384,0.5310489412474086,0.12834424148714033,5,160,248,23,32,512,121
i3-8100_s1_smt-off,i3-8100,4,4096,208,52,97.39994,1.5337287384019345,0.31493422653072156,5,168,288,31,32,512,121
i3-8100_s1_smt-off,i3-8100,4,8192,224,48,108.70401999999999,0.9310455128510116,0.1712991870679689,5,168,336,22,32,512,61
i3-8100_s1_smt-off,i3-8100,4,16384,480,120,143.0785,0.0,0.0,1,336,512,12,32,512,31
i5-7400_s1_smt-off,i5-7400,4,1024,152,32,70.25898,0.14082850208676012,0.04008839925850336,5,116,160,12,32,512,121
i5-7400_s1_smt-off,i5-7400,4,2048,240,48,95.72332,0.29710945289572616,0.06207671294638049,5,160,284,32,32,512,121
i5-7400_s1_smt-off,i5-7400,4,4096,376,80,113.93418,0.7215412926506716,0.1266593207851536,5,216,508,74,32,512,121
i5-8500_s1_smt-off,i5-8500,6,1024,116,32,107.32268000000002,0.23202824612533698,0.043239368626526456,5,116,156,11,32,512,121
i5-8500_s1_smt-off,i5-8500,6,2048,192,48,152.44765999999998,0.5399431757138827,0.07083653179246999,5,160,244,22,32,512,121
i5-8500_s1_smt-off,i5-8500,6,4096,260,52,183.2856,0.4242635560592117,0.04629535065048337,5,184,360,45,32,512,121
i5-8500_s1_smt-off,i5-8500,6,8192,376,96,187.14958000000001,2.887105763043672,0.3085345703734597,5,208,504,38,32,512,61
i5-8500_s1_smt-off,i5-8500,6,16384,480,96,193.28368,0.4745365496987489,0.04910259880179733,5,256,512,33,32,512,61
i7-7700_s1_smt-off,i7-7700,4,1024,148,40,79.32804,0.3049809387486364,0.0768910813247463,5,116,164,13,32,512,121
i7-7700_s1_smt-off,i7-7700,4,2048,260,48,109.1084,0.20196067686557276,0.037020188521795346,5,172,288,30,32,512,121
i7-7700_s1_smt-off,i7-7700,4,4096,376,80,131.2928,0.31268295444427974,0.04763139402073529,5,228,508,71,32,512,121
