threads,size,nb,ib,GFlops
64,2048,32,8,25.4004
64,2048,32,12,30.2825
64,2048,32,16,30.8656
64,2048,36,8,28.1516
64,2048,36,12,39.9632
64,2048,36,16,40.5552
64,2048,40,8,35.3583
64,2048,40,12,41.3713
64,2048,40,16,50.7905
64,2048,40,20,59.238
64,2048,44,8,39.7205
64,2048,44,12,54.3717
64,2048,44,16,67.9293
64,2048,44,20,63.3839
64,2048,48,8,49.5785
64,2048,48,12,66.8118
64,2048,48,16,78.9771
64,2048,48,20,79.3882
64,2048,48,24,86.9064
64,2048,52,8,51.3583
64,2048,52,12,66.442
64,2048,52,16,77.7545
64,2048,52,20,93.7499
64,2048,52,24,89.745
64,2048,56,8,63.0444
64,2048,56,12,76.8694
64,2048,56,16,90.7155
64,2048,56,20,99.84
64,2048,56,24,108.0361
64,2048,56,28,118.8089
64,2048,60,8,63.9475
64,2048,60,12,88.7022
64,2048,60,16,97.8014
64,2048,60,20,115.319
64,2048,60,24,114.2192
64,2048,60,28,112.0469
64,2048,64,8,79.001
64,2048,64,12,96.7126
64,2048,64,16,114.9724
64,2048,64,20,117.6283
64,2048,64,24,133.5593
64,2048,64,28,131.2251
64,2048,64,32,150.1026
64,2048,68,8,78.1992
64,2048,68,12,101.8745
64,2048,68,16,111.0529
64,2048,68,20,132.1196
64,2048,68,24,138.7809
64,2048,68,28,131.5084
64,2048,68,32,137.1702
64,2048,72,8,90.5832
64,2048,72,12,115.9965
64,2048,72,16,124.3822
64,2048,72,20,140.5677
64,2048,72,24,154.18
64,2048,72,28,144.6893
64,2048,72,32,155.3667
64,2048,72,36,169.7093
64,2048,76,8,91.3858
64,2048,76,12,115.3808
64,2048,76,16,144.8843
64,2048,76,20,152.8595
64,2048,76,24,145.078
64,2048,76,28,160.0572
64,2048,76,32,159.5092
64,2048,76,36,153.3297
64,2048,80,8,98.2833
64,2048,80,12,125.0382
64,2048,80,16,143.3526
64,2048,80,20,160.225
64,2048,80,24,148.7942
64,2048,80,28,156.7802
64,2048,80,32,167.68
64,2048,80,36,162.2702
64,2048,80,40,165.5298
64,2048,84,8,105.5983
64,2048,84,12,135.0652
64,2048,84,16,146.9572
64,2048,84,20,152.9905
64,2048,84,24,155.5443
64,2048,84,28,167.4478
64,2048,84,32,162.9531
64,2048,84,36,170.2049
64,2048,84,40,160.888
64,2048,88,8,116.3658
64,2048,88,12,138.2291
64,2048,88,16,147.2954
64,2048,88,20,166.8147
64,2048,88,24,155.6872
64,2048,88,28,163.5858
64,2048,88,32,178.2065
64,2048,88,36,164.9641
64,2048,88,40,165.4794
64,2048,88,44,173.5633
64,2048,92,8,118.4453
64,2048,92,12,143.6009
64,2048,92,16,153.7174
64,2048,92,20,162.9691
64,2048,92,24,168.0127
64,2048,92,28,170.5584
64,2048,92,32,181.1231
64,2048,92,36,165.7066
64,2048,92,40,175.567
64,2048,92,44,174.2904
64,2048,96,8,113.2877
64,2048,96,12,141.5126
64,2048,96,16,171.4523
64,2048,96,20,175.026
64,2048,96,24,173.7609
64,2048,96,28,164.942
64,2048,96,32,188.0469
64,2048,96,36,171.6793
64,2048,96,40,181.4002
64,2048,96,44,175.4725
64,2048,96,48,174.0442
64,2048,100,8,127.5313
64,2048,100,12,142.4764
64,2048,100,16,162.8093
64,2048,100,20,170.3361
64,2048,100,24,176.358
64,2048,100,28,169.1436
64,2048,100,32,171.8868
64,2048,100,36,103.2245
64,2048,100,40,185.3152
64,2048,100,44,171.4379
64,2048,100,48,167.4508
64,2048,104,8,131.3759
64,2048,104,12,159.9846
64,2048,104,16,177.7893
64,2048,104,20,158.5556
64,2048,104,24,119.7446
64,2048,104,28,153.3462
64,2048,104,32,175.8838
64,2048,104,36,147.464
64,2048,104,40,172.5174
64,2048,104,44,180.2245
64,2048,104,48,174.9283
64,2048,104,52,178.0149
64,2048,108,8,133.3353
64,2048,108,12,155.3695
64,2048,108,16,157.7001
64,2048,108,20,162.8267
64,2048,108,24,157.604
64,2048,108,28,170.5307
64,2048,108,32,188.9751
64,2048,108,36,182.2306
64,2048,108,40,175.1214
64,2048,108,44,135.1122
64,2048,108,48,170.5273
64,2048,108,52,166.2783
64,2048,112,8,129.5547
64,2048,112,12,154.4919
64,2048,112,16,166.8622
64,2048,112,20,156.3869
64,2048,112,24,166.6779
64,2048,112,28,182.6182
64,2048,112,32,180.3861
64,2048,112,36,155.4615
64,2048,112,40,190.3741
64,2048,112,44,176.5628
64,2048,112,48,171.6818
64,2048,112,52,174.2321
64,2048,112,56,156.3046
64,2048,116,8,140.3678
64,2048,116,12,157.1148
64,2048,116,16,150.4929
64,2048,116,20,181.5911
64,2048,116,24,168.9697
64,2048,116,28,176.8766
64,2048,116,32,176.2122
64,2048,116,36,173.0139
64,2048,116,40,165.9541
64,2048,116,44,184.7712
64,2048,116,48,183.8557
64,2048,116,52,170.4615
64,2048,116,56,177.5519
64,2048,120,8,139.0569
64,2048,120,12,155.0501
64,2048,120,16,171.7281
64,2048,120,20,161.829
64,2048,120,24,158.8512
64,2048,120,28,173.9905
64,2048,120,32,174.2364
64,2048,120,36,177.1136
64,2048,120,40,137.2166
64,2048,120,44,182.7975
64,2048,120,48,177.4466
64,2048,120,52,170.9074
64,2048,120,56,179.4745
64,2048,120,60,167.455
64,2048,124,8,129.4973
64,2048,124,12,160.332
64,2048,124,16,165.8175
64,2048,124,20,169.8089
64,2048,124,24,172.2931
64,2048,124,28,164.84
64,2048,124,32,169.5208
64,2048,124,36,172.5101
64,2048,124,40,129.2153
64,2048,124,44,188.737
64,2048,124,48,187.3273
64,2048,124,52,181.6781
64,2048,124,56,169.5471
64,2048,124,60,163.8787
64,2048,128,8,112.7586
64,2048,128,12,162.7939
64,2048,128,16,167.9988
64,2048,128,20,172.9538
64,2048,128,24,159.9772
64,2048,128,28,182.7467
64,2048,128,32,184.4221
64,2048,128,36,180.3595
64,2048,128,40,172.0372
64,2048,128,44,189.7229
64,2048,128,48,169.4909
64,2048,128,52,174.6841
64,2048,128,56,115.6771
64,2048,128,60,176.421
64,2048,128,64,170.4906
64,2048,132,8,136.8238
64,2048,132,12,154.9037
64,2048,132,16,159.9773
64,2048,132,20,167.3563
64,2048,132,24,179.3861
64,2048,132,28,173.5522
64,2048,132,32,183.795
64,2048,132,36,172.5137
64,2048,132,40,180.0972
64,2048,132,44,182.3917
64,2048,132,48,175.3724
64,2048,132,52,169.8821
64,2048,132,56,168.5612
64,2048,132,60,178.776
64,2048,132,64,169.2333
64,2048,136,8,134.1994
64,2048,136,12,157.4222
64,2048,136,16,161.6645
64,2048,136,20,173.3708
64,2048,136,24,171.7085
64,2048,136,28,170.8537
64,2048,136,32,180.3154
64,2048,136,36,111.5925
64,2048,136,40,188.7727
64,2048,136,44,165.5453
64,2048,136,48,177.3633
64,2048,136,52,188.2758
64,2048,136,56,164.7301
64,2048,136,60,170.7511
64,2048,136,64,162.4548
64,2048,136,68,164.4092
64,2048,140,8,136.0538
64,2048,140,12,147.569
64,2048,140,16,152.6851
64,2048,140,20,171.5593
64,2048,140,24,166.6482
64,2048,140,28,160.6723
64,2048,140,32,165.5568
64,2048,140,36,174.4571
64,2048,140,40,164.7338
64,2048,140,44,170.9237
64,2048,140,48,189.4166
64,2048,140,52,173.9517
64,2048,140,56,178.8172
64,2048,140,60,160.7572
64,2048,140,64,152.7712
64,2048,140,68,160.6189
64,2048,144,8,138.6685
64,2048,144,12,160.0017
64,2048,144,16,169.7509
64,2048,144,20,163.582
64,2048,144,24,164.4715
64,2048,144,28,187.3745
64,2048,144,32,186.4653
64,2048,144,36,175.169
64,2048,144,40,172.2664
64,2048,144,44,160.9344
64,2048,144,48,180.0767
64,2048,144,52,172.4403
64,2048,144,56,174.9407
64,2048,144,60,161.2706
64,2048,144,64,160.702
64,2048,144,68,166.0221
64,2048,144,72,160.3384
64,2048,148,8,135.2101
64,2048,148,12,161.2496
64,2048,148,16,145.6265
64,2048,148,20,173.7495
64,2048,148,24,165.2115
64,2048,148,28,177.4303
64,2048,148,32,177.6504
64,2048,148,36,163.7641
64,2048,148,40,172.677
64,2048,148,44,165.5602
64,2048,148,48,161.7
64,2048,148,52,166.0186
64,2048,148,56,179.035
64,2048,148,60,168.8002
64,2048,148,64,174.4654
64,2048,148,68,165.3431
64,2048,148,72,162.9972
64,2048,152,8,128.233
64,2048,152,12,146.384
64,2048,152,16,162.6589
64,2048,152,20,171.6004
64,2048,152,24,160.0153
64,2048,152,28,172.7137
64,2048,152,32,178.4551
64,2048,152,36,172.393
64,2048,152,40,165.3777
64,2048,152,44,159.5941
64,2048,152,48,167.9491
64,2048,152,52,181.818
64,2048,152,56,163.1939
64,2048,152,60,107.7694
64,2048,152,64,155.2272
64,2048,152,68,151.0858
64,2048,152,72,144.6177
64,2048,152,76,162.8119
64,2048,156,8,139.2111
64,2048,156,12,144.8728
64,2048,156,16,157.2101
64,2048,156,20,150.4752
64,2048,156,24,154.9677
64,2048,156,28,174.0624
64,2048,156,32,110.723
64,2048,156,36,173.9449
64,2048,156,40,162.169
64,2048,156,44,165.6968
64,2048,156,48,171.6379
64,2048,156,52,163.0839
64,2048,156,56,169.3076
64,2048,156,60,160.2375
64,2048,156,64,164.5564
64,2048,156,68,157.5689
64,2048,156,72,152.2399
64,2048,156,76,165.0142
64,2048,160,8,140.2942
64,2048,160,12,148.0234
64,2048,160,16,166.8228
64,2048,160,20,165.3107
64,2048,160,24,174.2711
64,2048,160,28,155.9146
64,2048,160,32,146.2828
64,2048,160,36,163.8079
64,2048,160,40,169.1836
64,2048,160,44,162.2209
64,2048,160,48,154.4049
64,2048,160,52,154.3818
64,2048,160,56,161.4438
64,2048,160,60,162.2383
64,2048,160,64,148.9102
64,2048,160,68,174.8355
64,2048,160,72,159.1736
64,2048,160,76,148.0371
64,2048,160,80,163.7748
64,2048,164,8,127.7729
64,2048,164,12,149.6636
64,2048,164,16,158.5512
64,2048,164,20,158.176
64,2048,164,24,153.9136
64,2048,164,28,146.8259
64,2048,164,32,173.942
64,2048,164,36,158.6392
64,2048,164,40,163.3179
64,2048,164,44,159.5338
64,2048,164,48,163.2841
64,2048,164,52,168.4485
64,2048,164,56,166.0466
64,2048,164,60,161.4668
64,2048,164,64,166.2071
64,2048,164,68,165.0037
64,2048,164,72,169.0904
64,2048,164,76,162.2088
64,2048,164,80,163.7544
64,2048,168,8,132.9753
64,2048,168,12,142.7277
64,2048,168,16,147.8696
64,2048,168,20,151.9469
64,2048,168,24,147.7946
64,2048,168,28,158.8208
64,2048,168,32,169.9349
64,2048,168,36,157.1741
64,2048,168,40,162.5612
64,2048,168,44,149.7091
64,2048,168,48,166.1669
64,2048,168,52,167.435
64,2048,168,56,158.573
64,2048,168,60,162.53
64,2048,168,64,163.2877
64,2048,168,68,165.4886
64,2048,168,72,157.3669
64,2048,168,76,151.9104
64,2048,168,80,156.9253
64,2048,168,84,165.1543
64,2048,172,8,128.377
64,2048,172,12,152.5244
64,2048,172,16,150.7588
64,2048,172,20,144.2039
64,2048,172,24,156.0127
64,2048,172,28,147.4537
64,2048,172,32,161.5542
64,2048,172,36,158.6251
64,2048,172,40,157.9459
64,2048,172,44,154.0739
64,2048,172,48,158.863
64,2048,172,52,157.65
64,2048,172,56,156.4308
