threads,size,nb,ib,GFlops
24,4096,20,8,5.4186
24,4096,24,8,9.0018
24,4096,24,12,11.9946
24,4096,28,8,10.6717
24,4096,28,12,13.7139
24,4096,32,8,28.4154
24,4096,32,12,17.3079
24,4096,32,16,12.8064
24,4096,36,8,33.0112
24,4096,36,12,42.7516
24,4096,36,16,42.4517
24,4096,40,8,42.2971
24,4096,40,12,49.8908
24,4096,40,16,56.0229
24,4096,40,20,45.6294
24,4096,44,8,47.3902
24,4096,44,12,61.9482
24,4096,44,16,71.9457
24,4096,44,20,71.621
24,4096,48,8,59.4296
24,4096,48,12,77.3839
24,4096,48,16,87.7282
24,4096,48,20,91.015
24,4096,48,24,89.983
24,4096,52,8,64.4443
24,4096,52,12,84.7299
24,4096,52,16,93.8918
24,4096,52,20,109.0045
24,4096,52,24,79.4466
24,4096,56,8,74.2198
24,4096,56,12,96.2205
24,4096,56,16,109.7846
24,4096,56,20,122.2697
24,4096,56,24,95.4012
24,4096,56,28,105.4592
24,4096,60,8,83.3815
24,4096,60,12,111.6055
24,4096,60,16,124.4885
24,4096,60,20,139.2334
24,4096,60,24,109.5163
24,4096,60,28,111.195
24,4096,64,8,101.6544
24,4096,64,12,121.3416
24,4096,64,16,148.471
24,4096,64,20,103.2267
24,4096,64,24,128.6956
24,4096,64,28,129.2966
24,4096,64,32,141.8334
24,4096,68,8,102.4144
24,4096,68,12,132.5497
24,4096,68,16,142.3226
24,4096,68,20,116.9478
24,4096,68,24,127.8481
24,4096,68,28,142.3017
24,4096,68,32,139.0523
24,4096,72,8,123.1841
24,4096,72,12,152.3332
24,4096,72,16,167.4849
24,4096,72,20,139.0747
24,4096,72,24,145.0133
24,4096,72,28,162.3111
24,4096,72,32,161.0612
24,4096,72,36,169.9163
24,4096,76,8,129.0931
24,4096,76,12,155.1092
24,4096,76,16,132.0221
24,4096,76,20,138.946
24,4096,76,24,151.451
24,4096,76,28,163.0503
24,4096,76,32,173.9525
24,4096,76,36,173.0096
24,4096,80,8,136.6556
24,4096,80,12,166.5963
24,4096,80,16,132.3831
24,4096,80,20,154.2978
24,4096,80,24,163.1318
24,4096,80,28,175.2709
24,4096,80,32,172.3312
24,4096,80,36,182.7517
24,4096,80,40,181.0987
24,4096,84,8,148.2213
24,4096,84,12,180.9617
24,4096,84,16,147.9889
24,4096,84,20,161.8566
24,4096,84,24,184.8882
24,4096,84,28,191.9198
24,4096,84,32,190.0241
24,4096,84,36,202.3942
24,4096,84,40,199.718
24,4096,88,8,161.472
24,4096,88,12,187.6914
24,4096,88,16,164.3718
24,4096,88,20,176.2692
24,4096,88,24,186.658
24,4096,88,28,199.1264
24,4096,88,32,210.0895
24,4096,88,36,208.2875
24,4096,88,40,211.8088
24,4096,88,44,220.73
24,4096,92,8,165.4302
24,4096,92,12,196.9156
24,4096,92,16,174.6334
24,4096,92,20,187.3612
24,4096,92,24,201.1134
24,4096,92,28,208.643
24,4096,92,32,218.5458
24,4096,92,36,215.9705
24,4096,92,40,221.6103
24,4096,92,44,223.5055
24,4096,96,8,180.5023
24,4096,96,12,213.6614
24,4096,96,16,183.3569
24,4096,96,20,197.071
24,4096,96,24,213.6442
24,4096,96,28,222.1629
24,4096,96,32,231.0279
24,4096,96,36,228.4963
24,4096,96,40,226.3487
24,4096,96,44,235.733
24,4096,96,48,238.9098
24,4096,100,8,184.7055
24,4096,100,12,210.9409
24,4096,100,16,185.5047
24,4096,100,20,209.041
24,4096,100,24,215.7051
24,4096,100,28,219.2922
24,4096,100,32,230.6838
24,4096,100,36,235.7603
24,4096,100,40,236.6435
24,4096,100,44,243.6878
24,4096,100,48,240.2999
24,4096,104,8,192.1237
24,4096,104,12,168.6338
24,4096,104,16,194.7533
24,4096,104,20,208.9725
24,4096,104,24,223.1778
24,4096,104,28,229.026
24,4096,104,32,233.9853
24,4096,104,36,243.1011
24,4096,104,40,241.9355
24,4096,104,44,238.197
24,4096,104,48,235.5704
24,4096,104,52,249.1062
24,4096,108,8,194.1676
24,4096,108,12,176.6729
24,4096,108,16,197.5572
24,4096,108,20,218.2534
24,4096,108,24,224.7297
24,4096,108,28,233.513
24,4096,108,32,234.9438
24,4096,108,36,251.1688
24,4096,108,40,246.8383
24,4096,108,44,245.897
24,4096,108,48,244.4535
24,4096,108,52,248.0545
24,4096,112,8,205.1777
24,4096,112,12,179.452
24,4096,112,16,209.2974
24,4096,112,20,221.1647
24,4096,112,24,233.035
24,4096,112,28,243.0309
24,4096,112,32,244.6122
24,4096,112,36,247.5101
24,4096,112,40,253.849
24,4096,112,44,251.2427
24,4096,112,48,243.4015
24,4096,112,52,254.9433
24,4096,112,56,259.3778
24,4096,116,8,201.9552
24,4096,116,12,185.2482
24,4096,116,16,207.4836
24,4096,116,20,225.268
24,4096,116,24,235.8501
24,4096,116,28,239.9565
24,4096,116,32,237.2746
24,4096,116,36,250.3353
24,4096,116,40,254.3181
24,4096,116,44,255.7943
24,4096,116,48,253.418
24,4096,116,52,249.8082
24,4096,116,56,242.3037
24,4096,120,8,209.1912
24,4096,120,12,188.3018
24,4096,120,16,214.4778
24,4096,120,20,233.324
24,4096,120,24,243.0766
24,4096,120,28,243.3174
24,4096,120,32,245.2837
24,4096,120,36,250.1072
24,4096,120,40,260.2348
24,4096,120,44,257.9392
24,4096,120,48,257.3982
24,4096,120,52,257.2652
24,4096,120,56,259.0815
24,4096,120,60,263.212
24,4096,124,8,207.4372
24,4096,124,12,188.7185
