threads,size,nb,ib,GFlops
32,1024,32,8,1.5906
32,1024,32,12,1.6076
32,1024,32,16,1.6164
32,1024,36,8,1.723
32,1024,36,12,1.8317
32,1024,36,16,1.7597
32,1024,40,8,2.1222
32,1024,40,12,2.2135
32,1024,40,16,2.2459
32,1024,40,20,2.2031
32,1024,44,8,2.326
32,1024,44,12,2.5085
32,1024,44,16,2.2683
32,1024,44,20,2.4127
32,1024,48,8,2.7303
32,1024,48,12,2.5868
32,1024,48,16,2.4463
32,1024,48,20,2.5641
32,1024,48,24,2.8065
32,1024,52,8,2.8205
32,1024,52,12,3.0558
32,1024,52,16,3.0092
32,1024,52,20,3.1205
32,1024,52,24,2.9954
32,1024,56,8,3.3114
32,1024,56,12,3.4241
32,1024,56,16,3.1962
32,1024,56,20,3.2274
32,1024,56,24,3.1848
32,1024,56,28,3.2465
32,1024,60,8,3.4235
32,1024,60,12,3.5054
32,1024,60,16,3.4689
32,1024,60,20,3.6889
32,1024,60,24,3.4173
32,1024,60,28,3.4838
32,1024,64,8,4.055
32,1024,64,12,4.0771
32,1024,64,16,4.1771
32,1024,64,20,4.0612
32,1024,64,24,4.1187
32,1024,64,28,4.111
32,1024,64,32,4.1527
32,1024,68,8,3.9718
32,1024,68,12,4.1231
32,1024,68,16,4.1124
32,1024,68,20,4.1142
32,1024,68,24,4.123
32,1024,68,28,4.1087
32,1024,68,32,4.0882
32,1024,72,8,4.0946
32,1024,72,12,4.2656
32,1024,72,16,4.3101
32,1024,72,20,4.3704
32,1024,72,24,4.3454
32,1024,72,28,4.3301
32,1024,72,32,4.3642
32,1024,72,36,4.3757
32,1024,76,8,4.1182
32,1024,76,12,4.2598
32,1024,76,16,4.3906
32,1024,76,20,4.4183
32,1024,76,24,4.4166
32,1024,76,28,4.4694
32,1024,76,32,4.4714
32,1024,76,36,4.4157
32,1024,80,8,4.2268
32,1024,80,12,4.3652
32,1024,80,16,4.4845
32,1024,80,20,4.5202
32,1024,80,24,4.516
32,1024,80,28,4.5507
32,1024,80,32,4.5638
32,1024,80,36,4.5495
32,1024,80,40,4.5913
32,1024,84,8,4.1801
32,1024,84,12,4.3816
32,1024,84,16,4.4367
32,1024,84,20,4.4436
32,1024,84,24,4.4776
32,1024,84,28,4.5149
32,1024,84,32,4.5806
32,1024,84,36,4.5369
32,1024,84,40,4.5104
