threads,size,nb,ib,GFlops
32,8192,32,8,34.8479
32,8192,32,16,60.1387
32,8192,40,8,53.4309
32,8192,40,16,78.8754
32,8192,48,8,74.9766
32,8192,48,16,126.1327
32,8192,48,24,171.0207
32,8192,56,8,100.2063
32,8192,56,16,152.884
32,8192,56,24,193.04
32,8192,64,8,126.3856
32,8192,64,16,214.4981
32,8192,64,24,264.9851
32,8192,64,32,318.0015
32,8192,72,8,157.2315
32,8192,72,16,245.0081
32,8192,72,24,337.8223
32,8192,72,32,331.2748
32,8192,80,8,189.1732
32,8192,80,16,308.9359
32,8192,80,24,352.7485
32,8192,80,32,392.4039
32,8192,80,40,433.8075
32,8192,88,8,219.2347
32,8192,88,16,333.9312
32,8192,88,24,405.4358
32,8192,88,32,444.4872
32,8192,88,40,437.6497
32,8192,96,8,247.5869
32,8192,96,16,390.3012
32,8192,96,24,455.0367
32,8192,96,32,490.0177
32,8192,96,40,480.4099
32,8192,96,48,514.7179
32,8192,104,8,281.9113
32,8192,104,16,406.578
32,8192,104,24,466.3353
32,8192,104,32,491.2533
32,8192,104,40,520.568
32,8192,104,48,513.9306
32,8192,112,8,305.7171
32,8192,112,16,444.5325
32,8192,112,24,499.8514
32,8192,112,32,523.7888
32,8192,112,40,555.2125
32,8192,112,48,546.4297
32,8192,112,56,571.3628
32,8192,120,8,329.1941
32,8192,120,16,457.8915
32,8192,120,24,534.2183
32,8192,120,32,556.9613
32,8192,120,40,585.2588
32,8192,120,48,579.1121
32,8192,120,56,569.9034
32,8192,128,8,351.7932
32,8192,128,16,490.9579
32,8192,128,24,536.5901
32,8192,128,32,591.5584
32,8192,128,40,583.874
32,8192,128,48,611.6841
32,8192,128,56,603.4607
32,8192,128,64,632.4726
32,8192,136,8,364.9551
32,8192,136,16,494.4928
32,8192,136,24,553.1394
32,8192,136,32,582.6657
32,8192,136,40,608.1018
32,8192,136,48,635.0943
32,8192,136,56,628.2387
32,8192,136,64,618.6753
32,8192,144,8,381.4147
32,8192,144,16,525.0098
32,8192,144,24,594.3747
32,8192,144,32,613.9437
32,8192,144,40,637.7627
32,8192,144,48,661.4962
32,8192,144,56,654.215
32,8192,144,64,649.4902
32,8192,144,72,671.8098
32,8192,152,8,388.9568
32,8192,152,16,529.2779
32,8192,152,24,591.6563
32,8192,152,32,637.1536
32,8192,152,40,657.513
32,8192,152,48,648.6662
32,8192,152,56,674.156
