threads,size,nb,ib,GFlops
32,16384,32,8,35.484
32,16384,32,16,41.6285
32,16384,40,8,53.8779
32,16384,40,16,75.3755
32,16384,48,8,76.9507
32,16384,48,16,131.5044
32,16384,48,24,144.0805
32,16384,56,8,102.1201
32,16384,56,16,160.8403
32,16384,56,24,200.0862
32,16384,64,8,129.3077
32,16384,64,16,229.9429
32,16384,64,24,276.5106
32,16384,64,32,319.5642
32,16384,72,8,161.3019
32,16384,72,16,252.446
32,16384,72,24,352.6614
32,16384,72,32,339.5058
32,16384,80,8,190.2679
32,16384,80,16,320.0466
32,16384,80,24,364.2157
32,16384,80,32,405.6947
32,16384,80,40,440.4621
32,16384,88,8,221.376
32,16384,88,16,340.9077
32,16384,88,24,419.3962
32,16384,88,32,446.9907
32,16384,88,40,439.2593
32,16384,96,8,251.4949
32,16384,96,16,392.1737
32,16384,96,24,449.054
32,16384,96,32,499.46
32,16384,96,40,489.804
32,16384,96,48,527.7965
32,16384,104,8,288.1609
32,16384,104,16,412.6337
32,16384,104,24,474.0034
32,16384,104,32,502.2122
32,16384,104,40,535.8686
32,16384,104,48,528.8291
32,16384,112,8,315.5225
32,16384,112,16,458.5017
32,16384,112,24,515.5007
32,16384,112,32,542.1739
32,16384,112,40,571.6678
32,16384,112,48,564.8774
32,16384,112,56,601.7047
32,16384,120,8,339.6814
32,16384,120,16,467.9008
32,16384,120,24,554.1329
32,16384,120,32,578.4798
32,16384,120,40,609.9747
32,16384,120,48,607.5335
32,16384,120,56,595.2722
32,16384,128,8,356.7444
32,16384,128,16,502.2043
32,16384,128,24,550.9041
32,16384,128,32,611.269
32,16384,128,40,601.5303
32,16384,128,48,632.5224
32,16384,128,56,623.7201
32,16384,128,64,654.5347
32,16384,136,8,374.1657
32,16384,136,16,508.1049
32,16384,136,24,573.9079
32,16384,136,32,606.962
32,16384,136,40,629.26
32,16384,136,48,662.2236
32,16384,136,56,653.7479
32,16384,136,64,645.4596
32,16384,144,8,386.1262
32,16384,144,16,536.3921
32,16384,144,24,610.6077
32,16384,144,32,634.3677
32,16384,144,40,658.0371
32,16384,144,48,683.4408
32,16384,144,56,678.3344
32,16384,144,64,665.8669
32,16384,144,72,697.8514
32,16384,152,8,397.6855
32,16384,152,16,540.7532
32,16384,152,24,606.9994
32,16384,152,32,655.6324
32,16384,152,40,682.7639
32,16384,152,48,673.5126
32,16384,152,56,701.8819
32,16384,152,64,695.965
32,16384,152,72,682.1196
32,16384,160,8,408.3148
32,16384,160,16,561.54
32,16384,160,24,629.0112
32,16384,160,32,676.0138
32,16384,160,40,699.1322
32,16384,160,48,693.9372
32,16384,160,56,722.7053
32,16384,160,64,715.7451
32,16384,160,72,705.9118
32,16384,160,80,727.4006
32,16384,168,8,417.4488
32,16384,168,16,562.1593
32,16384,168,24,651.7737
32,16384,168,32,668.7535
32,16384,168,40,688.7019
32,16384,168,48,707.3292
32,16384,168,56,740.3552
32,16384,168,64,722.8751
32,16384,168,72,726.7794
32,16384,168,80,716.3733
32,16384,176,8,423.4027
32,16384,176,16,579.8384
32,16384,176,24,633.7303
32,16384,176,32,685.1349
32,16384,176,40,708.5563
32,16384,176,48,733.1848
32,16384,176,56,726.1908
32,16384,176,64,752.6761
32,16384,176,72,742.4435
32,16384,176,80,735.7606
32,16384,176,88,757.8458
32,16384,184,8,432.7788
32,16384,184,16,585.8594
32,16384,184,24,668.3493
32,16384,184,32,708.605
32,16384,184,40,731.1793
32,16384,184,48,754.7355
32,16384,184,56,745.7298
32,16384,184,64,766.6485
32,16384,184,72,746.8358
32,16384,184,80,738.4225
32,16384,184,88,728.7411
32,16384,192,8,432.2022
32,16384,192,16,594.9032
32,16384,192,24,677.003
32,16384,192,32,724.8869
32,16384,192,40,743.2679
32,16384,192,48,756.0771
32,16384,192,56,746.6618
32,16384,192,64,770.3222
32,16384,192,72,771.6971
32,16384,192,80,769.6374
32,16384,192,88,761.3948
32,16384,192,96,780.3192
32,16384,200,8,444.152
32,16384,200,16,601.9871
32,16384,200,24,676.2166
32,16384,200,32,717.8201
32,16384,200,40,764.5893
32,16384,200,48,757.1229
32,16384,200,56,781.2773
32,16384,200,64,769.11
32,16384,200,72,793.5541
32,16384,200,80,788.8637
32,16384,200,88,779.7322
32,16384,200,96,764.6252
32,16384,208,8,448.0471
32,16384,208,16,618.3863
32,16384,208,24,690.7496
32,16384,208,32,730.772
32,16384,208,40,748.065
32,16384,208,48,772.4951
32,16384,208,56,794.2395
32,16384,208,64,784.5845
32,16384,208,72,803.4535
32,16384,208,80,800.1172
32,16384,208,88,794.8693
32,16384,208,96,781.022
32,16384,208,104,792.3165
32,16384,216,8,448.8419
32,16384,216,16,613.3568
32,16384,216,24,707.7651
32,16384,216,32,746.1728
32,16384,216,40,755.6933
32,16384,216,48,769.6474
32,16384,216,56,803.4495
32,16384,216,64,776.9378
32,16384,216,72,808.8824
32,16384,216,80,813.8372
32,16384,216,88,807.7374
32,16384,216,96,798.0118
32,16384,216,104,779.9845
32,16384,224,8,451.3285
32,16384,224,16,624.4021
32,16384,224,24,698.1863
32,16384,224,32,754.1996
32,16384,224,40,773.6301
32,16384,224,48,794.5851
32,16384,224,56,813.7583
32,16384,224,64,805.677
32,16384,224,72,794.6013
32,16384,224,80,817.6285
32,16384,224,88,808.5857
32,16384,224,96,801.5846
32,16384,224,104,790.3125
32,16384,224,112,787.6636
32,16384,232,8,454.9785
32,16384,232,16,621.9335
32,16384,232,24,707.0144
32,16384,232,32,746.0026
32,16384,232,40,790.412
32,16384,232,48,809.6084
32,16384,232,56,799.831
32,16384,232,64,822.4021
32,16384,232,72,812.0199
32,16384,232,80,831.4045
32,16384,232,88,826.8993
32,16384,232,96,822.9191
32,16384,232,104,810.7837
32,16384,232,112,794.4467
32,16384,240,8,458.1875
32,16384,240,16,630.3923
32,16384,240,24,700.2718
32,16384,240,32,754.0485
32,16384,240,40,799.4108
32,16384,240,48,815.9125
32,16384,240,56,810.792
32,16384,240,64,832.0037
32,16384,240,72,822.6192
32,16384,240,80,840.9703
32,16384,240,88,832.5524
32,16384,240,96,827.3254
32,16384,240,104,816.5304
32,16384,240,112,796.5918
32,16384,240,120,802.4893
32,16384,248,8,444.1528
32,16384,248,16,630.4409
32,16384,248,24,713.7653
32,16384,248,32,757.1775
32,16384,248,40,770.8881
32,16384,248,48,771.139
32,16384,248,56,822.5729
