threads,size,nb,ib,GFlops
4,16384,32,8,25.8914
4,16384,48,8,41.0141
4,16384,48,24,60.6326
4,16384,64,8,51.3863
4,16384,64,24,72.9593
4,16384,80,8,59.2018
4,16384,80,24,81.2538
4,16384,80,40,93.3379
4,16384,96,8,64.407
4,16384,96,24,92.7723
4,16384,96,40,98.433
4,16384,112,8,68.4583
4,16384,112,24,96.68
4,16384,112,40,106.3181
4,16384,112,56,110.23
4,16384,128,8,70.1972
4,16384,128,24,98.5671
4,16384,128,40,107.7214
4,16384,128,56,111.978
4,16384,144,8,73.4399
4,16384,144,24,105.9163
4,16384,144,40,115.017
4,16384,144,56,118.4953
4,16384,144,72,121.0744
4,16384,160,8,75.6373
4,16384,160,24,107.6508
4,16384,160,40,120.3573
4,16384,160,56,122.8229
4,16384,160,72,120.3853
4,16384,176,8,76.2406
4,16384,176,24,108.0621
4,16384,176,40,119.9731
4,16384,176,56,121.1998
4,16384,176,72,123.6436
4,16384,176,88,125.9863
4,16384,192,8,76.1939
4,16384,192,24,112.4021
4,16384,192,40,124.0943
4,16384,192,56,124.6234
4,16384,192,72,127.3022
4,16384,192,88,123.8606
4,16384,208,8,79.1556
4,16384,208,24,113.977
4,16384,208,40,124.4663
4,16384,208,56,128.4631
4,16384,208,72,130.473
4,16384,208,88,127.9474
4,16384,208,104,131.0334
4,16384,224,8,79.4972
4,16384,224,24,113.7927
4,16384,224,40,125.5101
4,16384,224,56,130.7274
4,16384,224,72,126.8775
4,16384,224,88,130.0487
4,16384,224,104,127.0043
4,16384,240,8,80.9453
4,16384,240,24,117.1365
4,16384,240,40,129.7318
4,16384,240,56,129.3739
4,16384,240,72,129.1166
4,16384,240,88,133.1932
4,16384,240,104,130.7335
4,16384,240,120,134.0606
4,16384,256,8,77.0784
4,16384,256,24,114.3134
4,16384,256,40,124.9911
4,16384,256,56,128.3754
4,16384,256,72,130.583
4,16384,256,88,134.7583
4,16384,256,104,132.8493
4,16384,256,120,129.9598
4,16384,272,8,83.6828
4,16384,272,24,116.9571
4,16384,272,40,129.02
4,16384,272,56,131.6598
4,16384,272,72,131.2789
4,16384,272,88,128.3844
4,16384,272,104,132.325
4,16384,272,120,129.5899
4,16384,272,136,132.6994
4,16384,288,8,83.1682
4,16384,288,24,117.7881
4,16384,288,40,126.8571
4,16384,288,56,128.1406
4,16384,288,72,133.6418
4,16384,288,88,130.8503
4,16384,288,104,135.2424
4,16384,288,120,132.7839
4,16384,288,136,128.9539
4,16384,304,8,84.2609
4,16384,304,24,117.1119
4,16384,304,40,126.9955
4,16384,304,56,130.2616
4,16384,304,72,131.0363
4,16384,304,88,132.973
4,16384,304,104,136.6611
4,16384,304,120,134.4657
4,16384,304,136,131.5002
4,16384,304,152,133.8776
4,16384,320,8,82.7258
4,16384,320,24,113.9341
4,16384,320,40,126.8107
4,16384,320,56,129.9215
4,16384,320,72,131.0832
4,16384,320,88,133.9153
4,16384,320,104,130.9803
4,16384,320,120,135.1833
4,16384,320,136,132.4801
4,16384,320,152,128.8024
4,16384,336,8,82.7303
4,16384,336,24,114.3986
4,16384,336,40,124.6517
4,16384,336,56,132.1914
4,16384,336,72,134.3648
4,16384,336,88,136.5031
4,16384,336,104,133.6545
4,16384,336,120,137.6039
4,16384,336,136,135.8646
4,16384,336,152,131.7497
4,16384,336,168,132.3823
4,16384,352,8,82.7713
4,16384,352,24,113.0415
4,16384,352,40,124.8079
4,16384,352,56,128.3193
4,16384,352,72,135.2061
4,16384,352,88,137.7427
4,16384,352,104,135.7857
4,16384,352,120,138.3852
4,16384,352,136,137.242
4,16384,352,152,133.6257
4,16384,352,168,129.4618
4,16384,368,8,80.2154
4,16384,368,24,110.28
4,16384,368,40,121.5825
4,16384,368,56,129.7313
4,16384,368,72,131.2142
4,16384,368,88,134.5452
4,16384,368,104,137.3704
4,16384,368,120,134.1218
4,16384,368,136,138.5562
4,16384,368,152,135.3051
4,16384,368,168,130.3842
4,16384,368,184,132.4886
4,16384,384,8,74.5708
4,16384,384,24,107.4323
4,16384,384,40,120.5198
4,16384,384,56,130.1878
4,16384,384,72,131.5405
4,16384,384,88,135.0483
4,16384,384,104,138.0986
4,16384,384,120,135.2898
4,16384,384,136,138.1618
4,16384,384,152,135.9542
4,16384,384,168,132.4485
4,16384,384,184,127.9949
4,16384,400,8,75.5406
4,16384,400,24,105.7886
4,16384,400,40,122.4074
4,16384,400,56,128.3388
4,16384,400,72,135.617
4,16384,400,88,138.443
4,16384,400,104,139.9296
4,16384,400,120,137.3465
4,16384,400,136,140.5387
4,16384,400,152,138.7701
4,16384,400,168,135.4357
4,16384,400,184,130.4143
4,16384,400,200,132.0961
4,16384,416,8,71.7944
4,16384,416,24,103.3238
4,16384,416,40,119.9838
4,16384,416,56,129.6533
4,16384,416,72,137.029
4,16384,416,88,139.8862
4,16384,416,104,141.6428
4,16384,416,120,139.6555
4,16384,416,136,135.8225
4,16384,416,152,138.2584
4,16384,416,168,135.863
4,16384,416,184,132.3698
4,16384,416,200,128.0237
4,16384,432,8,67.1428
4,16384,432,24,102.6352
4,16384,432,40,121.0349
4,16384,432,56,132.12
4,16384,432,72,139.7427
4,16384,432,88,142.2407
