threads,size,nb,ib,GFlops
4,8192,64,32,80.1559
4,8192,72,32,82.5967
4,8192,80,32,89.5417
4,8192,80,40,94.0963
4,8192,88,32,94.5497
4,8192,88,40,93.2306
4,8192,96,32,100.4314
4,8192,96,40,99.4419
4,8192,96,48,104.1328
4,8192,104,32,99.8462
4,8192,104,40,103.6146
4,8192,104,48,103.2116
4,8192,112,32,103.8995
4,8192,112,40,107.6492
4,8192,112,48,107.3252
4,8192,112,56,110.3201
4,8192,120,32,108.009
4,8192,120,40,112.0453
4,8192,120,48,111.9346
4,8192,120,56,109.4247
4,8192,128,32,110.0069
4,8192,128,40,108.1764
4,8192,128,48,113.7806
4,8192,128,56,111.5424
4,8192,128,64,115.6942
4,8192,136,32,109.2857
4,8192,136,40,113.2939
4,8192,136,48,117.0997
4,8192,136,56,113.9195
4,8192,136,64,113.4541
4,8192,144,32,113.5338
4,8192,144,40,116.6495
4,8192,144,48,121.6084
4,8192,144,56,118.44
4,8192,144,64,118.5636
4,8192,144,72,120.7737
4,8192,152,32,115.7252
4,8192,152,40,119.4784
4,8192,152,48,118.355
4,8192,152,56,121.1608
4,8192,152,64,120.3938
4,8192,152,72,117.8832
4,8192,160,32,118.1394
4,8192,160,40,120.9236
4,8192,160,48,121.2081
4,8192,160,56,122.7313
4,8192,160,64,122.4625
4,8192,160,72,119.9845
4,8192,160,80,123.3422
4,8192,168,32,116.5972
4,8192,168,40,119.9813
4,8192,168,48,123.7025
4,8192,168,56,125.3562
4,8192,168,64,125.0638
4,8192,168,72,121.7556
4,8192,168,80,121.7347
4,8192,176,32,119.7494
4,8192,176,40,123.1004
4,8192,176,48,126.2978
4,8192,176,56,122.8204
4,8192,176,64,127.3433
4,8192,176,72,125.1018
4,8192,176,80,124.8339
4,8192,176,88,126.0878
4,8192,184,32,122.2072
4,8192,184,40,124.8615
4,8192,184,48,128.1488
4,8192,184,56,126.1151
4,8192,184,64,129.2888
4,8192,184,72,127.1052
4,8192,184,80,126.3556
4,8192,184,88,123.0458
4,8192,192,32,124.1378
4,8192,192,40,126.6483
4,8192,192,48,130.6377
4,8192,192,56,127.7612
4,8192,192,64,131.5393
4,8192,192,72,128.8793
4,8192,192,80,128.4404
4,8192,192,88,125.2069
4,8192,192,96,128.5204
4,8192,200,32,122.3567
4,8192,200,40,128.6709
4,8192,200,48,127.8144
4,8192,200,56,129.8563
4,8192,200,64,128.4289
4,8192,200,72,130.5467
4,8192,200,80,130.4447
4,8192,200,88,126.4904
4,8192,200,96,126.3276
4,8192,208,32,124.8591
4,8192,208,40,126.8852
4,8192,208,48,130.3652
4,8192,208,56,130.8732
4,8192,208,64,130.0923
4,8192,208,72,130.7018
4,8192,208,80,131.6855
4,8192,208,88,127.9152
4,8192,208,96,127.7741
4,8192,208,104,129.3533
