threads,size,nb,ib,GFlops
8,1024,32,8,30.4773
8,1024,32,12,34.1123
8,1024,32,16,39.6023
8,1024,36,8,31.4966
8,1024,36,12,38.7862
8,1024,36,16,38.9381
8,1024,40,8,37.4246
8,1024,40,12,40.5705
8,1024,40,16,45.6366
8,1024,40,20,50.3607
8,1024,44,8,37.6778
8,1024,44,12,44.2621
8,1024,44,16,48.8296
8,1024,44,20,48.0265
8,1024,48,8,43.0585
8,1024,48,12,49.8657
8,1024,48,16,55.3429
8,1024,48,20,53.7264
8,1024,48,24,59.0013
8,1024,52,8,43.8672
8,1024,52,12,49.7388
8,1024,52,16,54.1766
8,1024,52,20,57.2053
8,1024,52,24,56.2145
8,1024,56,8,47.113
8,1024,56,12,53.2839
8,1024,56,16,57.9366
8,1024,56,20,61.2945
8,1024,56,24,59.546
8,1024,56,28,63.1491
8,1024,60,8,46.4296
8,1024,60,12,54.931
8,1024,60,16,58.9434
8,1024,60,20,62.1729
8,1024,60,24,60.9679
8,1024,60,28,60.3591
8,1024,64,8,52.075
8,1024,64,12,57.0809
8,1024,64,16,66.4888
8,1024,64,20,64.3163
8,1024,64,24,67.078
8,1024,64,28,66.1086
8,1024,64,32,70.7092
8,1024,68,8,49.4711
8,1024,68,12,57.3267
8,1024,68,16,61.1108
8,1024,68,20,63.5254
8,1024,68,24,66.364
8,1024,68,28,64.7175
8,1024,68,32,65.1055
8,1024,72,8,53.5556
8,1024,72,12,60.6358
8,1024,72,16,64.83
8,1024,72,20,67.0658
8,1024,72,24,69.7328
8,1024,72,28,68.6031
8,1024,72,32,67.9058
8,1024,72,36,70.9963
8,1024,76,8,52.9984
8,1024,76,12,60.0059
8,1024,76,16,66.5494
8,1024,76,20,69.3941
8,1024,76,24,66.9043
8,1024,76,28,70.1866
8,1024,76,32,69.8132
8,1024,76,36,67.9198
8,1024,80,8,57.0799
8,1024,80,12,63.656
8,1024,80,16,70.9936
8,1024,80,20,72.1801
8,1024,80,24,70.6142
8,1024,80,28,73.0778
8,1024,80,32,74.4588
8,1024,80,36,72.0072
8,1024,80,40,74.0746
8,1024,84,8,54.158
8,1024,84,12,62.3237
8,1024,84,16,66.7416
8,1024,84,20,67.8552
8,1024,84,24,69.355
8,1024,84,28,70.9979
8,1024,84,32,71.7772
8,1024,84,36,70.187
8,1024,84,40,69.3824
8,1024,88,8,57.2363
8,1024,88,12,63.3744
8,1024,88,16,70.22
8,1024,88,20,71.7361
8,1024,88,24,72.2869
8,1024,88,28,71.2449
8,1024,88,32,74.8467
8,1024,88,36,73.549
8,1024,88,40,71.9649
8,1024,88,44,73.2886
8,1024,92,8,55.5351
8,1024,92,12,63.0789
8,1024,92,16,68.5684
8,1024,92,20,69.9912
8,1024,92,24,72.0174
8,1024,92,28,70.6313
8,1024,92,32,73.6557
8,1024,92,36,71.555
8,1024,92,40,68.0892
8,1024,92,44,69.1654
8,1024,96,8,58.0408
8,1024,96,12,65.8102
8,1024,96,16,72.1067
8,1024,96,20,73.7801
8,1024,96,24,74.9738
8,1024,96,28,73.6424
8,1024,96,32,76.6957
8,1024,96,36,74.3401
8,1024,96,40,74.6313
8,1024,96,44,71.1942
8,1024,96,48,74.6992
8,1024,100,8,56.042
8,1024,100,12,63.4462
8,1024,100,16,69.6176
8,1024,100,20,73.1171
8,1024,100,24,70.5238
8,1024,100,28,72.3264
8,1024,100,32,72.1393
8,1024,100,36,72.1816
8,1024,100,40,73.1662
8,1024,100,44,71.1268
8,1024,100,48,69.5376
8,1024,104,8,58.9157
8,1024,104,12,66.888
8,1024,104,16,71.5698
8,1024,104,20,72.0937
8,1024,104,24,73.3707
8,1024,104,28,75.8517
8,1024,104,32,74.02
8,1024,104,36,75.2918
8,1024,104,40,75.5742
8,1024,104,44,73.0341
8,1024,104,48,71.9964
8,1024,104,52,73.3486
8,1024,108,8,55.9106
8,1024,108,12,65.6084
