threads,size,nb,ib,GFlops
6,4096,32,8,91.1859
6,4096,32,12,92.8002
6,4096,32,16,102.3262
6,4096,36,8,93.7793
6,4096,36,12,108.7236
6,4096,36,16,106.2477
6,4096,40,8,107.8627
6,4096,40,12,114.2939
6,4096,40,16,124.1835
6,4096,40,20,130.1156
6,4096,44,8,110.1239
6,4096,44,12,119.1398
6,4096,44,16,130.8725
6,4096,44,20,129.4846
6,4096,48,8,120.8434
6,4096,48,12,146.4922
6,4096,48,16,151.1379
6,4096,48,20,145.9947
6,4096,48,24,160.8913
6,4096,52,8,120.3802
6,4096,52,12,141.3129
6,4096,52,16,145.4538
6,4096,52,20,151.1525
6,4096,52,24,144.9781
6,4096,56,8,129.9831
6,4096,56,12,143.5093
6,4096,56,16,160.7244
6,4096,56,20,169.9959
6,4096,56,24,156.0966
6,4096,56,28,155.7758
6,4096,60,8,133.9192
6,4096,60,12,155.4757
6,4096,60,16,162.0949
6,4096,60,20,168.4786
6,4096,60,24,161.7349
6,4096,60,28,156.6683
6,4096,64,8,151.7827
6,4096,64,12,159.573
6,4096,64,16,179.6609
6,4096,64,20,159.9117
6,4096,64,24,172.6302
6,4096,64,28,164.4377
6,4096,64,32,178.4401
6,4096,68,8,147.6351
6,4096,68,12,159.7433
6,4096,68,16,172.2521
6,4096,68,20,160.7756
6,4096,68,24,169.6554
6,4096,68,28,169.6173
6,4096,68,32,177.135
6,4096,72,8,163.2737
6,4096,72,12,174.2322
6,4096,72,16,186.466
6,4096,72,20,171.2414
6,4096,72,24,180.3049
6,4096,72,28,179.687
6,4096,72,32,182.7242
6,4096,72,36,184.2661
6,4096,76,8,156.0623
6,4096,76,12,171.6454
6,4096,76,16,170.7659
6,4096,76,20,171.6092
6,4096,76,24,174.2827
6,4096,76,28,178.0231
6,4096,76,32,186.3233
6,4096,76,36,184.6245
6,4096,80,8,169.141
6,4096,80,12,178.7939
6,4096,80,16,174.0715
6,4096,80,20,179.8665
6,4096,80,24,185.7115
6,4096,80,28,184.8881
6,4096,80,32,191.4891
6,4096,80,36,191.0006
6,4096,80,40,194.7143
6,4096,84,8,165.6202
6,4096,84,12,182.8818
6,4096,84,16,175.8674
6,4096,84,20,177.0796
6,4096,84,24,188.4931
6,4096,84,28,189.0736
6,4096,84,32,194.0882
6,4096,84,36,197.1273
6,4096,84,40,195.1803
6,4096,88,8,175.1731
6,4096,88,12,187.6368
6,4096,88,16,183.3239
6,4096,88,20,185.395
6,4096,88,24,189.4887
6,4096,88,28,187.0025
6,4096,88,32,200.0306
6,4096,88,36,198.4964
6,4096,88,40,202.6142
6,4096,88,44,202.1592
6,4096,92,8,171.9707
6,4096,92,12,186.1522
6,4096,92,16,185.3622
6,4096,92,20,185.1388
6,4096,92,24,188.6737
6,4096,92,28,190.8019
6,4096,92,32,201.5506
6,4096,92,36,202.1784
6,4096,92,40,206.7057
6,4096,92,44,202.2448
6,4096,96,8,186.6993
6,4096,96,12,203.0902
6,4096,96,16,190.6824
6,4096,96,20,193.1854
6,4096,96,24,200.0606
6,4096,96,28,199.7084
6,4096,96,32,208.8347
6,4096,96,36,204.593
6,4096,96,40,209.1412
6,4096,96,44,207.799
6,4096,96,48,216.5071
6,4096,100,8,182.4789
6,4096,100,12,198.0596
6,4096,100,16,187.2002
6,4096,100,20,192.5621
6,4096,100,24,197.9481
6,4096,100,28,197.826
6,4096,100,32,208.6024
6,4096,100,36,208.5527
6,4096,100,40,210.2487
6,4096,100,44,212.103
6,4096,100,48,214.6884
6,4096,104,8,191.8405
6,4096,104,12,168.6389
6,4096,104,16,197.1733
6,4096,104,20,196.2545
6,4096,104,24,204.5894
6,4096,104,28,203.1864
6,4096,104,32,214.3176
6,4096,104,36,215.3608
6,4096,104,40,213.0836
6,4096,104,44,207.2939
6,4096,104,48,220.1553
6,4096,104,52,219.7659
6,4096,108,8,187.5781
6,4096,108,12,171.7865
