threads,size,nb,ib,GFlops
12,1024,32,8,95.4624
12,1024,32,12,103.173
12,1024,32,16,108.1881
12,1024,36,8,95.9551
12,1024,36,12,106.6674
12,1024,36,16,107.0938
12,1024,40,8,111.6399
12,1024,40,12,117.4315
12,1024,40,16,125.2129
12,1024,40,20,127.6362
12,1024,44,8,110.8247
12,1024,44,12,121.1548
12,1024,44,16,127.6127
12,1024,44,20,126.3224
12,1024,48,8,125.0551
12,1024,48,12,135.3131
12,1024,48,16,140.9829
12,1024,48,20,138.2543
12,1024,48,24,140.7914
12,1024,52,8,125.6107
12,1024,52,12,134.7866
12,1024,52,16,119.8242
12,1024,52,20,134.4921
12,1024,52,24,139.8251
12,1024,56,8,133.9347
12,1024,56,12,141.2536
12,1024,56,16,144.8369
12,1024,56,20,143.8436
12,1024,56,24,146.2003
12,1024,56,28,147.1011
12,1024,60,8,128.8656
12,1024,60,12,139.1324
12,1024,60,16,141.0881
12,1024,60,20,144.1425
12,1024,60,24,145.2412
12,1024,60,28,142.5926
12,1024,64,8,142.4283
12,1024,64,12,150.1016
12,1024,64,16,147.9741
12,1024,64,20,148.3532
12,1024,64,24,153.6119
12,1024,64,28,150.8358
12,1024,64,32,151.8979
12,1024,68,8,135.3922
12,1024,68,12,144.2273
12,1024,68,16,143.8811
12,1024,68,20,145.1735
12,1024,68,24,147.4129
12,1024,68,28,142.9853
12,1024,68,32,144.6931
12,1024,72,8,144.2634
12,1024,72,12,150.7964
12,1024,72,16,152.3952
12,1024,72,20,148.0605
12,1024,72,24,148.3351
12,1024,72,28,146.2018
12,1024,72,32,152.3637
12,1024,72,36,144.5634
12,1024,76,8,139.0986
12,1024,76,12,144.6991
12,1024,76,16,150.0751
12,1024,76,20,146.9462
12,1024,76,24,149.9608
12,1024,76,28,143.9844
12,1024,76,32,150.0183
12,1024,76,36,141.4043
12,1024,80,8,144.8985
12,1024,80,12,147.6214
12,1024,80,16,150.2158
12,1024,80,20,154.5212
12,1024,80,24,150.7281
12,1024,80,28,149.9072
12,1024,80,32,141.2739
12,1024,80,36,147.6596
