threads,size,nb,ib,GFlops
16,2048,32,8,57.543
16,2048,32,12,71.3506
16,2048,32,16,79.6243
16,2048,36,8,70.4862
16,2048,36,12,99.2262
16,2048,36,16,90.4143
16,2048,40,8,74.2149
16,2048,40,12,92.5244
16,2048,40,16,93.1017
16,2048,40,20,97.8037
16,2048,44,8,76.0759
16,2048,44,12,101.1609
16,2048,44,16,106.2149
16,2048,44,20,99.0972
16,2048,48,8,92.4914
16,2048,48,12,133.8446
16,2048,48,16,118.8149
16,2048,48,20,114.7045
16,2048,48,24,139.125
16,2048,52,8,89.7552
16,2048,52,12,115.1698
16,2048,52,16,113.12
16,2048,52,20,118.9894
16,2048,52,24,128.6394
16,2048,56,8,94.3428
16,2048,56,12,121.7237
16,2048,56,16,121.4553
16,2048,56,20,128.3343
16,2048,56,24,132.6478
16,2048,56,28,134.9901
16,2048,60,8,102.8204
16,2048,60,12,143.0847
16,2048,60,16,137.463
16,2048,60,20,139.8601
16,2048,60,24,154.5393
16,2048,60,28,138.802
16,2048,64,8,101.9169
16,2048,64,12,140.5411
16,2048,64,16,137.7924
16,2048,64,20,129.3859
16,2048,64,24,151.9464
16,2048,64,28,143.9797
16,2048,64,32,143.0748
16,2048,68,8,104.1691
16,2048,68,12,139.1815
16,2048,68,16,129.9206
16,2048,68,20,132.9204
16,2048,68,24,144.6593
16,2048,68,28,144.9784
16,2048,68,32,136.2162
16,2048,72,8,109.9409
16,2048,72,12,158.5301
16,2048,72,16,141.1715
16,2048,72,20,145.5921
16,2048,72,24,181.2538
16,2048,72,28,156.6756
16,2048,72,32,146.6497
16,2048,72,36,170.258
16,2048,76,8,109.2776
16,2048,76,12,143.8428
16,2048,76,16,146.2666
16,2048,76,20,139.8059
16,2048,76,24,158.9013
16,2048,76,28,150.7071
16,2048,76,32,158.8101
16,2048,76,36,170.1158
16,2048,80,8,113.1675
16,2048,80,12,145.2456
16,2048,80,16,147.4637
16,2048,80,20,141.9803
16,2048,80,24,159.5011
16,2048,80,28,159.2109
16,2048,80,32,150.266
16,2048,80,36,155.6124
16,2048,80,40,165.3117
16,2048,84,8,115.9127
16,2048,84,12,162.335
16,2048,84,16,156.5865
16,2048,84,20,145.3152
16,2048,84,24,174.3371
