threads,size,nb,ib,GFlops
16,4096,32,8,62.2346
16,4096,32,12,75.3748
16,4096,32,16,81.1923
16,4096,36,8,75.215
16,4096,36,12,106.8073
16,4096,36,16,96.1877
16,4096,40,8,79.5061
16,4096,40,12,101.156
16,4096,40,16,101.6105
16,4096,40,20,108.3717
16,4096,44,8,81.4492
16,4096,44,12,108.838
16,4096,44,16,115.3862
16,4096,44,20,106.7101
16,4096,48,8,97.8936
16,4096,48,12,140.7567
16,4096,48,16,136.12
16,4096,48,20,126.6138
16,4096,48,24,161.2595
16,4096,52,8,95.0633
16,4096,52,12,128.2363
16,4096,52,16,127.536
16,4096,52,20,134.7822
16,4096,52,24,146.9487
16,4096,56,8,99.5469
16,4096,56,12,133.5622
16,4096,56,16,130.7351
16,4096,56,20,136.7923
16,4096,56,24,150.3892
16,4096,56,28,154.4835
16,4096,60,8,111.034
16,4096,60,12,163.063
16,4096,60,16,158.2155
16,4096,60,20,153.5398
16,4096,60,24,180.7102
16,4096,60,28,163.598
16,4096,64,8,110.4509
16,4096,64,12,149.2228
16,4096,64,16,154.4777
16,4096,64,20,141.9359
16,4096,64,24,173.2864
16,4096,64,28,158.7701
16,4096,64,32,164.5206
16,4096,68,8,110.266
16,4096,68,12,149.2723
16,4096,68,16,147.5277
16,4096,68,20,143.4389
16,4096,68,24,169.2732
16,4096,68,28,168.4248
16,4096,68,32,155.9994
16,4096,72,8,124.0866
16,4096,72,12,179.9428
16,4096,72,16,165.4293
16,4096,72,20,166.0922
16,4096,72,24,198.8482
16,4096,72,28,183.7877
16,4096,72,32,170.8757
16,4096,72,36,200.2652
16,4096,76,8,117.7812
16,4096,76,12,163.3954
16,4096,76,16,168.264
16,4096,76,20,160.1129
16,4096,76,24,183.3946
16,4096,76,28,177.8225
16,4096,76,32,173.3589
16,4096,76,36,183.0138
16,4096,80,8,120.9323
16,4096,80,12,163.4642
16,4096,80,16,167.527
16,4096,80,20,160.8366
16,4096,80,24,180.7613
16,4096,80,28,186.1691
16,4096,80,32,172.8655
16,4096,80,36,181.9171
16,4096,80,40,184.7454
16,4096,84,8,132.3529
16,4096,84,12,188.7322
16,4096,84,16,176.062
16,4096,84,20,167.5866
16,4096,84,24,206.2619
16,4096,84,28,201.6112
16,4096,84,32,187.125
16,4096,84,36,210.0101
16,4096,84,40,195.619
16,4096,88,8,129.7747
16,4096,88,12,175.7053
16,4096,88,16,172.9552
16,4096,88,20,164.3471
16,4096,88,24,200.7536
16,4096,88,28,188.3449
16,4096,88,32,193.5148
16,4096,88,36,203.5133
16,4096,88,40,191.6408
16,4096,88,44,190.2919
16,4096,92,8,129.1086
16,4096,92,12,176.4494
16,4096,92,16,177.9694
16,4096,92,20,170.5199
16,4096,92,24,198.0907
16,4096,92,28,187.3296
16,4096,92,32,190.5122
16,4096,92,36,199.2404
16,4096,92,40,195.2938
16,4096,92,44,186.6081
16,4096,96,8,140.7281
16,4096,96,12,198.9082
16,4096,96,16,194.0207
16,4096,96,20,182.8318
16,4096,96,24,228.0909
16,4096,96,28,208.0607
16,4096,96,32,200.4504
16,4096,96,36,225.6612
16,4096,96,40,210.9484
16,4096,96,44,197.6512
16,4096,96,48,224.0877
16,4096,100,8,136.1534
16,4096,100,12,186.2138
16,4096,100,16,181.8155
16,4096,100,20,177.7517
16,4096,100,24,210.7792
16,4096,100,28,202.4127
16,4096,100,32,187.9024
16,4096,100,36,219.3616
16,4096,100,40,203.3454
16,4096,100,44,201.4715
16,4096,100,48,213.7097
16,4096,104,8,135.9396
16,4096,104,12,185.2254
16,4096,104,16,181.4849
16,4096,104,20,171.8971
16,4096,104,24,211.1251
16,4096,104,28,202.2803
16,4096,104,32,188.6456
16,4096,104,36,210.6449
16,4096,104,40,210.1515
16,4096,104,44,196.5187
16,4096,104,48,206.0795
16,4096,104,52,207.141
16,4096,108,8,145.813
16,4096,108,12,207.4341
16,4096,108,16,200.9968
16,4096,108,20,184.8975
16,4096,108,24,229.6295
16,4096,108,28,223.3296
16,4096,108,32,205.825
16,4096,108,36,238.0898
16,4096,108,40,225.8422
16,4096,108,44,210.7623
16,4096,108,48,232.0242
16,4096,108,52,218.2679
16,4096,112,8,141.5598
16,4096,112,12,192.1904
16,4096,112,16,194.707
16,4096,112,20,184.4909
16,4096,112,24,226.7734
16,4096,112,28,215.5267
16,4096,112,32,201.1618
16,4096,112,36,222.3038
16,4096,112,40,215.4456
16,4096,112,44,211.788
16,4096,112,48,220.8697
16,4096,112,52,209.1791
16,4096,112,56,210.8653
16,4096,116,8,140.0774
16,4096,116,12,193.3602
16,4096,116,16,188.435
16,4096,116,20,183.4349
16,4096,116,24,219.9713
16,4096,116,28,206.4742
16,4096,116,32,198.4382
16,4096,116,36,219.5482
16,4096,116,40,219.7688
16,4096,116,44,208.3038
16,4096,116,48,215.789
16,4096,116,52,214.3465
16,4096,116,56,202.7181
16,4096,120,8,150.0777
16,4096,120,12,216.4728
16,4096,120,16,200.6811
16,4096,120,20,192.7234
16,4096,120,24,248.5711
16,4096,120,28,220.8481
16,4096,120,32,217.6647
16,4096,120,36,238.6924
16,4096,120,40,231.7893
16,4096,120,44,216.8341
16,4096,120,48,242.4517
16,4096,120,52,223.9818
16,4096,120,56,215.4593
16,4096,120,60,234.3828
16,4096,124,8,144.1035
16,4096,124,12,199.5544
16,4096,124,16,199.6274
16,4096,124,20,181.359
16,4096,124,24,230.0904
16,4096,124,28,216.3348
16,4096,124,32,211.91
16,4096,124,36,227.7786
16,4096,124,40,220.775
16,4096,124,44,220.1169
16,4096,124,48,229.5398
16,4096,124,52,217.5626
16,4096,124,56,215.0448
16,4096,124,60,222.1818
16,4096,128,8,146.132
16,4096,128,12,196.148
16,4096,128,16,202.0338
16,4096,128,20,186.6364
16,4096,128,24,225.7244
16,4096,128,28,215.7618
16,4096,128,32,202.4661
16,4096,128,36,226.4216
16,4096,128,40,211.9343
16,4096,128,44,213.1084
16,4096,128,48,225.82
16,4096,128,52,222.3918
16,4096,128,56,208.4489
16,4096,128,60,216.0355
16,4096,128,64,216.8641
16,4096,132,8,152.4605
16,4096,132,12,220.436
16,4096,132,16,206.1684
16,4096,132,20,199.8945
16,4096,132,24,244.2166
16,4096,132,28,226.8006
16,4096,132,32,214.5321
16,4096,132,36,251.4024
16,4096,132,40,234.3272
16,4096,132,44,227.4439
16,4096,132,48,245.4817
16,4096,132,52,235.9586
16,4096,132,56,222.2096
16,4096,132,60,239.2914
16,4096,132,64,222.586
16,4096,136,8,148.1407
16,4096,136,12,205.8204
16,4096,136,16,200.6086
16,4096,136,20,193.4834
16,4096,136,24,238.9881
16,4096,136,28,229.7157
16,4096,136,32,209.1717
16,4096,136,36,238.9375
16,4096,136,40,225.4392
16,4096,136,44,215.9956
16,4096,136,48,236.9544
16,4096,136,52,224.8905
16,4096,136,56,221.069
16,4096,136,60,229.3026
16,4096,136,64,218.7023
16,4096,136,68,217.7658
16,4096,140,8,147.9075
16,4096,140,12,204.0368
16,4096,140,16,202.6793
16,4096,140,20,193.0236
16,4096,140,24,235.7992
16,4096,140,28,226.6644
16,4096,140,32,210.773
16,4096,140,36,235.0039
16,4096,140,40,225.5479
16,4096,140,44,214.2169
16,4096,140,48,231.6213
16,4096,140,52,231.4733
16,4096,140,56,222.5325
16,4096,140,60,225.0892
16,4096,140,64,219.6756
16,4096,140,68,210.4284
16,4096,144,8,154.6416
16,4096,144,12,226.8674
16,4096,144,16,214.8824
16,4096,144,20,199.6791
16,4096,144,24,262.1634
16,4096,144,28,235.7061
16,4096,144,32,221.3829
16,4096,144,36,257.8783
16,4096,144,40,245.3986
16,4096,144,44,228.187
16,4096,144,48,253.716
16,4096,144,52,244.2868
16,4096,144,56,232.643
16,4096,144,60,246.5763
16,4096,144,64,226.6934
16,4096,144,68,223.3588
16,4096,144,72,242.5548
16,4096,148,8,150.9999
16,4096,148,12,211.5049
16,4096,148,16,205.5515
16,4096,148,20,194.2946
16,4096,148,24,246.5751
16,4096,148,28,226.9978
16,4096,148,32,216.2327
16,4096,148,36,245.5291
16,4096,148,40,233.8163
16,4096,148,44,224.9662
16,4096,148,48,240.3579
16,4096,148,52,235.0984
16,4096,148,56,231.9503
16,4096,148,60,240.366
16,4096,148,64,225.133
16,4096,148,68,221.5147
16,4096,148,72,230.9414
16,4096,152,8,151.4601
16,4096,152,12,213.6562
16,4096,152,16,206.2499
16,4096,152,20,200.5488
16,4096,152,24,244.5639
