threads,size,nb,ib,GFlops
16,2048,32,8,59.4782
16,2048,32,12,71.5653
16,2048,32,16,76.7658
16,2048,36,8,70.4144
16,2048,36,12,103.3407
16,2048,36,16,92.1758
16,2048,40,8,74.1886
16,2048,40,12,91.5519
16,2048,40,16,90.3918
16,2048,40,20,99.2761
16,2048,44,8,76.3459
16,2048,44,12,101.1831
16,2048,44,16,106.8932
16,2048,44,20,98.0276
16,2048,48,8,91.2927
16,2048,48,12,126.1884
16,2048,48,16,125.2638
16,2048,48,20,113.3638
16,2048,48,24,152.471
16,2048,52,8,87.0161
16,2048,52,12,115.8339
16,2048,52,16,113.9958
16,2048,52,20,118.0723
16,2048,52,24,133.3331
16,2048,56,8,92.8647
16,2048,56,12,120.8979
16,2048,56,16,119.4901
16,2048,56,20,122.3872
16,2048,56,24,140.8914
16,2048,56,28,137.9796
16,2048,60,8,99.3315
16,2048,60,12,143.8989
16,2048,60,16,134.6818
16,2048,60,20,133.5501
16,2048,60,24,164.8223
16,2048,60,28,142.5819
16,2048,64,8,100.8097
16,2048,64,12,131.9081
16,2048,64,16,138.2845
16,2048,64,20,127.6366
16,2048,64,24,152.9638
16,2048,64,28,140.2206
16,2048,64,32,143.2651
16,2048,68,8,103.943
16,2048,68,12,134.3292
16,2048,68,16,130.5467
16,2048,68,20,127.6409
16,2048,68,24,156.2854
16,2048,68,28,146.9206
16,2048,68,32,135.3902
16,2048,72,8,111.4095
16,2048,72,12,157.9947
16,2048,72,16,142.5435
16,2048,72,20,145.3023
16,2048,72,24,174.2126
16,2048,72,28,167.5293
16,2048,72,32,148.3304
16,2048,72,36,170.7431
16,2048,76,8,108.9211
16,2048,76,12,145.9957
16,2048,76,16,147.0746
16,2048,76,20,142.1332
16,2048,76,24,161.7131
16,2048,76,28,154.1842
16,2048,76,32,160.8534
16,2048,76,36,166.7936
16,2048,80,8,111.9097
16,2048,80,12,138.4402
16,2048,80,16,147.2081
16,2048,80,20,143.9147
16,2048,80,24,160.7474
16,2048,80,28,157.4049
16,2048,80,32,149.1011
16,2048,80,36,157.3078
16,2048,80,40,159.4536
16,2048,84,8,117.9018
16,2048,84,12,163.1379
16,2048,84,16,153.2031
16,2048,84,20,147.3038
16,2048,84,24,178.3766
16,2048,84,28,171.396
16,2048,84,32,157.9323
16,2048,84,36,174.9669
16,2048,84,40,166.1851
16,2048,88,8,113.8473
16,2048,88,12,154.7543
16,2048,88,16,150.4849
16,2048,88,20,145.997
16,2048,88,24,171.7936
16,2048,88,28,159.8057
16,2048,88,32,169.5187
16,2048,88,36,169.2969
16,2048,88,40,161.0111
16,2048,88,44,158.8242
16,2048,92,8,115.3552
16,2048,92,12,161.7489
16,2048,92,16,156.5868
16,2048,92,20,147.2594
16,2048,92,24,165.7707
16,2048,92,28,167.3049
16,2048,92,32,159.5675
16,2048,92,36,175.9441
16,2048,92,40,162.6587
16,2048,92,44,154.7455
16,2048,96,8,122.8489
16,2048,96,12,167.9672
16,2048,96,16,159.7498
16,2048,96,20,157.7932
16,2048,96,24,183.0375
16,2048,96,28,176.6328
16,2048,96,32,168.3154
16,2048,96,36,181.966
16,2048,96,40,171.9222
16,2048,96,44,162.2488
16,2048,96,48,178.9084
16,2048,100,8,118.1437
16,2048,100,12,157.9936
16,2048,100,16,155.6647
16,2048,100,20,149.7787
16,2048,100,24,181.2874
16,2048,100,28,174.8911
16,2048,100,32,156.4092
16,2048,100,36,172.3483
16,2048,100,40,165.8284
16,2048,100,44,170.9947
16,2048,100,48,179.5388
16,2048,104,8,120.3884
16,2048,104,12,160.4575
16,2048,104,16,155.1985
16,2048,104,20,148.6272
16,2048,104,24,172.9219
16,2048,104,28,165.8715
16,2048,104,32,166.5647
16,2048,104,36,173.8764
16,2048,104,40,172.6576
16,2048,104,44,161.7041
16,2048,104,48,169.2658
16,2048,104,52,166.3233
16,2048,108,8,126.6134
16,2048,108,12,176.2872
16,2048,108,16,168.4409
16,2048,108,20,164.2143
16,2048,108,24,186.6135
16,2048,108,28,184.9816
16,2048,108,32,180.1231
16,2048,108,36,189.2745
16,2048,108,40,180.1738
16,2048,108,44,175.3102
16,2048,108,48,185.2655
16,2048,108,52,170.0463
16,2048,112,8,121.7157
16,2048,112,12,150.5411
16,2048,112,16,160.1082
16,2048,112,20,156.9893
16,2048,112,24,180.9546
16,2048,112,28,168.9389
16,2048,112,32,165.2997
16,2048,112,36,189.6241
16,2048,112,40,184.4603
16,2048,112,44,171.5711
16,2048,112,48,174.7404
16,2048,112,52,163.281
16,2048,112,56,165.994
16,2048,116,8,128.5825
16,2048,116,12,161.3593
16,2048,116,16,157.3732
16,2048,116,20,152.3529
16,2048,116,24,184.2242
16,2048,116,28,169.5433
16,2048,116,32,138.6351
16,2048,116,36,181.0497
16,2048,116,40,186.2892
16,2048,116,44,168.692
16,2048,116,48,167.1953
16,2048,116,52,165.7268
16,2048,116,56,161.1178
16,2048,120,8,125.0705
16,2048,120,12,181.0586
16,2048,120,16,160.8972
16,2048,120,20,160.5738
16,2048,120,24,188.2672
16,2048,120,28,143.1471
