threads,size,nb,ib,Time_sec,GFlops
1,1024,32,8,1.41986e-05,9.231332666600933
1,1024,32,12,1.21999e-05,10.743694620447709
1,1024,32,16,1.26705e-05,10.344658853241782
1,1024,36,8,1.93675e-05,9.635936491545117
1,1024,36,12,1.75868e-05,10.611595059931313
1,1024,36,16,1.63871e-05,11.38847019912004
1,1024,40,8,2.46282e-05,10.394588317457224
1,1024,40,12,2.20464e-05,11.611873140285942
1,1024,40,16,1.95192e-05,13.115291610311898
1,1024,40,20,1.78758e-05,14.321037380145226
1,1024,44,8,3.284e-05,10.375639464068213
1,1024,44,12,2.87745e-05,11.841595857443222
1,1024,44,16,2.41839e-05,14.089373508821986
1,1024,44,20,2.44111e-05,13.95824030871202
1,1024,48,8,3.83166e-05,11.54507445858975
1,1024,48,12,3.10567e-05,14.243882962452547
1,1024,48,16,2.80645e-05,15.762546989969536
1,1024,48,20,2.8509e-05,15.51678417341892
1,1024,48,24,2.52322e-05,17.5318838626834
1,1024,52,8,4.75796e-05,11.820864404072331
1,1024,52,12,3.83195e-05,14.677435770299716
1,1024,52,16,3.42607e-05,16.416243684454784
1,1024,52,20,3.46149e-05,16.248263031237993
1,1024,52,24,3.40889e-05,16.4989776730842
1,1024,56,8,5.76375e-05,12.187620906527869
1,1024,56,12,4.66434e-05,15.060308639593169
1,1024,56,16,4.16787e-05,16.854268487260878
1,1024,56,20,3.85642e-05,18.215443338640505
1,1024,56,24,4.09185e-05,17.16739372166624
1,1024,56,28,3.68241e-05,19.076202812831813
1,1024,60,8,7.07968e-05,12.20394142108118
1,1024,60,12,5.73289e-05,15.070932810502208
1,1024,60,16,5.18926e-05,16.649772799975334
1,1024,60,20,4.65547e-05,18.55881361065585
1,1024,60,24,5.15793e-05,16.750905886663837
1,1024,60,28,4.70642e-05,18.35790260962685
1,1024,64,8,7.59652e-05,13.803373123482858
1,1024,64,12,6.53693e-05,16.040802027863233
1,1024,64,16,5.66011e-05,18.525717698065936
1,1024,64,20,5.69101e-05,18.425130161430044
1,1024,64,24,5.33619e-05,19.650274821548702
1,1024,64,28,5.82362e-05,18.00557041839955
1,1024,64,32,4.66084e-05,22.497575544322483
1,1024,68,8,0.000118079,10.651580721381446
1,1024,68,12,7.96702e-05,15.786680590735306
1,1024,68,16,7.23015e-05,17.395600367903846
1,1024,68,20,6.75735e-05,18.61274020141031
1,1024,68,24,6.49235e-05,19.37246143538164
1,1024,68,28,6.42841e-05,19.56514908041024
1,1024,68,32,6.45835e-05,19.474447807876626
1,1024,72,8,0.000107072,13.943813508667066
1,1024,72,12,8.81323e-05,16.940349905766674
1,1024,72,16,7.96133e-05,18.7530475435637
1,1024,72,20,7.62244e-05,19.58679897775516
1,1024,72,24,7.03683e-05,21.21682632662719
1,1024,72,28,6.90682e-05,21.616199640355475
1,1024,72,32,6.89186e-05,21.663121421503053
1,1024,72,36,6.39771e-05,23.336350037747884
1,1024,76,8,0.000121355,14.469152486506529
1,1024,76,12,0.000105758,16.603037122487187
