threads,size,nb,ib,Time_sec,GFlops
1,4096,32,8,1.19163e-05,10.99938739373799
1,4096,32,12,1.04895e-05,12.49554316220983
1,4096,32,16,9.58732e-06,13.671390962229276
1,4096,36,8,1.67199e-05,11.161789245150988
1,4096,36,12,1.31664e-05,14.174261757200146
1,4096,36,16,1.31389e-05,14.203928791603555
1,4096,40,8,1.94206e-05,13.181879035663162
1,4096,40,12,1.81108e-05,14.135212138613424
1,4096,40,16,1.48964e-05,17.18536022126151
1,4096,40,20,1.41309e-05,18.116326631707818
1,4096,44,8,2.57047e-05,13.2557859068575
1,4096,44,12,2.14752e-05,15.866487855759202
1,4096,44,16,1.89705e-05,17.96136106059408
1,4096,44,20,1.96266e-05,17.360928535762692
1,4096,48,8,2.84621e-05,15.542352813039097
1,4096,48,12,2.46616e-05,17.937522301878225
1,4096,48,16,2.1425e-05,20.647281213535592
1,4096,48,20,2.21198e-05,19.998734165770035
1,4096,48,24,2.05533e-05,21.52296711476989
1,4096,52,8,3.61023e-05,15.57884123726189
1,4096,52,12,3.16603e-05,17.764582142304402
1,4096,52,16,2.84716e-05,19.754140968544093
1,4096,52,20,2.65096e-05,21.216163201255394
1,4096,52,24,2.75596e-05,20.407843364925476
1,4096,56,8,4.20699e-05,16.697543849640716
1,4096,56,12,3.66155e-05,19.184880719913696
1,4096,56,16,3.19758e-05,21.968613764159144
1,4096,56,20,2.96947e-05,23.65620801018364
1,4096,56,24,3.20068e-05,21.9473361910594
1,4096,56,28,2.90146e-05,24.210707712668796
1,4096,60,8,5.24972e-05,16.458020618242497
1,4096,60,12,4.28357e-05,20.170091769248547
1,4096,60,16,3.83589e-05,22.52410783416625
1,4096,60,20,3.55409e-05,24.31002028648684
1,4096,60,24,3.763e-05,22.96040393303216
1,4096,60,28,3.8524e-05,22.427577613954934
1,4096,64,8,6.06662e-05,17.284352736779294
1,4096,64,12,5.19497e-05,20.184447648398358
1,4096,64,16,4.40244e-05,23.818064527852737
1,4096,64,20,4.36401e-05,24.027809285496595
1,4096,64,24,4.17814e-05,25.096717678201305
1,4096,64,28,4.34748e-05,24.119167885763705
1,4096,64,32,3.86651e-05,27.119443632629945
1,4096,68,8,7.19692e-05,17.475920254775655
1,4096,68,12,5.99932e-05,20.96450931105525
1,4096,68,16,5.3287e-05,23.60290502373937
1,4096,68,20,5.15396e-05,24.40313855753634
1,4096,68,24,4.88956e-05,25.72272351704448
1,4096,68,28,5.10145e-05,24.654323770692645
1,4096,68,32,4.84609e-05,25.95345938684589
1,4096,72,8,7.81107e-05,19.11379618925448
1,4096,72,12,6.6548e-05,22.434813968864574
1,4096,72,16,6.06011e-05,24.63638448807035
1,4096,72,20,5.71474e-05,26.12528303999832
1,4096,72,24,5.45347e-05,27.37691781562932
1,4096,72,28,5.41215e-05,27.585931653779
1,4096,72,32,5.38308e-05,27.734902695111348
1,4096,72,36,5.02274e-05,29.724652281424085
1,4096,76,8,9.46516e-05,18.551234210515197
1,4096,76,12,7.95956e-05,22.06031489177794
1,4096,76,16,7.36936e-05,23.82708946231423
1,4096,76,20,6.69748e-05,26.21738325459725
1,4096,76,24,6.8534e-05,25.62091808445443
1,4096,76,28,6.33416e-05,27.721181656289072
1,4096,76,32,6.33169e-05,27.731995723100784
1,4096,76,36,6.38468e-05,27.50183251157458
1,4096,80,8,0.00010444,19.609345078513982
1,4096,80,12,8.85263e-05,23.134367978781444
