threads,size,nb,ib,Time_sec,GFlops
1,1024,32,8,1.30337e-05,10.056392275409133
1,1024,32,12,1.17309e-05,11.173226265674415
1,1024,32,16,9.9902e-06,13.120057656503374
1,1024,36,8,1.83121e-05,10.191294280830707
1,1024,36,12,1.44999e-05,12.870709453168642
1,1024,36,16,1.46257e-05,12.760004649350115
1,1024,40,8,2.11307e-05,12.115074275816704
1,1024,40,12,1.96535e-05,13.025669728038263
1,1024,40,16,1.69876e-05,15.0698156302244
1,1024,40,20,1.52086e-05,16.832581565693093
1,1024,44,8,2.81853e-05,12.08913866448113
1,1024,44,12,2.3321e-05,14.610694224089876
1,1024,44,16,2.07537e-05,16.41808448613982
1,1024,44,20,2.14062e-05,15.917631340452768
1,1024,48,8,3.174e-05,13.937240075614367
1,1024,48,12,2.67955e-05,16.50904069713198
1,1024,48,16,2.35928e-05,18.750127157437863
1,1024,48,20,2.42479e-05,18.24355923605756
1,1024,48,24,2.24463e-05,19.707836035337674
1,1024,52,8,4.02828e-05,13.962088037574349
1,1024,52,12,3.51129e-05,16.017816813763602
1,1024,52,16,3.15115e-05,17.84846801961189
1,1024,52,20,2.89947e-05,19.397752002952263
1,1024,52,24,3.04904e-05,18.446199459502008
1,1024,56,8,4.60162e-05,15.265580382560923
1,1024,56,12,3.973e-05,17.680946388119807
1,1024,56,16,3.57988e-05,19.622557180687625
1,1024,56,20,3.33157e-05,21.0850740041482
1,1024,56,24,3.45816e-05,20.31323015707775
1,1024,56,28,3.15864e-05,22.239444824354784
1,1024,60,8,5.77789e-05,14.95355570978333
1,1024,60,12,4.65978e-05,18.54164788895613
1,1024,60,16,4.22005e-05,20.47369107001102
1,1024,60,20,3.89017e-05,22.209826305791264
1,1024,60,24,4.11702e-05,20.98605301893117
1,1024,60,28,4.17516e-05,20.693817721955565
1,1024,64,8,6.69101e-05,15.671415825114591
1,1024,64,12,5.81551e-05,18.030680026343347
1,1024,64,16,4.92895e-05,21.27382099635825
1,1024,64,20,4.8685e-05,21.537968573482598
1,1024,64,24,4.61302e-05,22.73079240931104
1,1024,64,28,4.67773e-05,22.416342969773805
1,1024,64,32,4.24706e-05,24.68945576469369
1,1024,68,8,7.86862e-05,15.984098863587262
1,1024,68,12,6.54452e-05,19.218032796904893
1,1024,68,16,5.93224e-05,21.2015697274554
1,1024,68,20,5.58577e-05,22.51664497464092
1,1024,68,24,5.32052e-05,23.639193161570677
1,1024,68,28,5.4466e-05,23.091983990012118
1,1024,68,32,5.37847e-05,23.384494103341652
1,1024,72,8,8.63219e-05,17.295634132242224
1,1024,72,12,7.19763e-05,20.7428278474998
1,1024,72,16,6.57219e-05,22.716811291213432
1,1024,72,20,6.22913e-05,23.967905630481305
1,1024,72,24,5.94959e-05,25.09403168957861
1,1024,72,28,5.97514e-05,24.986728344440465
1,1024,72,32,5.92076e-05,25.216222241739235
1,1024,72,36,5.52843e-05,27.005714099663013
1,1024,76,8,0.000102603,17.11357367718293
1,1024,76,12,8.87549e-05,19.783741517369744
1,1024,76,16,7.48953e-05,23.44478224935343
1,1024,76,20,7.12652e-05,24.639010344459848
1,1024,76,24,7.43176e-05,23.6270277834591
1,1024,76,28,6.91626e-05,25.388056550794797
1,1024,76,32,6.8251e-05,25.727154180891123
1,1024,76,36,6.96284e-05,25.218215555721518
1,1024,80,8,0.000112891,18.14139302513044
1,1024,80,12,9.7058e-05,21.10078509757052
1,1024,80,16,8.19868e-05,24.979630867407923
1,1024,80,20,7.86113e-05,26.052234220779965
1,1024,80,24,8.24008e-05,24.85412762982884
1,1024,80,28,7.74868e-05,26.43030812990084
1,1024,80,32,7.52969e-05,27.19899491214113
1,1024,80,36,7.56481e-05,27.07272224946826
1,1024,80,40,7.09043e-05,28.884002803779172
1,1024,84,8,0.000133161,17.80413184040372
1,1024,84,12,0.000109911,21.570325081202064
1,1024,84,16,0.000100444,23.603361076818924
1,1024,84,20,9.63938e-05,24.59510881405236
1,1024,84,24,9.41007e-05,25.194456576837364
1,1024,84,28,8.83838e-05,26.82410124932397
1,1024,84,32,8.60697e-05,27.545303399454163
1,1024,84,36,8.74095e-05,27.123093027645737
1,1024,84,40,8.86945e-05,26.73013546499501
1,1024,88,8,0.000144421,18.87459579977981
1,1024,88,12,0.000127861,21.31915126582773
1,1024,88,16,0.000109087,24.988202077241105
1,1024,88,20,0.000104165,26.16894350309605
1,1024,88,24,0.000101419,26.87748843904988
1,1024,88,28,0.000104504,26.08405419888234
1,1024,88,32,9.48297e-05,28.74508724587339
1,1024,88,36,9.48407e-05,28.74175327681048
1,1024,88,40,9.71522e-05,28.05791325363708
1,1024,88,44,9.15797e-05,29.765199056122704
1,1024,92,8,0.00016777,18.565607677177084
1,1024,92,12,0.000140854,22.113337214420607
1,1024,92,16,0.000122413,25.44461781019989
1,1024,92,20,0.000118466,26.29237080681377
1,1024,92,24,0.000115064,27.069735103942158
1,1024,92,28,0.00011741,26.52884762797036
1,1024,92,32,0.00010817,28.79497087917167
1,1024,92,36,0.000108086,28.817349147900742
1,1024,92,40,0.00011044,28.203114813473377
1,1024,92,44,0.00011247,27.694069529652356
1,1024,96,8,0.000186815,18.943575194711347
1,1024,96,12,0.000154269,22.94008517589405
1,1024,96,16,0.000136814,25.866826494364613
1,1024,96,20,0.000127478,27.76121369961876
1,1024,96,24,0.000126297,28.020808095204167
1,1024,96,28,0.000128502,27.539991595461547
1,1024,96,32,0.000117016,30.24324878649073
1,1024,96,36,0.00011769,30.0700484323222
