threads,size,nb,ib,Time_sec,GFlops
1,8192,32,8,1.68662e-05,7.771282209389192
1,8192,32,12,1.50994e-05,8.680609825555983
1,8192,32,16,1.63096e-05,8.036493844116348
1,8192,36,8,2.71975e-05,6.861807151392592
1,8192,36,12,2.176e-05,8.576470588235294
1,8192,36,16,1.87768e-05,9.939073750585829
1,8192,40,8,2.64195e-05,9.689812449137946
1,8192,40,12,2.39111e-05,10.706324677660168
1,8192,40,16,2.55459e-05,10.021177566654533
1,8192,40,20,1.9424e-05,13.179571663920925
1,8192,44,8,3.48744e-05,9.7703759777946
1,8192,44,12,3.3182e-05,10.268699897534807
1,8192,44,16,3.04419e-05,11.192993867005672
1,8192,44,20,3.03833e-05,11.21458169454931
1,8192,48,8,3.95518e-05,11.184522575458006
1,8192,48,12,3.30936e-05,13.367176735078688
1,8192,48,16,3.00431e-05,14.7244458794199
1,8192,48,20,3.4095e-05,12.974571051473824
1,8192,48,24,3.11015e-05,14.223365432535408
1,8192,52,8,5.02359e-05,11.195818130062367
1,8192,52,12,4.64777e-05,12.101115158452334
1,8192,52,16,4.02939e-05,13.95824181824048
1,8192,52,20,3.99744e-05,14.069804674991994
1,8192,52,24,3.72644e-05,15.09301102392632
1,8192,56,8,5.73774e-05,12.242869143600094
1,8192,56,12,4.96799e-05,14.139803018927172
1,8192,56,16,4.84363e-05,14.502841876856818
1,8192,56,20,4.51603e-05,15.554901096759764
1,8192,56,24,4.57469e-05,15.35544484981496
1,8192,56,28,4.16949e-05,16.847719984938205
1,8192,60,8,7.17484e-05,12.042080380886542
1,8192,60,12,6.03763e-05,14.31025087658568
1,8192,60,16,5.34224e-05,16.172991104854894
1,8192,60,20,5.28278e-05,16.355025195067746
1,8192,60,24,5.30234e-05,16.294692531976448
1,8192,60,28,5.01808e-05,17.21774064981029
1,8192,64,8,7.95867e-05,13.175266721700988
1,8192,64,12,7.31646e-05,14.331739666450716
1,8192,64,16,5.97649e-05,17.54501387938405
1,8192,64,20,6.40683e-05,16.36653383966798
1,8192,64,24,5.58742e-05,18.76672954601587
1,8192,64,28,5.94659e-05,17.63323181857165
1,8192,64,32,5.43024e-05,19.30993841892808
1,8192,68,8,0.000100384,12.529167994899586
1,8192,68,12,8.05827e-05,15.607915842978702
1,8192,68,16,7.92385e-05,15.872688150330964
1,8192,68,20,7.02502e-05,17.9035504525254
1,8192,68,24,6.60231e-05,19.04981741239052
1,8192,68,28,6.97476e-05,18.03256312762016
1,8192,68,32,6.65021e-05,18.91260576733667
1,8192,72,8,0.000110273,13.539053077362546
1,8192,72,12,9.07428e-05,16.453007841944487
1,8192,72,16,8.55925e-05,17.443023629406785
1,8192,72,20,7.64508e-05,19.528794989718875
1,8192,72,24,7.39064e-05,20.20111925354232
1,8192,72,28,7.48482e-05,19.946932591565325
1,8192,72,32,7.4526e-05,20.03316963207472
1,8192,72,36,6.53273e-05,22.854028866951488
1,8192,76,8,0.000130735,13.431016942670288
1,8192,76,12,0.00011016,15.939578794480754
1,8192,76,16,9.42312e-05,18.633998081314893
1,8192,76,20,8.81472e-05,19.920133594714297
1,8192,76,24,9.25166e-05,18.979339923862312
1,8192,76,28,8.59309e-05,20.433906778586053
1,8192,76,32,8.57505e-05,20.47689517845377
1,8192,76,36,8.35289e-05,21.02151470928026
1,8192,80,8,0.00014414,14.208408491744136
1,8192,80,12,0.000118481,17.285471932208537
1,8192,80,16,0.000107502,19.05080835705382
1,8192,80,20,9.68347e-05,21.149443329715485
1,8192,80,24,9.83029e-05,20.833566456330384
1,8192,80,28,9.15684e-05,22.365794313322063
1,8192,80,32,9.11122e-05,22.47778014360316
1,8192,80,36,9.52442e-05,21.50262168195019
1,8192,80,40,8.90596e-05,22.995836496009414
1,8192,84,8,0.000164914,14.376074802624398
1,8192,84,12,0.00013284,17.847154471544716
1,8192,84,16,0.000130076,18.22639072542206
1,8192,84,20,0.000122272,19.389688563203347
1,8192,84,24,0.000112219,21.1266897762411
1,8192,84,28,0.000108174,21.916689777580565
1,8192,84,32,0.00010487,22.607189854105084
1,8192,84,36,0.000106379,22.286503915246428
1,8192,84,40,0.000110832,21.39107838891295
1,8192,88,8,0.000185002,14.734370439238496
1,8192,88,12,0.000159009,17.14297932821413
1,8192,88,16,0.000140077,19.45992561234178
1,8192,88,20,0.000130571,20.876672461725803
1,8192,88,24,0.000122774,22.20248586834346
1,8192,88,28,0.000123706,22.03521252000711
1,8192,88,32,0.000114883,23.727514079541795
1,8192,88,36,0.000115477,23.60546255964391
1,8192,88,40,0.000117487,23.20161379556887
1,8192,88,44,0.000109303,24.93882144131452
1,8192,92,8,0.00021376,14.57125748502994
1,8192,92,12,0.00017657,17.640323950841026
1,8192,92,16,0.000155613,20.01601408622673
1,8192,92,20,0.000147555,21.109091525194
1,8192,92,24,0.000139947,22.25665430484398
1,8192,92,28,0.000144857,21.502253946996003
1,8192,92,32,0.000135728,22.948485205705527
1,8192,92,36,0.000135779,22.939865516758854
1,8192,92,40,0.000134874,23.093791242196424
1,8192,92,44,0.000138354,22.512916142648567
1,8192,96,8,0.000229056,15.450125733445097
1,8192,96,12,0.000185221,19.10660238309911
1,8192,96,16,0.00016665,21.235787578757872
1,8192,96,20,0.000159951,22.125175835099498
1,8192,96,24,0.000150822,23.46437522377372
1,8192,96,28,0.000151544,23.35258406799345
1,8192,96,32,0.000140969,25.10441302697756
1,8192,96,36,0.000139113,25.439347868279743
1,8192,96,40,0.000144158,24.549064221201736
1,8192,96,44,0.000145561,24.312446328343444
1,8192,96,48,0.000135278,26.16052868906992
1,8192,100,8,0.000265528,15.06432466632521
1,8192,100,12,0.000220256,18.160685747493822
1,8192,100,16,0.000198686,20.13226900737848
1,8192,100,20,0.00018031,22.184016416172145
1,8192,100,24,0.000177946,22.47872950220853
1,8192,100,28,0.000167774,23.841596433297173
1,8192,100,32,0.000167817,23.835487465513022
