threads,size,nb,ib,Time_sec,GFlops
1,8192,32,8,1.42391e-05,9.20507616352157
1,8192,32,12,1.25043e-05,10.482154138976192
1,8192,32,16,1.06608e-05,12.29476211916554
1,8192,36,8,1.91623e-05,9.73912317414924
1,8192,36,12,1.54308e-05,12.094253052336883
1,8192,36,16,1.55953e-05,11.966682269658168
1,8192,40,8,2.25982e-05,11.328335885158994
1,8192,40,12,2.04371e-05,12.526239045657162
1,8192,40,16,1.80898e-05,14.1516213556811
1,8192,40,20,1.63622e-05,15.645817799562405
1,8192,44,8,2.93229e-05,11.620133070057872
1,8192,44,12,2.4826e-05,13.724965761701442
1,8192,44,16,2.18964e-05,15.561279479731828
1,8192,44,20,2.2499e-05,15.144495310902707
1,8192,48,8,3.38599e-05,13.064657603832265
1,8192,48,12,2.90684e-05,15.218175062954964
1,8192,48,16,2.55021e-05,17.346336184078957
1,8192,48,20,2.60992e-05,16.9494850416871
1,8192,48,24,2.31634e-05,19.09771449787164
1,8192,52,8,4.30298e-05,13.070755615875507
1,8192,52,12,3.68804e-05,15.250159976572922
1,8192,52,16,3.34377e-05,16.820295654306367
1,8192,52,20,3.07965e-05,18.26285454515935
1,8192,52,24,3.12361e-05,18.00583299451596
1,8192,56,8,4.93354e-05,14.238538655813066
1,8192,56,12,4.24345e-05,16.554077460556858
1,8192,56,16,3.85636e-05,18.215726747502828
1,8192,56,20,3.51257e-05,19.998576540823382
1,8192,56,24,3.5717e-05,19.667497270207463
1,8192,56,28,3.25262e-05,21.596866526062065
1,8192,60,8,6.05069e-05,14.279363180067069
1,8192,60,12,4.92185e-05,17.554374879364463
1,8192,60,16,4.4824e-05,19.275388184900944
1,8192,60,20,4.15927e-05,20.77287600949205
1,8192,60,24,4.1873e-05,20.63382131683901
1,8192,60,28,4.29513e-05,20.11580557515139
1,8192,64,8,6.87054e-05,15.261915366186646
1,8192,64,12,5.9922e-05,17.49901538666934
1,8192,64,16,5.01555e-05,20.90650078256622
1,8192,64,20,5.1597e-05,20.322421846231368
1,8192,64,24,4.72963e-05,22.170360049306183
1,8192,64,28,4.76466e-05,22.007362540034336
1,8192,64,32,4.32114e-05,24.266189014935875
1,8192,68,8,8.21877e-05,15.303117133098992
1,8192,68,12,6.91979e-05,18.175811693707463
1,8192,68,16,6.48413e-05,19.39702010909713
1,8192,68,20,5.94948e-05,21.14013325534333
1,8192,68,24,5.51205e-05,22.817790114385755
1,8192,68,28,5.59623e-05,22.474558765454603
1,8192,68,32,5.56257e-05,22.610555912105376
1,8192,72,8,9.19277e-05,16.240937171276993
1,8192,72,12,7.62417e-05,19.582354538264493
1,8192,72,16,7.0479e-05,21.183501468522536
1,8192,72,20,6.63239e-05,22.510618344216788
1,8192,72,24,6.2174e-05,24.01312445716859
