threads,size,nb,ib,Time_sec,GFlops
1,1024,32,8,6.91118e-06,18.965212886945498
1,1024,32,12,6.01852e-06,21.778111562311
1,1024,32,16,5.33664e-06,24.56077232116088
1,1024,36,8,9.00354e-06,20.72784704682825
1,1024,36,12,7.772e-06,24.012352032938757
1,1024,36,16,7.80988e-06,23.89588572423648
1,1024,40,8,1.07468e-05,23.821044403915582
1,1024,40,12,1.00615e-05,25.443522337623616
1,1024,40,16,1.14654e-05,22.32804786575261
1,1024,40,20,8.37814e-06,30.55570806885538
1,1024,44,8,1.42364e-05,23.93414065353601
1,1024,44,12,1.24989e-05,27.261278992551347
1,1024,44,16,1.15152e-05,29.590106989023205
1,1024,44,20,1.18036e-05,28.86712528381172
1,1024,48,8,1.60029e-05,27.642989708115405
1,1024,48,12,1.41849e-05,31.18583846202652
1,1024,48,16,1.29786e-05,34.08441588461005
1,1024,48,20,1.31527e-05,33.633246405680964
1,1024,48,24,1.29922e-05,34.04873693446837
1,1024,52,8,2.34902e-05,23.94326144519842
1,1024,52,12,2.38268e-05,23.605016200245103
1,1024,52,16,2.24877e-05,25.01065026659018
1,1024,52,20,2.2962e-05,24.49403362076474
1,1024,52,24,2.51258e-05,22.384640489059056
1,1024,56,8,2.35723e-05,29.800401318496707
1,1024,56,12,2.12473e-05,33.061330145477314
1,1024,56,16,1.95313e-05,35.9660647268743
1,1024,56,20,1.86611e-05,37.64322574767832
1,1024,56,24,2.06328e-05,34.04598503353883
1,1024,56,28,1.99257e-05,35.25416923872185
1,1024,60,8,3.02142e-05,28.595825803761148
1,1024,60,12,2.59682e-05,33.271462789103595
1,1024,60,16,2.42462e-05,35.63444993442271
1,1024,60,20,2.31658e-05,37.29635928826114
1,1024,60,24,2.46976e-05,34.98315625809796
1,1024,60,28,2.5218e-05,34.26124197002141
1,1024,64,8,3.20845e-05,32.6816998862379
1,1024,64,12,2.97359e-05,35.26296496827067
1,1024,64,16,2.61187e-05,40.14656165888808
1,1024,64,20,3.01272e-05,34.80496030165432
1,1024,64,24,2.75195e-05,38.10301786006286
1,1024,64,28,2.82192e-05,37.158246867381074
1,1024,64,32,2.80964e-05,37.3206531797668
1,1024,68,8,4.39729e-05,28.60234371624341
1,1024,68,12,3.55707e-05,35.358539472093604
1,1024,68,16,3.3486e-05,37.55981604252524
1,1024,68,20,3.50403e-05,35.89375661738056
1,1024,68,24,3.36473e-05,37.37976004018154
1,1024,68,28,3.35641e-05,37.47241844709079
1,1024,68,32,3.24292e-05,38.783812119941295
1,1024,72,8,4.4482e-05,33.56395845510544
1,1024,72,12,3.8398e-05,38.88202510547424
1,1024,72,16,3.6147e-05,41.30334467590672
1,1024,72,20,3.94043e-05,37.88906286877321
1,1024,72,24,3.7227e-05,40.10508501893786
1,1024,72,28,3.69445e-05,40.411752764281566
1,1024,72,32,3.62902e-05,41.14036296300378
1,1024,72,36,3.5525e-05,42.026516537649535
1,1024,76,8,5.38879e-05,32.58438350724374
1,1024,76,12,4.81331e-05,36.480176842962535
1,1024,76,16,4.75205e-05,36.9504529624057
1,1024,76,20,4.69935e-05,37.364827050549536
1,1024,76,24,4.55166e-05,38.577222376012266
1,1024,76,28,4.51615e-05,38.88055091172792
1,1024,76,32,4.21937e-05,41.61531223855694
1,1024,76,36,4.36449e-05,40.231596360628615
1,1024,80,8,5.89314e-05,34.75227128491772
1,1024,80,12,5.19677e-05,39.40909449523454
1,1024,80,16,5.36733e-05,38.15677441111316
1,1024,80,20,5.19759e-05,39.40287710265719
1,1024,80,24,5.0538e-05,40.52396216708219
1,1024,80,28,5.02244e-05,40.776992856062
1,1024,80,32,4.84162e-05,42.29989135867747
1,1024,80,36,4.80183e-05,42.650406199303184
1,1024,80,40,4.66463e-05,43.904875627863305
1,1024,84,8,6.97385e-05,33.99579859044861
1,1024,84,12,6.08602e-05,38.95511352246625
