threads,size,nb,ib,Time_sec,GFlops
1,4096,32,8,1.70189e-05,7.701555329662904
1,4096,32,12,1.57888e-05,8.301580867450344
1,4096,32,16,1.33556e-05,9.814010602294168
1,4096,36,8,2.48851e-05,7.4994273681841745
1,4096,36,12,2.01189e-05,9.276053859803469
1,4096,36,16,2.0043e-05,9.31118096093399
1,4096,40,8,2.87721e-05,8.897508350103053
1,4096,40,12,2.69426e-05,9.50168135220803
1,4096,40,16,2.3274e-05,10.99939847039615
1,4096,40,20,2.08828e-05,12.258892485681995
1,4096,44,8,3.81596e-05,8.929234059057222
1,4096,44,12,3.26223e-05,10.444879729510182
1,4096,44,16,2.91793e-05,11.677319195457054
1,4096,44,20,2.96194e-05,11.503811690986312
1,4096,48,8,4.32308e-05,10.232704460708568
1,4096,48,12,3.72013e-05,11.89119735063022
1,4096,48,16,3.2928e-05,13.434402332361516
1,4096,48,20,3.34243e-05,13.234921898139977
1,4096,48,24,3.1108e-05,14.22039346791822
1,4096,52,8,5.58878e-05,10.063591696219929
1,4096,52,12,4.92586e-05,11.417945292801662
1,4096,52,16,4.38966e-05,12.812655194251946
1,4096,52,20,4.12438e-05,13.63676479858791
1,4096,52,24,4.25262e-05,13.225540960631328
1,4096,56,8,6.31054e-05,11.131598880602928
1,4096,56,12,5.54089e-05,12.67781890634898
1,4096,56,16,4.96619e-05,14.14492800315735
1,4096,56,20,4.58186e-05,15.331415625968493
1,4096,56,24,4.73252e-05,14.843339278016789
1,4096,56,28,4.40368e-05,15.95174944591796
1,4096,60,8,8.0542e-05,10.727322390802314
1,4096,60,12,6.59789e-05,13.095095553275364
1,4096,60,16,6.04835e-05,14.284887613977366
1,4096,60,20,5.57471e-05,15.498564050865427
1,4096,60,24,5.79319e-05,14.914062891084187
1,4096,60,28,5.88592e-05,14.679098594612226
1,4096,64,8,9.18882e-05,11.41143258873283
1,4096,64,12,8.0479e-05,13.029187738416232
1,4096,64,16,6.71163e-05,15.623268863152466
1,4096,64,20,6.72772e-05,15.585904288525684
1,4096,64,24,6.37619e-05,16.445181213232356
1,4096,64,28,6.42123e-05,16.329830889097572
1,4096,64,32,5.7979e-05,18.08544472998845
1,4096,68,8,0.000109298,11.507328587897309
1,4096,68,12,9.21529e-05,13.648273684279062
1,4096,68,16,8.45951e-05,14.867622356377614
1,4096,68,20,7.96031e-05,15.799987688921664
1,4096,68,24,7.53581e-05,16.69001739693543
1,4096,68,28,7.75547e-05,16.217302110639327
1,4096,68,32,7.50967e-05,16.748112766606255
1,4096,72,8,0.000119599,12.483315077885266
1,4096,72,12,0.000101101,14.767331678222767
1,4096,72,16,9.15731e-05,16.303827215634286
1,4096,72,20,8.65985e-05,17.24039099984411
1,4096,72,24,8.17771e-05,18.256846965715344
1,4096,72,28,8.28176e-05,18.02747242132107
1,4096,72,32,8.13108e-05,18.361546067681047
1,4096,72,36,7.58154e-05,19.692463536431912
1,4096,76,8,0.000144867,12.120800458351454
1,4096,76,12,0.000124164,14.141812441609485
1,4096,76,16,0.000106372,16.50720114315797
1,4096,76,20,0.000100712,17.43490348717134
1,4096,76,24,0.000104452,16.81063072033087
1,4096,76,28,9.78036e-05,17.95336776969355
1,4096,76,32,9.67998e-05,18.13954161062317
1,4096,76,36,9.79257e-05,17.930982367243736
1,4096,80,8,0.000157224,13.026001119421972
1,4096,80,12,0.000135102,15.15891696644017
1,4096,80,16,0.000114785,17.842052532996473
1,4096,80,20,0.000109827,18.64750926457064
1,4096,80,24,0.000113511,18.04230427007074
1,4096,80,28,0.00010869,18.842579814150334
1,4096,80,32,0.000104004,19.6915503249875
1,4096,80,36,0.000106672,19.1990400479976
1,4096,80,40,9.82293e-05,20.84917636591119
1,4096,84,8,0.000187399,12.65116676182904
1,4096,84,12,0.00015617,15.180995069475571
1,4096,84,16,0.000142526,16.634270238412643
1,4096,84,20,0.000137453,17.248193928106335
1,4096,84,24,0.000132922,17.836144505800394
1,4096,84,28,0.000125099,18.95151839742924
1,4096,84,32,0.000122471,19.358182753468167
1,4096,84,36,0.000125809,18.84456596904832
1,4096,84,40,0.000125617,18.87336905036739
1,4096,88,8,0.000204074,13.357350764918609
1,4096,88,12,0.000178736,15.250917554381882
1,4096,88,16,0.000154146,17.68380626159615
1,4096,88,20,0.000147315,18.503804772087022
1,4096,88,24,0.000141349,19.28480569370848
1,4096,88,28,0.000145282,18.762737297118704
1,4096,88,32,0.000131973,20.65489153084343
1,4096,88,36,0.00013302,20.492316944820328
1,4096,88,40,0.000133428,20.42965494498906
1,4096,88,44,0.000126226,21.595297323847703
1,4096,92,8,0.000237758,13.100513967984252
1,4096,92,12,0.000202307,15.396165234025515
1,4096,92,16,0.000175837,17.71385999533659
1,4096,92,20,0.000170384,18.28077753779698
1,4096,92,24,0.000163706,19.02649872332108
1,4096,92,28,0.000167269,18.621214929245703
1,4096,92,32,0.000153812,20.250383585155905
1,4096,92,36,0.000155292,20.05738866136053
1,4096,92,40,0.000156578,19.89265414042841
1,4096,92,44,0.000158114,19.699406757149905
1,4096,96,8,0.000258574,13.686387649183596
1,4096,96,12,0.000217775,16.250460337504304
1,4096,96,16,0.000188896,18.734880569202097
1,4096,96,20,0.000178044,19.876794500235896
1,4096,96,24,0.000175361,20.180906815084317
1,4096,96,28,0.000178435,19.833238994591863
1,4096,96,32,0.000162552,21.771150155027318
1,4096,96,36,0.000163953,21.585112806719
1,4096,96,40,0.000161591,21.90062565365645
1,4096,96,44,0.000165272,21.412846701195605
1,4096,96,48,0.000152925,23.14169691025013
1,4096,100,8,0.000299194,13.36925205719366
1,4096,100,12,0.000257248,15.54919766140067
1,4096,100,16,0.000223508,17.896451133740182
1,4096,100,20,0.000207694,19.25910233324025
1,4096,100,24,0.000212864,18.7913409500902
1,4096,100,28,0.000200345,19.96555941001772
1,4096,100,32,0.000197862,20.21611021823291
1,4096,100,36,0.00018982,21.072595090085347
1,4096,100,40,0.00018833,21.239313970158765
1,4096,100,44,0.000191555,20.88173109550782
1,4096,100,48,0.000189446,21.114196129767848
1,4096,104,8,0.000326214,13.79295799689774
1,4096,104,12,0.000276474,16.274427251748804
1,4096,104,16,0.000242143,18.58181322606889
1,4096,104,20,0.000232397,19.3610760896225
1,4096,104,24,0.000228205,19.71672838018448
1,4096,104,28,0.000215749,20.855049154341387
1,4096,104,32,0.000210758,21.34892151187618
1,4096,104,36,0.000200467,22.44487122568802
1,4096,104,40,0.000201972,22.27762264076209
1,4096,104,44,0.000206386,21.80116868392236
1,4096,104,48,0.000201977,22.277071151665783
1,4096,104,52,0.000189988,23.68284312693433
1,4096,108,8,0.000375978,13.40197564751129
1,4096,108,12,0.000308536,16.33147509528872
1,4096,108,16,0.000271888,18.532807626669804
1,4096,108,20,0.000263628,19.11347808275297
1,4096,108,24,0.00025817,19.517558198086533
1,4096,108,28,0.000250254,20.134934906135367
1,4096,108,32,0.000241377,20.87542723623212
1,4096,108,36,0.000229563,21.94973928725448
1,4096,108,40,0.00023113,21.800925885865095
1,4096,108,44,0.000231992,21.719921376599192
1,4096,108,48,0.000232658,21.65774656362558
1,4096,108,52,0.00023504,21.438257317903336
1,4096,112,8,0.000400538,14.030409099760822
1,4096,112,12,0.000347689,16.16304225903034
1,4096,112,16,0.000289756,19.394635486409257
1,4096,112,20,0.000283287,19.83752166530762
1,4096,112,24,0.000276501,20.32438219029949
1,4096,112,28,0.000262969,21.37024516197727
1,4096,112,32,0.000256314,21.92510748535
1,4096,112,36,0.000260154,21.601482199005204
1,4096,112,40,0.000243349,23.09322002556
1,4096,112,44,0.000248574,22.60780290778601
1,4096,112,48,0.000245953,22.84872313002891
1,4096,112,52,0.000248564,22.608712444279945
1,4096,112,56,0.000233028,24.116037557718386
1,4096,116,8,0.000466148,13.393995040201824
1,4096,116,12,0.000386575,16.15102890771519
1,4096,116,16,0.000339614,18.38435400189627
1,4096,116,20,0.000311914,20.01700468718942
1,4096,116,24,0.000306127,20.39540452165278
1,4096,116,28,0.000311384,20.05107519975336
1,4096,116,32,0.000286077,21.824837368960107
1,4096,116,36,0.000292476,21.347337901229505
1,4096,116,40,0.00027752,22.497780340155664
1,4096,116,44,0.000280397,22.266942941614925
1,4096,116,48,0.00027592,22.628240069585388
1,4096,116,52,0.000282984,22.06338167528906
1,4096,116,56,0.000286914,21.76116885199049
1,4096,120,8,0.000490697,14.086085710733917
1,4096,120,12,0.000413254,16.725790917934248
1,4096,120,16,0.000362307,19.077743460656293
1,4096,120,20,0.000329759,20.960762253645843
1,4096,120,24,0.000324501,21.30039660894728
1,4096,120,28,0.000331545,20.847848708320136
