threads,size,nb,ib,GFlops
64,16384,32,8,30.3141
64,16384,32,16,34.1329
64,16384,40,8,43.1187
64,16384,40,16,58.5028
64,16384,48,8,60.9695
64,16384,48,16,97.6446
64,16384,48,24,98.5158
64,16384,56,8,82.5432
64,16384,56,16,127.3088
64,16384,56,24,143.4392
64,16384,64,8,107.3035
64,16384,64,16,193.4227
64,16384,64,24,227.2413
64,16384,64,32,250.0163
64,16384,72,8,127.7815
64,16384,72,16,199.4234
64,16384,72,24,267.0188
64,16384,72,32,269.7428
64,16384,80,8,155.239
64,16384,80,16,255.892
64,16384,80,24,283.5502
64,16384,80,32,311.6718
64,16384,80,40,343.0157
64,16384,88,8,189.5809
64,16384,88,16,291.7074
64,16384,88,24,336.3637
64,16384,88,32,366.9225
64,16384,88,40,375.6604
64,16384,96,8,213.4609
64,16384,96,16,370.7799
64,16384,96,24,440.6619
64,16384,96,32,456.1496
64,16384,96,40,424.7262
64,16384,96,48,464.6283
64,16384,104,8,256.5802
64,16384,104,16,400.1672
64,16384,104,24,461.0495
64,16384,104,32,473.3346
64,16384,104,40,462.1658
64,16384,104,48,492.6032
64,16384,112,8,286.9808
64,16384,112,16,444.5159
64,16384,112,24,509.3698
64,16384,112,32,542.579
64,16384,112,40,573.2484
64,16384,112,48,515.6703
64,16384,112,56,575.2875
64,16384,120,8,307.2892
64,16384,120,16,481.6281
64,16384,120,24,569.5971
64,16384,120,32,568.4618
64,16384,120,40,617.3873
64,16384,120,48,569.827
64,16384,120,56,627.4049
64,16384,128,8,371.0622
64,16384,128,16,518.3878
64,16384,128,24,598.3473
64,16384,128,32,651.6002
64,16384,128,40,613.271
64,16384,128,48,658.7187
64,16384,128,56,640.8032
64,16384,128,64,672.6458
64,16384,136,8,392.3791
64,16384,136,16,566.3484
64,16384,136,24,632.1189
64,16384,136,32,669.7438
64,16384,136,40,679.5468
64,16384,136,48,709.3594
64,16384,136,56,667.6391
64,16384,136,64,686.043
64,16384,144,8,432.1162
64,16384,144,16,599.8575
64,16384,144,24,656.1793
64,16384,144,32,662.0552
64,16384,144,40,718.2542
64,16384,144,48,714.1471
64,16384,144,56,731.4338
64,16384,144,64,728.0791
64,16384,144,72,703.3668
64,16384,152,8,468.1086
64,16384,152,16,623.4707
64,16384,152,24,707.0553
64,16384,152,32,661.9902
64,16384,152,40,771.7019
64,16384,152,48,724.5498
64,16384,152,56,766.2698
64,16384,152,64,765.5496
64,16384,152,72,719.7475
64,16384,160,8,504.4221
64,16384,160,16,677.1989
64,16384,160,24,732.5138
64,16384,160,32,793.3126
64,16384,160,40,815.6337
64,16384,160,48,771.7524
64,16384,160,56,819.1731
64,16384,160,64,767.4195
64,16384,160,72,795.2109
64,16384,160,80,777.1152
64,16384,168,8,537.5001
64,16384,168,16,678.5343
64,16384,168,24,765.3198
64,16384,168,32,767.047
64,16384,168,40,804.5563
64,16384,168,48,849.1539
64,16384,168,56,849.5055
64,16384,168,64,803.6724
64,16384,168,72,813.5274
64,16384,168,80,796.2981
64,16384,176,8,553.8953
64,16384,176,16,700.891
64,16384,176,24,782.5854
64,16384,176,32,822.4056
64,16384,176,40,856.036
64,16384,176,48,873.1749
64,16384,176,56,860.9441
