threads,size,nb,ib,Time_sec,GFlops
1,4096,32,8,2.01555e-05,6.503038872764257
1,4096,32,12,1.82325e-05,7.188920883038531
1,4096,32,16,1.32375e-05,9.901567516525024
1,4096,36,8,2.62692e-05,7.104289434013979
1,4096,36,12,1.85723e-05,10.048513108231075
1,4096,36,16,2.23686e-05,8.343123843244548
1,4096,40,8,2.66394e-05,9.609826047133193
1,4096,40,12,2.7464e-05,9.32129332944946
1,4096,40,16,2.541e-05,10.074773711137349
1,4096,40,20,1.92421e-05,13.304161188227896
1,4096,44,8,3.79295e-05,8.98340341950197
1,4096,44,12,3.27944e-05,10.390066596736029
1,4096,44,16,2.6712e-05,12.755914944594188
1,4096,44,20,2.70872e-05,12.579225612097227
1,4096,48,8,3.99343e-05,11.07739462066444
1,4096,48,12,3.63397e-05,12.173132964774062
1,4096,48,16,3.02316e-05,14.632636049696345
1,4096,48,20,3.02488e-05,14.624315675332575
1,4096,48,24,3.1351e-05,14.110171924340532
1,4096,52,8,5.42958e-05,10.358664942776421
1,4096,52,12,4.31573e-05,13.032140564863882
1,4096,52,16,4.00533e-05,14.04208891651874
1,4096,52,20,3.97711e-05,14.141726027190597
1,4096,52,24,4.04983e-05,13.887792820933226
1,4096,56,8,6.10306e-05,11.510029395090331
1,4096,56,12,4.90385e-05,14.324744843337378
1,4096,56,16,4.52835e-05,15.512581845484558
1,4096,56,20,4.49013e-05,15.644624988586076
1,4096,56,24,4.51333e-05,15.564206472826053
1,4096,56,28,3.85215e-05,18.235634645587528
1,4096,60,8,7.12775e-05,12.121637262810847
1,4096,60,12,5.70734e-05,15.138400726082553
1,4096,60,16,5.6539e-05,15.2814871150887
1,4096,60,20,4.91331e-05,17.58488676676212
1,4096,60,24,4.96994e-05,17.384515708439135
1,4096,60,28,5.38488e-05,16.044925792218212
1,4096,64,8,8.0144e-05,13.083649431024156
1,4096,64,12,7.31277e-05,14.338971415756273
1,4096,64,16,6.34224e-05,16.53321224047024
1,4096,64,20,6.017e-05,17.426890476981885
1,4096,64,24,5.92896e-05,17.68566493955095
1,4096,64,28,5.96228e-05,17.58682919956795
1,4096,64,32,5.13268e-05,20.429405300934405
1,4096,68,8,9.78487e-05,12.85380388293355
1,4096,68,12,8.38232e-05,15.004533351148607
1,4096,68,16,7.87497e-05,15.971210049054156
1,4096,68,20,7.37653e-05,17.05040174716296
1,4096,68,24,6.94687e-05,18.10495949974593
1,4096,68,28,6.61911e-05,19.00146696459192
1,4096,68,32,6.62637e-05,18.98064853003983
1,4096,72,8,0.000107278,13.91703797609948
1,4096,72,12,8.76316e-05,17.037141852938895
1,4096,72,16,8.58826e-05,17.384103415592914
1,4096,72,20,7.61297e-05,19.61116358004826
1,4096,72,24,7.08859e-05,21.061903707225273
1,4096,72,28,7.48237e-05,19.953463942574345
1,4096,72,32,7.46907e-05,19.98899461378726
1,4096,72,36,6.85533e-05,21.778557706193578
1,4096,76,8,0.000130055,13.501241782322865
1,4096,76,12,0.000110314,15.917326903203582
1,4096,76,16,9.73305e-05,18.04063474450455
1,4096,76,20,9.13864e-05,19.214062486321815
1,4096,76,24,9.2458e-05,18.991369054056975
1,4096,76,28,8.67308e-05,20.245449136869485
1,4096,76,32,8.58492e-05,20.45335308890473
1,4096,76,36,8.41074e-05,20.876926405999946
1,4096,80,8,0.000141807,14.442164350137864
1,4096,80,12,0.000122672,16.694926307551846
1,4096,80,16,0.000104471,19.6035263374525
1,4096,80,20,0.000100356,20.407349834588864
1,4096,80,24,0.000102126,20.053659205295418
1,4096,80,28,9.19236e-05,22.279371129938344
1,4096,80,32,9.41841e-05,21.744646920233883
1,4096,80,36,9.51099e-05,21.532984473750894
1,4096,80,40,8.5311e-05,24.00628289435126
1,4096,84,8,0.000168874,14.038963961296586
1,4096,84,12,0.000136157,17.412369543982315
1,4096,84,16,0.000130203,18.20861270477639
1,4096,84,20,0.000122996,19.275553676542327
1,4096,84,24,0.000112457,21.081978000480184
1,4096,84,28,0.000109234,21.70401157148873
1,4096,84,32,0.000108181,21.91527162810475
1,4096,84,36,0.00010542,22.489243027888445
1,4096,84,40,0.000110356,21.48334481133785
1,4096,88,8,0.000184621,14.764777571348871
1,4096,88,12,0.000159506,17.089564028939353
1,4096,88,16,0.000139105,19.595902375903094
1,4096,88,20,0.00013102,20.805128987940773
1,4096,88,24,0.000127537,21.37331127437528
1,4096,88,28,0.000127581,21.365940069446076
1,4096,88,32,0.000121103,22.508839582834447
1,4096,88,36,0.000115719,23.556097097278755
1,4096,88,40,0.00012128,22.47598944591029
1,4096,88,44,0.000109364,24.924911305365566
1,4096,92,8,0.000210509,14.796288994769819
1,4096,92,12,0.000173225,17.980961177659115
1,4096,92,16,0.000158914,19.600236605962973
1,4096,92,20,0.000150635,20.677478673615028
1,4096,92,24,0.00014032,22.197491448118583
