threads,size,nb,ib,GFlops
64,16384,520,8,265.8467
64,16384,520,16,362.5568
64,16384,520,24,420.3156
64,16384,520,32,448.4032
64,16384,520,40,455.8225
64,16384,520,48,476.9166
64,16384,520,56,474.4009
64,16384,520,64,479.578
64,16384,520,72,475.6299
64,16384,520,80,477.7894
64,16384,520,88,467.8982
64,16384,520,96,461.78
64,16384,520,104,459.7148
64,16384,520,112,456.0597
64,16384,520,120,444.0137
64,16384,520,128,432.5749
64,16384,520,136,438.9011
64,16384,520,144,433.2521
64,16384,520,152,426.6955
64,16384,520,160,419.693
64,16384,520,168,408.4643
64,16384,520,176,416.8308
64,16384,520,184,419.055
64,16384,520,192,412.7318
64,16384,520,200,406.4277
64,16384,520,208,400.0589
64,16384,520,216,395.5426
64,16384,520,224,386.8985
64,16384,520,232,380.2751
64,16384,520,240,376.3252
64,16384,520,248,366.813
64,16384,520,256,359.3806
64,16384,528,8,264.2417
64,16384,528,16,368.1475
64,16384,528,24,428.5064
64,16384,528,32,446.1944
64,16384,528,40,448.873
64,16384,528,48,474.3609
64,16384,528,56,472.5387
64,16384,528,64,476.0821
64,16384,528,72,469.5366
64,16384,528,80,471.1735
64,16384,528,88,461.6866
64,16384,528,96,454.8559
64,16384,528,104,442.172
64,16384,528,112,448.3167
64,16384,528,120,437.7239
64,16384,528,128,428.1049
64,16384,528,136,431.2759
64,16384,528,144,426.8684
64,16384,528,152,418.6685
64,16384,528,160,415.5705
64,16384,528,168,405.7312
64,16384,528,176,412.9412
64,16384,528,184,409.2331
64,16384,528,192,409.5295
64,16384,528,200,399.9402
64,16384,528,208,394.2455
64,16384,528,216,389.1447
64,16384,528,224,386.9759
64,16384,528,232,378.836
64,16384,528,240,372.9208
64,16384,528,248,366.4192
64,16384,528,256,355.1945
64,16384,528,264,364.5513
64,16384,536,8,266.5357
64,16384,536,16,370.9389
64,16384,536,24,413.353
64,16384,536,32,448.9206
64,16384,536,40,458.8257
64,16384,536,48,470.0308
64,16384,536,56,475.396
64,16384,536,64,480.983
64,16384,536,72,472.7286
64,16384,536,80,470.5119
64,16384,536,88,457.9407
64,16384,536,96,461.7041
64,16384,536,104,445.3399
64,16384,536,112,453.1853
64,16384,536,120,444.8208
64,16384,536,128,432.1103
64,16384,536,136,434.4371
64,16384,536,144,435.8755
64,16384,536,152,425.2958
64,16384,536,160,419.8281
64,16384,536,168,407.8179
64,16384,536,176,400.7885
64,16384,536,184,414.0618
64,16384,536,192,412.4805
64,16384,536,200,408.1525
64,16384,536,208,399.3734
64,16384,536,216,394.7972
64,16384,536,224,390.2267
64,16384,536,232,382.5635
64,16384,536,240,377.5492
64,16384,536,248,369.2564
64,16384,536,256,361.5778
64,16384,536,264,361.9526
64,16384,544,8,266.7643
64,16384,544,16,369.5488
64,16384,544,24,420.0938
64,16384,544,32,443.5534
64,16384,544,40,452.7379
64,16384,544,48,460.8316
64,16384,544,56,472.2628
64,16384,544,64,465.368
64,16384,544,72,463.0037
64,16384,544,80,463.78
64,16384,544,88,442.2773
64,16384,544,96,448.0757
64,16384,544,104,437.9298
64,16384,544,112,438.1631
64,16384,544,120,434.8866
64,16384,544,128,423.1386
64,16384,544,136,426.3226
64,16384,544,144,422.2435
64,16384,544,152,413.4614
64,16384,544,160,407.7337
64,16384,544,168,400.7943
64,16384,544,176,392.7667
64,16384,544,184,402.6645
64,16384,544,192,403.43
64,16384,544,200,395.9799
64,16384,544,208,394.4927
64,16384,544,216,387.0676
64,16384,544,224,383.3947
64,16384,544,232,377.916
64,16384,544,240,374.7534
64,16384,544,248,366.205
64,16384,544,256,357.448
64,16384,544,264,355.5565
64,16384,544,272,359.3351
64,16384,552,8,267.7703
64,16384,552,16,358.8704
64,16384,552,24,421.7341
64,16384,552,32,441.5285
64,16384,552,40,466.0413
64,16384,552,48,471.0694
64,16384,552,56,475.8959
64,16384,552,64,479.3533
64,16384,552,72,470.2057
64,16384,552,80,469.5614
64,16384,552,88,454.0169
64,16384,552,96,454.7179
64,16384,552,104,438.8127
64,16384,552,112,437.7658
64,16384,552,120,435.6784
64,16384,552,128,423.137
64,16384,552,136,413.7162
64,16384,552,144,424.8159
64,16384,552,152,420.8644
64,16384,552,160,412.1618
64,16384,552,168,408.2089
64,16384,552,176,401.5801
64,16384,552,184,407.2974
64,16384,552,192,403.6844
64,16384,552,200,402.4079
64,16384,552,208,399.4568
64,16384,552,216,392.0916
64,16384,552,224,388.8381
64,16384,552,232,383.9763
64,16384,552,240,377.6965
64,16384,552,248,371.6751
64,16384,552,256,364.1418
64,16384,552,264,359.2624
64,16384,552,272,354.802
64,16384,560,8,269.888
64,16384,560,16,365.7417
64,16384,560,24,418.7454
64,16384,560,32,436.2867
64,16384,560,40,459.997
64,16384,560,48,453.2698
64,16384,560,56,471.5112
64,16384,560,64,471.2337
64,16384,560,72,455.7866
64,16384,560,80,463.9818
64,16384,560,88,441.722
64,16384,560,96,444.0774
64,16384,560,104,430.4217
64,16384,560,112,427.2477
64,16384,560,120,424.7794
64,16384,560,128,418.2315
64,16384,560,136,408.7719
64,16384,560,144,415.9784
64,16384,560,152,410.0141
64,16384,560,160,405.6379
64,16384,560,168,397.204
64,16384,560,176,393.8753
64,16384,560,184,383.5549
64,16384,560,192,400.5943
64,16384,560,200,397.6838
64,16384,560,208,392.1279
64,16384,560,216,389.4632
64,16384,560,224,384.4262
64,16384,560,232,382.2871
64,16384,560,240,376.1319
64,16384,560,248,368.6838
64,16384,560,256,362.2878
64,16384,560,264,356.2363
64,16384,560,272,350.9319
64,16384,560,280,355.8812
64,16384,568,8,267.3858
64,16384,568,16,371.8989
64,16384,568,24,421.4887
64,16384,568,32,447.0433
64,16384,568,40,454.2361
