threads,size,nb,ib,Time_sec,GFlops
1,4096,32,8,2.00836e-05,6.526319982473262
1,4096,32,12,1.77871e-05,7.368935914229975
1,4096,32,16,1.53282e-05,8.551036651400686
1,4096,36,8,3.14297e-05,5.937823141805362
1,4096,36,12,2.31555e-05,8.059597071969943
1,4096,36,16,2.32523e-05,8.026044735359513
1,4096,40,8,3.15593e-05,8.111713504418665
1,4096,40,12,2.96888e-05,8.622780307725472
1,4096,40,16,2.57846e-05,9.928406878524392
1,4096,40,20,2.36871e-05,10.807570365304324
1,4096,44,8,4.22385e-05,8.066953135172888
1,4096,44,12,3.6438e-05,9.35111696580493
1,4096,44,16,3.25992e-05,10.452281037571474
1,4096,44,20,3.35728e-05,10.149168374398323
1,4096,48,8,4.67506e-05,9.462295671071601
1,4096,48,12,4.05994e-05,10.895924570313847
1,4096,48,16,3.64132e-05,12.148561510660969
1,4096,48,20,3.70107e-05,11.95243537679644
1,4096,48,24,3.48046e-05,12.710044074633812
1,4096,52,8,6.12342e-05,9.184932603022494
1,4096,52,12,5.49094e-05,10.24290922865666
1,4096,52,16,4.91683e-05,11.438914910623309
1,4096,52,20,4.80573e-05,11.703362444415314
1,4096,52,24,4.87368e-05,11.540191395413732
1,4096,56,8,6.94296e-05,10.117644347655753
1,4096,56,12,6.03729e-05,11.635419202986771
1,4096,56,16,5.425e-05,12.948645161290322
1,4096,56,20,5.10337e-05,13.7647084181629
1,4096,56,24,5.5419e-05,12.675508399646331
1,4096,56,28,5.19799e-05,13.514146814441736
1,4096,60,8,0.000102205,8.45359816055966
1,4096,60,12,7.29995e-05,11.83569750477743
1,4096,60,16,6.69673e-05,12.901819246109667
1,4096,60,20,7.43916e-05,11.614214508089622
1,4096,60,24,6.60626e-05,13.078504327713413
1,4096,60,28,6.66915e-05,12.955174197611392
1,4096,64,8,9.37406e-05,11.185932242806214
1,4096,64,12,8.51302e-05,12.31732099771879
1,4096,64,16,7.20641e-05,14.55060147840603
1,4096,64,20,8.07265e-05,12.989241451072449
1,4096,64,24,7.37918e-05,14.209925764109292
1,4096,64,28,7.50882e-05,13.964590974347502
1,4096,64,32,6.81962e-05,15.375871382862977
1,4096,68,8,0.000114352,10.998740730376381
1,4096,68,12,9.91446e-05,12.68579428430797
1,4096,68,16,9.22319e-05,13.63658343805126
1,4096,68,20,9.30694e-05,13.513872443574366
1,4096,68,24,8.85361e-05,14.205821128330705
1,4096,68,28,8.89452e-05,14.140482004650055
1,4096,68,32,8.51757e-05,14.766277236347925
1,4096,72,8,0.000125424,11.903559127439724
1,4096,72,12,0.000108716,13.732955590713418
1,4096,72,16,9.98575e-05,14.951225496332274
1,4096,72,20,0.000103921,14.366605402180504
1,4096,72,24,9.82395e-05,15.197471485502268
1,4096,72,28,9.70652e-05,15.381331311324761
1,4096,72,32,9.61488e-05,15.527931705855922
1,4096,72,36,9.12909e-05,16.354225886698455
1,4096,76,8,0.00015432,11.378330741316743
1,4096,76,12,0.000135202,12.9872635020192
1,4096,76,16,0.000127771,13.742586345884433
1,4096,76,20,0.000122491,14.334963385065027
1,4096,76,24,0.000120393,14.58476821742128
1,4096,76,28,0.000115623,15.18645944146061
1,4096,76,32,0.000110943,15.827082375634335
1,4096,76,36,0.000115457,15.208293996899279
1,4096,80,8,0.000162339,12.615576047653366
1,4096,80,12,0.000142511,14.370820498066816
1,4096,80,16,0.000142499,14.372030680917058
1,4096,80,20,0.000134609,15.214435884673387
1,4096,80,24,0.000132833,15.417855502774158
1,4096,80,28,0.000128034,15.995751128606466
1,4096,80,32,0.000125417,16.329524705582177
1,4096,80,36,0.000124324,16.473086451529873
1,4096,80,40,0.000118339,17.30621350526876
1,4096,84,8,0.000193536,12.25
1,4096,84,12,0.000167052,14.192083902018533
1,4096,84,16,0.000169415,13.99413275093705
1,4096,84,20,0.000161035,14.722364703325365
1,4096,84,24,0.000151556,15.64316820185278
1,4096,84,28,0.000149466,15.861908393882219
1,4096,84,32,0.000143031,16.575539568345324
1,4096,84,36,0.000142236,16.668185269552012
1,4096,84,40,0.000142417,16.647001411348366
1,4096,88,8,0.000208732,13.059272176762548
1,4096,88,12,0.000187836,14.512063715155772
1,4096,88,16,0.000185557,14.69030001562862
1,4096,88,20,0.000176851,15.41347235808675
1,4096,88,24,0.000169941,16.040202187818124
1,4096,88,28,0.000174418,15.628478712059536
1,4096,88,32,0.000158236,17.226724639146592
1,4096,88,36,0.000160075,17.028817741683586
1,4096,88,40,0.000158056,17.246343068279597
1,4096,88,44,0.000154766,17.612964087719526
1,4096,92,8,0.000247856,12.566780711380801
1,4096,92,12,0.000214387,14.528642128487268
1,4096,92,16,0.000211828,14.704156202201785
1,4096,92,20,0.000203803,15.283150885904526
1,4096,92,24,0.00019237,16.191464365545563
1,4096,92,28,0.000190708,16.332571260775637
1,4096,92,32,0.000180219,17.283149945344277
1,4096,92,36,0.00018172,17.140391811578255
1,4096,92,40,0.000179324,17.369409560348867
1,4096,92,44,0.000187859,16.580264985973525
1,4096,96,8,0.00025829,13.701436369971736
1,4096,96,12,0.000226774,15.605598525404146
1,4096,96,16,0.000232245,15.23797713621391
1,4096,96,20,0.000221499,15.977245946934298
1,4096,96,24,0.000209281,16.910010942226002
1,4096,96,28,0.000207139,17.084875373541436
1,4096,96,32,0.000194938,18.15420287476018
1,4096,96,36,0.000198733,17.80753070702903
1,4096,96,40,0.000202364,17.488011701686073
1,4096,96,44,0.000196616,17.99926760792611
1,4096,96,48,0.000186513,18.974248443808207
1,4096,100,8,0.00030641,13.05440422962697
1,4096,100,12,0.000267896,14.931167318660973
1,4096,100,16,0.000270108,14.808891258311489
1,4096,100,20,0.000249598,16.025769437255107
1,4096,100,24,0.000245863,16.269223103923732
1,4096,100,28,0.000236435,16.917968997821813
1,4096,100,32,0.000230029,17.389111807641644
1,4096,100,36,0.00022358,17.89068789694964
1,4096,100,40,0.000226178,17.685186003943798
1,4096,100,44,0.000221684,18.0437018458707
1,4096,100,48,0.000219641,18.21153609754099
1,4096,104,8,0.000319768,14.071001476070151
1,4096,104,12,0.000330548,13.61211079782664
1,4096,104,16,0.000297138,15.142647524046065
1,4096,104,20,0.000277991,16.185617519991652
1,4096,104,24,0.000263417,17.08111473443248
1,4096,104,28,0.000263105,17.101370175405254
1,4096,104,32,0.0002478,18.15761097659403
1,4096,104,36,0.000241305,18.646343838710347
1,4096,104,40,0.000243188,18.501965557511063
1,4096,104,44,0.000245251,18.3463309018108
1,4096,104,48,0.000238498,18.865801809658784
1,4096,104,52,0.000231601,19.42761905173121
1,4096,108,8,0.000370683,13.593415398062493
1,4096,108,12,0.000386075,13.05147445444538
1,4096,108,16,0.00033085,15.230007556294394
1,4096,108,20,0.000309509,16.28013401871997
1,4096,108,24,0.000304068,16.57145112277517
1,4096,108,28,0.000310467,16.229898829827327
1,4096,108,32,0.000285316,17.660586858080165
1,4096,108,36,0.000267812,18.814870132779713
1,4096,108,40,0.000271266,18.575302470637677
1,4096,108,44,0.000273783,18.404532056409636
1,4096,108,48,0.000271771,18.540786176597205
1,4096,108,52,0.000268663,18.755273334995888
1,4096,112,8,0.000388919,14.44956919049982
1,4096,112,12,0.000411835,13.645542510957059
1,4096,112,16,0.000357182,15.73346921177439
1,4096,112,20,0.000341406,16.46049571477947
1,4096,112,24,0.000324192,17.33451781660251
