threads,size,nb,ib,GFlops
8,8192,32,8,44.1688
8,8192,32,12,49.3563
8,8192,32,16,58.0083
8,8192,36,8,47.1029
8,8192,36,12,58.9601
8,8192,36,16,60.6118
8,8192,40,8,57.4072
8,8192,40,12,63.0721
8,8192,40,16,71.8738
8,8192,40,20,81.706
8,8192,44,8,59.832
8,8192,44,12,70.7174
8,8192,44,16,79.619
8,8192,44,20,79.669
8,8192,48,8,69.2958
8,8192,48,12,81.9187
8,8192,48,16,92.8845
8,8192,48,20,92.6429
8,8192,48,24,100.1236
8,8192,52,8,70.8366
8,8192,52,12,81.2411
8,8192,52,16,90.2544
8,8192,52,20,97.3651
8,8192,52,24,95.4588
8,8192,56,8,78.4428
8,8192,56,12,89.751
8,8192,56,16,98.9866
8,8192,56,20,109.6437
8,8192,56,24,105.5175
8,8192,56,28,114.8461
8,8192,60,8,79.4426
8,8192,60,12,95.38
8,8192,60,16,104.2943
8,8192,60,20,113.8141
8,8192,60,24,110.3051
8,8192,60,28,109.0048
8,8192,64,8,86.6479
8,8192,64,12,97.2728
8,8192,64,16,115.5567
8,8192,64,20,115.108
8,8192,64,24,121.6412
8,8192,64,28,119.6055
8,8192,64,32,131.769
8,8192,68,8,87.0347
8,8192,68,12,102.3738
8,8192,68,16,111.2076
8,8192,68,20,118.3918
8,8192,68,24,124.6801
8,8192,68,28,121.9459
8,8192,68,32,123.4086
8,8192,72,8,94.1535
8,8192,72,12,110.8626
8,8192,72,16,120.7259
8,8192,72,20,129.0722
8,8192,72,24,135.2078
8,8192,72,28,135.0785
8,8192,72,32,135.4797
8,8192,72,36,145.5809
8,8192,76,8,93.1768
8,8192,76,12,108.1289
8,8192,76,16,123.4264
8,8192,76,20,132.978
8,8192,76,24,127.4561
8,8192,76,28,137.0199
8,8192,76,32,136.8096
8,8192,76,36,136.2965
8,8192,80,8,100.3029
8,8192,80,12,115.0311
8,8192,80,16,132.7163
8,8192,80,20,142.0662
8,8192,80,24,137.0834
8,8192,80,28,145.2097
8,8192,80,32,146.324
8,8192,80,36,144.5879
8,8192,80,40,156.4545
8,8192,84,8,99.2832
8,8192,84,12,118.6493
8,8192,84,16,128.6761
8,8192,84,20,134.7073
8,8192,84,24,137.4575
8,8192,84,28,145.5351
8,8192,84,32,147.5868
8,8192,84,36,145.4751
8,8192,84,40,144.8735
8,8192,88,8,105.1911
8,8192,88,12,118.8528
8,8192,88,16,136.4736
8,8192,88,20,142.4199
8,8192,88,24,147.7299
8,8192,88,28,145.1961
8,8192,88,32,156.0145
8,8192,88,36,156.1879
8,8192,88,40,154.7404
8,8192,88,44,163.6548
8,8192,92,8,103.4405
8,8192,92,12,121.5049
8,8192,92,16,137.4798
8,8192,92,20,143.5883
8,8192,92,24,147.8798
8,8192,92,28,145.1212
8,8192,92,32,155.0127
8,8192,92,36,155.8311
8,8192,92,40,154.4178
8,8192,92,44,152.1864
8,8192,96,8,108.8635
8,8192,96,12,128.2865
8,8192,96,16,146.888
8,8192,96,20,153.4612
8,8192,96,24,157.0112
8,8192,96,28,154.3275
8,8192,96,32,166.8119
8,8192,96,36,166.3644
8,8192,96,40,167.268
8,8192,96,44,163.8748
8,8192,96,48,177.1156
8,8192,100,8,107.4485
8,8192,100,12,125.5078
8,8192,100,16,141.1653
8,8192,100,20,155.4417
8,8192,100,24,149.4604
8,8192,100,28,156.9652
8,8192,100,32,158.1555
8,8192,100,36,166.8089
8,8192,100,40,166.7859
8,8192,100,44,164.2054
8,8192,100,48,165.3252
8,8192,104,8,111.206
8,8192,104,12,129.3138
8,8192,104,16,146.3691
8,8192,104,20,152.2563
8,8192,104,24,154.5016
8,8192,104,28,162.5478
8,8192,104,32,163.4194
8,8192,104,36,174.0894
8,8192,104,40,173.5104
8,8192,104,44,173.013
8,8192,104,48,173.5694
8,8192,104,52,182.7661
8,8192,108,8,109.22
8,8192,108,12,131.3182
8,8192,108,16,147.1373
8,8192,108,20,153.0273
8,8192,108,24,154.79
8,8192,108,28,161.9717
8,8192,108,32,163.964
8,8192,108,36,172.2127
8,8192,108,40,170.401
8,8192,108,44,169.9909
8,8192,108,48,170.5923
8,8192,108,52,168.936
8,8192,112,8,113.2088
8,8192,112,12,129.7314
8,8192,112,16,152.7092
8,8192,112,20,158.2936
8,8192,112,24,161.8224
8,8192,112,28,168.0763
8,8192,112,32,171.4888
8,8192,112,36,169.3
8,8192,112,40,177.5833
8,8192,112,44,176.1715
8,8192,112,48,179.1276
8,8192,112,52,174.796
8,8192,112,56,185.7278
