threads,size,nb,ib,Time_sec,GFlops
1,4096,32,8,0.00228312,0.05740915939591436
1,4096,32,12,1.33426e-05,9.823572617031164
1,4096,32,16,1.05077e-05,12.473900092313258
1,4096,36,8,2.09618e-05,8.903052218798004
1,4096,36,12,1.597e-05,11.685911083281152
1,4096,36,16,1.55322e-05,12.015297253447676
1,4096,40,8,2.24392e-05,11.408606367428428
1,4096,40,12,2.0929e-05,12.231831430073106
1,4096,40,16,1.83218e-05,13.97242628999334
1,4096,40,20,1.78259e-05,14.361126226445787
1,4096,44,8,3.03544e-05,11.225258941043144
1,4096,44,12,2.76706e-05,12.3140083698944
1,4096,44,16,2.27154e-05,15.00022011498807
1,4096,44,20,2.50396e-05,13.607885109985782
1,4096,48,8,3.68822e-05,11.994078444344428
1,4096,48,12,3.16237e-05,13.988495969794805
1,4096,48,16,2.54857e-05,17.3574985187772
1,4096,48,20,2.81947e-05,15.689757294810725
1,4096,48,24,2.63128e-05,16.811893831139216
1,4096,52,8,4.68311e-05,12.009796908464674
1,4096,52,12,4.12695e-05,13.628272695331903
1,4096,52,16,3.43607e-05,16.368467464283324
1,4096,52,20,3.33683e-05,16.85527881252566
1,4096,52,24,3.55816e-05,15.806821503248871
1,4096,56,8,5.1706e-05,13.585734730978997
1,4096,56,12,4.69952e-05,14.947569113441372
1,4096,56,16,4.0912e-05,17.17012123582323
1,4096,56,20,3.86594e-05,18.170587231048597
1,4096,56,24,3.75731e-05,18.69592873625014
1,4096,56,28,3.44565e-05,20.38698068579223
1,4096,60,8,6.45271e-05,13.389723077590656
1,4096,60,12,5.31417e-05,16.258418530080895
1,4096,60,16,5.10244e-05,16.93307515619978
1,4096,60,20,4.69289e-05,18.410830000277016
1,4096,60,24,4.5087e-05,19.16295162685475
1,4096,60,28,4.96426e-05,17.40440669908506
1,4096,64,8,7.65838e-05,13.691877394435899
1,4096,64,12,6.72741e-05,15.586622489189747
1,4096,64,16,5.54356e-05,18.91520972082921
1,4096,64,20,5.54597e-05,18.906990120754347
1,4096,64,24,5.13908e-05,20.403963355308733
1,4096,64,28,5.22081e-05,20.08454626772474
1,4096,64,32,4.80627e-05,21.81683509249376
1,4096,68,8,8.65152e-05,14.53765349903832
1,4096,68,12,7.24571e-05,17.35824370558579
1,4096,68,16,7.0636e-05,17.80576476584178
1,4096,68,20,6.39259e-05,19.674779705878212
1,4096,68,24,6.09797e-05,20.62535565114292
1,4096,68,28,6.25156e-05,20.118626390852846
1,4096,68,32,6.16319e-05,20.407094378073694
1,4096,72,8,9.64933e-05,15.472493945175467
1,4096,72,12,8.25999e-05,18.07498556293652
1,4096,72,16,7.49864e-05,19.910170377561798
1,4096,72,20,7.38993e-05,20.203060110176956
1,4096,72,24,6.92272e-05,21.566551875563366
1,4096,72,28,6.74041e-05,22.149869221605215
1,4096,72,32,6.57356e-05,22.712076865503622
1,4096,72,36,6.03026e-05,24.758335461489224
1,4096,76,8,0.000116839,15.028406610806323
1,4096,76,12,0.000101267,17.33935043005125
1,4096,76,16,8.61942e-05,20.371486712563026
1,4096,76,20,8.10235e-05,21.67153973847094
1,4096,76,24,9.06195e-05,19.376668377115298
1,4096,76,28,8.29711e-05,21.1628386269436
1,4096,76,32,7.97299e-05,22.023155679362446
1,4096,76,36,8.00452e-05,21.936405930649187
1,4096,80,8,0.000132551,15.450656728353612
1,4096,80,12,0.00011146,18.374304683294458
1,4096,80,16,9.49883e-05,21.56055008880041
1,4096,80,20,8.70306e-05,23.531953129129295
1,4096,80,24,9.69724e-05,21.119411296410114
1,4096,80,28,8.59375e-05,23.83127272727273
1,4096,80,32,8.5772e-05,23.87725598097281
1,4096,80,36,8.94138e-05,22.90474177364121
1,4096,80,40,8.10209e-05,25.277428416618427
1,4096,84,8,0.0001556,15.236606683804629
1,4096,84,12,0.000124927,18.97761092478007
1,4096,84,16,0.000119296,19.873390557939913
1,4096,84,20,0.000109643,21.623049351075764
1,4096,84,24,0.000111492,21.26444946722635
1,4096,84,28,0.000104859,22.60956141103768
1,4096,84,32,0.00010481,22.62013166682569
1,4096,84,36,0.000106597,22.24092610486224
1,4096,84,40,0.000102562,23.11592987656247
1,4096,88,8,0.000169869,16.047000924241622
1,4096,88,12,0.000146299,18.632307807982283
1,4096,88,16,0.000126798,21.497878515434
1,4096,88,20,0.000122046,22.334922897923732
1,4096,88,24,0.000117061,23.286047445349006
1,4096,88,28,0.00011816,23.069465132024376
1,4096,88,32,0.000113848,23.94322254233715
1,4096,88,36,0.000114624,23.781127861529868
1,4096,88,40,0.000108628,25.09378797363479
1,4096,88,44,0.00010566,25.79867499526784
1,4096,92,8,0.000196979,15.812609465983682
1,4096,92,12,0.000163063,19.10152517738543
1,4096,92,16,0.000143157,21.757594808496965
1,4096,92,20,0.000139611,22.310219108809477
1,4096,92,24,0.000138077,22.558079911933195
1,4096,92,28,0.000140501,22.168895595049147
1,4096,92,32,0.000133566,23.31994669302068
1,4096,92,36,0.000124826,24.952750228317818
1,4096,92,40,0.000129221,24.104069771941095
1,4096,92,44,0.000136552,22.810006444431426
1,4096,96,8,0.000215468,16.424452818980082
1,4096,96,12,0.000178117,19.868648135775924
