threads,size,nb,ib,GFlops
32,8192,32,8,35.5046
32,8192,32,16,55.7051
32,8192,40,8,53.7733
32,8192,40,16,79.1332
32,8192,48,8,74.9022
32,8192,48,16,130.2738
32,8192,48,24,167.4077
32,8192,56,8,99.3485
32,8192,56,16,155.6249
32,8192,56,24,192.8649
32,8192,64,8,129.257
32,8192,64,16,217.7379
32,8192,64,24,262.9667
32,8192,64,32,320.086
32,8192,72,8,156.9072
32,8192,72,16,249.3491
32,8192,72,24,338.5638
32,8192,72,32,330.76
32,8192,80,8,187.9331
32,8192,80,16,310.7748
32,8192,80,24,352.8306
32,8192,80,32,392.4976
32,8192,80,40,430.8892
32,8192,88,8,218.3849
32,8192,88,16,331.721
32,8192,88,24,405.9585
32,8192,88,32,443.7081
32,8192,88,40,435.9306
32,8192,96,8,249.6196
32,8192,96,16,389.703
32,8192,96,24,457.1911
32,8192,96,32,486.7036
32,8192,96,40,482.3696
32,8192,96,48,516.0322
32,8192,104,8,283.1569
32,8192,104,16,408.6285
32,8192,104,24,467.5782
32,8192,104,32,492.6166
32,8192,104,40,522.5959
32,8192,104,48,516.7798
32,8192,112,8,303.9401
32,8192,112,16,448.2626
32,8192,112,24,499.1394
32,8192,112,32,525.091
32,8192,112,40,552.6311
32,8192,112,48,546.3474
32,8192,112,56,577.0032
32,8192,120,8,328.3938
32,8192,120,16,457.168
32,8192,120,24,535.2675
32,8192,120,32,559.3498
32,8192,120,40,590.3334
32,8192,120,48,580.9551
32,8192,120,56,571.28
32,8192,128,8,352.231
32,8192,128,16,492.1827
32,8192,128,24,536.5442
32,8192,128,32,590.8794
32,8192,128,40,585.0775
32,8192,128,48,611.1894
32,8192,128,56,604.5948
32,8192,128,64,628.9943
32,8192,136,8,366.0194
32,8192,136,16,495.0946
32,8192,136,24,563.683
32,8192,136,32,583.0044
32,8192,136,40,608.1219
32,8192,136,48,633.9833
32,8192,136,56,627.2911
32,8192,136,64,619.2027
32,8192,144,8,380.6778
32,8192,144,16,525.2381
32,8192,144,24,595.119
32,8192,144,32,613.9735
32,8192,144,40,639.1166
32,8192,144,48,663.1487
32,8192,144,56,656.0192
32,8192,144,64,647.1054
32,8192,144,72,668.0147
32,8192,152,8,391.0965
32,8192,152,16,531.0164
32,8192,152,24,591.6902
32,8192,152,32,635.5326
32,8192,152,40,657.7087
32,8192,152,48,652.2372
32,8192,152,56,674.231
32,8192,152,64,668.8429
32,8192,152,72,653.5781
32,8192,160,8,397.1801
32,8192,160,16,545.476
32,8192,160,24,609.2884
32,8192,160,32,652.1821
32,8192,160,40,672.5512
32,8192,160,48,666.4497
32,8192,160,56,685.0655
32,8192,160,64,682.8584
32,8192,160,72,673.6134
32,8192,160,80,694.7013
32,8192,168,8,406.2492
32,8192,168,16,544.7351
32,8192,168,24,631.8006
32,8192,168,32,645.9298
32,8192,168,40,664.885
32,8192,168,48,689.1676
32,8192,168,56,708.6277
32,8192,168,64,706.8249
32,8192,168,72,696.115
32,8192,168,80,687.4202
32,8192,176,8,414.0396
32,8192,176,16,564.7843
32,8192,176,24,615.2347
32,8192,176,32,655.7158
32,8192,176,40,680.4139
32,8192,176,48,699.4843
32,8192,176,56,693.249
32,8192,176,64,713.983
32,8192,176,72,707.3758
32,8192,176,80,699.4749
32,8192,176,88,718.1984
32,8192,184,8,420.5918
32,8192,184,16,565.7859
32,8192,184,24,638.6533
32,8192,184,32,677.8542
32,8192,184,40,694.0339
32,8192,184,48,716.2584
32,8192,184,56,707.9741
32,8192,184,64,727.4765
32,8192,184,72,724.0552
32,8192,184,80,712.345
32,8192,184,88,699.5529
32,8192,192,8,421.0208
32,8192,192,16,572.3187
32,8192,192,24,649.9342
32,8192,192,32,688.5778
32,8192,192,40,709.7143
32,8192,192,48,727.7507
32,8192,192,56,718.6822
32,8192,192,64,735.9121
32,8192,192,72,733.9289
32,8192,192,80,727.4417
32,8192,192,88,715.6116
32,8192,192,96,730.0052
32,8192,200,8,427.0682
32,8192,200,16,575.4684
32,8192,200,24,644.9105
32,8192,200,32,680.2556
32,8192,200,40,718.3553
32,8192,200,48,716.921
32,8192,200,56,736.1654
32,8192,200,64,726.3118
32,8192,200,72,745.5698
32,8192,200,80,741.8281
32,8192,200,88,730.9412
32,8192,200,96,716.2234
32,8192,208,8,430.8087
32,8192,208,16,587.3208
32,8192,208,24,657.4155
32,8192,208,32,692.2579
32,8192,208,40,707.326
32,8192,208,48,725.4148
32,8192,208,56,743.6468
32,8192,208,64,733.5961
32,8192,208,72,748.7664
32,8192,208,80,746.3281
32,8192,208,88,738.9457
32,8192,208,96,727.724
32,8192,208,104,741.1547
32,8192,216,8,432.4967
32,8192,216,16,586.206
32,8192,216,24,667.6321
32,8192,216,32,703.8546
32,8192,216,40,718.6688
32,8192,216,48,738.845
32,8192,216,56,754.1225
32,8192,216,64,748.5694
32,8192,216,72,761.0111
32,8192,216,80,757.0425
32,8192,216,88,750.269
32,8192,216,96,740.8445
32,8192,216,104,727.9301
32,8192,224,8,434.1355
32,8192,224,16,592.5356
32,8192,224,24,652.7186
32,8192,224,32,709.2982
32,8192,224,40,725.6194
32,8192,224,48,740.4929
32,8192,224,56,760.0163
32,8192,224,64,751.8503
32,8192,224,72,741.579
32,8192,224,80,761.861
32,8192,224,88,755.8921
32,8192,224,96,749.8991
32,8192,224,104,734.2442
32,8192,224,112,747.8843
32,8192,232,8,429.9232
32,8192,232,16,589.1957
32,8192,232,24,665.1237
32,8192,232,32,697.7421
32,8192,232,40,733.8972
32,8192,232,48,753.188
32,8192,232,56,742.4793
32,8192,232,64,760.2976
32,8192,232,72,750.7079
32,8192,232,80,762.9941
32,8192,232,88,760.1564
32,8192,232,96,752.9151
32,8192,232,104,741.5084
32,8192,232,112,728.2923
32,8192,240,8,430.5923
32,8192,240,16,586.5221
32,8192,240,24,662.2255
32,8192,240,32,703.7977
32,8192,240,40,741.2826
32,8192,240,48,754.2986
32,8192,240,56,750.5787
32,8192,240,64,763.6363
32,8192,240,72,756.6214
32,8192,240,80,767.9524
32,8192,240,88,759.0617
32,8192,240,96,759.9161
32,8192,240,104,748.056
32,8192,240,112,734.9647
32,8192,240,120,746.1983
32,8192,248,8,434.5704
32,8192,248,16,585.2163
32,8192,248,24,655.8423
32,8192,248,32,704.0148
32,8192,248,40,720.79
32,8192,248,48,738.7997
32,8192,248,56,753.6743
32,8192,248,64,766.5209
32,8192,248,72,763.6659
32,8192,248,80,753.5644
32,8192,248,88,768.1632
32,8192,248,96,759.5257
32,8192,248,104,752.3764
32,8192,248,112,744.9131
32,8192,248,120,729.8808
32,8192,256,8,428.7049
32,8192,256,16,587.9831
32,8192,256,24,655.8436
32,8192,256,32,703.9892
32,8192,256,40,717.0466
32,8192,256,48,727.4606
32,8192,256,56,747.9172
32,8192,256,64,765.3143
32,8192,256,72,761.532
32,8192,256,80,755.2863
32,8192,256,88,761.7606
32,8192,256,96,762.2699
32,8192,256,104,752.0531
32,8192,256,112,743.6981
32,8192,256,120,735.3783
32,8192,256,128,735.3539
32,8192,264,8,444.8796
32,8192,264,16,597.4059
32,8192,264,24,677.9615
32,8192,264,32,710.0806
32,8192,264,40,742.3456
32,8192,264,48,755.2948
32,8192,264,56,774.1691
32,8192,264,64,768.5901
32,8192,264,72,778.3717
32,8192,264,80,772.5124
32,8192,264,88,781.1675
32,8192,264,96,780.3509
32,8192,264,104,772.5571
32,8192,264,112,766.4193
32,8192,264,120,752.2413
32,8192,264,128,735.042
32,8192,272,8,440.7756
32,8192,272,16,599.4604
32,8192,272,24,667.1192
32,8192,272,32,713.9066
32,8192,272,40,747.2438
32,8192,272,48,761.7955
32,8192,272,56,778.3022
32,8192,272,64,772.2495
32,8192,272,72,787.1593
32,8192,272,80,782.0482
32,8192,272,88,765.3567
32,8192,272,96,781.6848
32,8192,272,104,774.6918
32,8192,272,112,771.2534
32,8192,272,120,763.7207
32,8192,272,128,743.4393
32,8192,272,136,758.7397
32,8192,280,8,446.1762
32,8192,280,16,598.6455
32,8192,280,24,676.2249
32,8192,280,32,726.1312
32,8192,280,40,759.1213
32,8192,280,48,774.8975
32,8192,280,56,783.2581
32,8192,280,64,777.9446
32,8192,280,72,788.1443
32,8192,280,80,786.2914
32,8192,280,88,770.8829
32,8192,280,96,787.8706
32,8192,280,104,778.313
32,8192,280,112,777.2387
32,8192,280,120,769.5786
32,8192,280,128,751.8904
32,8192,280,136,740.8888
32,8192,288,8,441.113
32,8192,288,16,599.3929
32,8192,288,24,687.6634
32,8192,288,32,733.7415
32,8192,288,40,744.7474
32,8192,288,48,777.2913
32,8192,288,56,764.686
32,8192,288,64,774.5201
32,8192,288,72,792.9518
32,8192,288,80,790.9894
32,8192,288,88,783.1083
32,8192,288,96,787.9655
32,8192,288,104,789.7421
32,8192,288,112,780.1209
32,8192,288,120,773.3614
32,8192,288,128,756.9223
32,8192,288,136,753.4327
32,8192,288,144,758.4877
32,8192,296,8,447.0569
32,8192,296,16,598.7346
32,8192,296,24,677.7126
32,8192,296,32,726.7006
32,8192,296,40,750.4919
32,8192,296,48,767.3369
32,8192,296,56,780.7307
32,8192,296,64,792.234
32,8192,296,72,779.3275
32,8192,296,80,796.7982
32,8192,296,88,790.2613
32,8192,296,96,779.2212
32,8192,296,104,786.2399
32,8192,296,112,784.711
32,8192,296,120,777.5889
32,8192,296,128,764.7012
32,8192,296,136,757.2787
32,8192,296,144,747.5679
32,8192,304,8,444.9101
32,8192,304,16,604.8398
32,8192,304,24,682.3709
32,8192,304,32,727.0392
32,8192,304,40,752.8062
32,8192,304,48,761.8873
32,8192,304,56,773.293
32,8192,304,64,779.7682
32,8192,304,72,784.6872
32,8192,304,80,797.019
32,8192,304,88,794.4833
32,8192,304,96,779.2609
32,8192,304,104,792.7856
32,8192,304,112,785.7696
32,8192,304,120,779.8878
32,8192,304,128,771.2259
32,8192,304,136,765.65
32,8192,304,144,755.1922
32,8192,304,152,756.3982
32,8192,312,8,443.6155
32,8192,312,16,598.7228
32,8192,312,24,671.0178
32,8192,312,32,728.3059
32,8192,312,40,760.823
32,8192,312,48,775.5548
32,8192,312,56,777.6467
32,8192,312,64,795.1329
32,8192,312,72,787.864
32,8192,312,80,797.8596
32,8192,312,88,794.5746
32,8192,312,96,780.8422
32,8192,312,104,785.5753
32,8192,312,112,782.0106
32,8192,312,120,774.2346
32,8192,312,128,768.7522
32,8192,312,136,762.0512
32,8192,312,144,755.329
32,8192,312,152,741.0325
32,8192,320,8,437.6627
32,8192,320,16,597.3296
32,8192,320,24,676.5218
32,8192,320,32,724.6942
32,8192,320,40,761.2441
32,8192,320,48,766.6549
32,8192,320,56,779.8728
32,8192,320,64,783.8157
32,8192,320,72,780.5694
32,8192,320,80,788.4486
32,8192,320,88,789.0723
32,8192,320,96,773.1853
32,8192,320,104,770.2261
32,8192,320,112,778.3295
32,8192,320,120,772.9561
32,8192,320,128,768.3913
32,8192,320,136,765.3005
32,8192,320,144,756.1518
32,8192,320,152,739.8122
32,8192,320,160,747.0621
32,8192,328,8,444.5448
32,8192,328,16,599.986
32,8192,328,24,679.8569
32,8192,328,32,719.9059
32,8192,328,40,741.9047
32,8192,328,48,768.7563
32,8192,328,56,782.4705
32,8192,328,64,765.4589
32,8192,328,72,779.6339
32,8192,328,80,767.3135
32,8192,328,88,795.9374
32,8192,328,96,792.9253
32,8192,328,104,778.4683
32,8192,328,112,785.0839
32,8192,328,120,782.7144
32,8192,328,128,770.6283
32,8192,328,136,774.026
32,8192,328,144,761.2315
32,8192,328,152,745.054
32,8192,328,160,730.4722
32,8192,336,8,441.2996
32,8192,336,16,598.845
32,8192,336,24,690.6167
32,8192,336,32,725.13
32,8192,336,40,758.021
32,8192,336,48,780.6709
32,8192,336,56,786.326
32,8192,336,64,785.3495
32,8192,336,72,792.8087
32,8192,336,80,782.4255
32,8192,336,88,789.2822
32,8192,336,96,790.5203
32,8192,336,104,777.9428
32,8192,336,112,789.7744
32,8192,336,120,774.5977
32,8192,336,128,774.7533
32,8192,336,136,764.7307
32,8192,336,144,764.1116
32,8192,336,152,753.4854
32,8192,336,160,736.1328
32,8192,336,168,742.4605
32,8192,344,8,437.3557
32,8192,344,16,599.513
32,8192,344,24,677.9972
32,8192,344,32,725.3474
32,8192,344,40,752.7372
32,8192,344,48,756.2492
32,8192,344,56,776.3982
32,8192,344,64,788.8218
32,8192,344,72,793.0251
32,8192,344,80,786.4955
32,8192,344,88,796.0317
32,8192,344,96,791.1089
32,8192,344,104,789.902
32,8192,344,112,774.963
32,8192,344,120,775.9086
32,8192,344,128,776.058
32,8192,344,136,775.7411
32,8192,344,144,765.5421
32,8192,344,152,753.5411
32,8192,344,160,746.6039
32,8192,344,168,730.0504
32,8192,352,8,438.3342
32,8192,352,16,594.7015
32,8192,352,24,675.489
32,8192,352,32,713.2882
32,8192,352,40,758.771
32,8192,352,48,761.8776
32,8192,352,56,778.9597
32,8192,352,64,778.1237
32,8192,352,72,789.4964
32,8192,352,80,785.6704
32,8192,352,88,785.6266
32,8192,352,96,780.7131
32,8192,352,104,777.3177
32,8192,352,112,769.7045
32,8192,352,120,774.5682
32,8192,352,128,769.8298
32,8192,352,136,760.7102
32,8192,352,144,756.995
32,8192,352,152,751.9297
32,8192,352,160,738.3435
32,8192,352,168,723.4171
32,8192,352,176,724.8656
32,8192,360,8,438.8768
32,8192,360,16,601.9628
32,8192,360,24,678.2586
32,8192,360,32,718.5744
32,8192,360,40,758.7145
32,8192,360,48,772.5472
32,8192,360,56,783.1901
32,8192,360,64,789.4376
32,8192,360,72,793.3776
32,8192,360,80,784.6446
32,8192,360,88,783.5703
32,8192,360,96,786.7925
32,8192,360,104,778.4923
32,8192,360,112,777.9257
32,8192,360,120,771.7301
32,8192,360,128,773.2961
32,8192,360,136,771.643
32,8192,360,144,764.3416
32,8192,360,152,755.7455
32,8192,360,160,748.45
32,8192,360,168,734.1949
32,8192,360,176,717.3053
