threads,size,nb,ib,Time_sec,GFlops
1,8192,32,8,1.49868e-05,8.745829663437158
1,8192,32,12,1.33547e-05,9.814671988139008
1,8192,32,16,1.19509e-05,10.96754219347497
1,8192,36,8,2.00555e-05,9.305377577223206
1,8192,36,12,1.64096e-05,11.372854914196568
1,8192,36,16,1.62044e-05,11.516871960702032
1,8192,40,8,2.36724e-05,10.814281610652067
1,8192,40,12,2.13159e-05,12.009814270098847
1,8192,40,16,1.93967e-05,13.198121329916944
1,8192,40,20,1.71618e-05,14.916850213847033
1,8192,44,8,3.02484e-05,11.264595813332276
1,8192,44,12,2.55632e-05,13.329160668460913
1,8192,44,16,2.30018e-05,14.813449382222261
1,8192,44,20,2.30362e-05,14.791328430904402
1,8192,48,8,3.47979e-05,12.712491271024975
1,8192,48,12,2.92063e-05,15.146321170432408
1,8192,48,16,2.64077e-05,16.75147778867527
1,8192,48,20,2.68367e-05,16.48369583443568
1,8192,48,24,2.42226e-05,18.26261425280523
1,8192,52,8,4.38419e-05,12.828641094478114
1,8192,52,12,3.80023e-05,14.799946319038584
1,8192,52,16,3.43769e-05,16.36075387833109
1,8192,52,20,3.19798e-05,17.587101858047895
1,8192,52,24,3.24176e-05,17.349587878189624
1,8192,56,8,5.07381e-05,13.844901563125147
1,8192,56,12,4.32551e-05,16.240027187545515
1,8192,56,16,3.9631e-05,17.72511417829477
1,8192,56,20,3.60465e-05,19.48771725410234
1,8192,56,24,3.69321e-05,19.020418551883054
1,8192,56,28,3.3524e-05,20.954062761007037
1,8192,60,8,6.20173e-05,13.93159650613619
1,8192,60,12,5.04103e-05,17.139354457323204
1,8192,60,16,4.61986e-05,18.70186542449338
1,8192,60,20,4.27379e-05,20.216248341635875
1,8192,60,24,4.36593e-05,19.78959809250263
1,8192,60,28,4.34013e-05,19.90723780163267
1,8192,64,8,6.98463e-05,15.012620568304978
1,8192,64,12,6.12093e-05,17.130991532332505
1,8192,64,16,5.15249e-05,20.35085948735466
