threads,size,nb,ib,GFlops
2,2048,32,8,16.0235
2,2048,32,12,17.8506
2,2048,32,16,21.2277
2,2048,36,8,16.4927
2,2048,36,12,20.649
2,2048,36,16,21.1986
2,2048,40,8,19.2169
2,2048,40,12,20.7435
2,2048,40,16,23.9912
2,2048,40,20,26.6956
2,2048,44,8,19.569
2,2048,44,12,23.2686
2,2048,44,16,26.1022
2,2048,44,20,26.0119
2,2048,48,8,22.4261
2,2048,48,12,25.4524
2,2048,48,16,29.5697
2,2048,48,20,28.8905
2,2048,48,24,31.368
2,2048,52,8,22.3781
2,2048,52,12,25.3403
2,2048,52,16,27.7793
2,2048,52,20,29.9034
2,2048,52,24,29.2233
2,2048,56,8,24.7114
2,2048,56,12,27.5974
2,2048,56,16,30.5517
2,2048,56,20,32.6544
2,2048,56,24,31.7323
2,2048,56,28,34.0369
2,2048,60,8,24.5029
2,2048,60,12,29.2458
2,2048,60,16,31.7506
2,2048,60,20,33.6659
2,2048,60,24,32.7661
2,2048,60,28,32.437
2,2048,64,8,26.9812
2,2048,64,12,30.0381
2,2048,64,16,35.2274
2,2048,64,20,34.1095
2,2048,64,24,36.1245
2,2048,64,28,35.2027
2,2048,64,32,38.6552
2,2048,68,8,26.3898
2,2048,68,12,30.7086
2,2048,68,16,33.139
2,2048,68,20,34.7734
2,2048,68,24,36.1608
2,2048,68,28,35.4681
2,2048,68,32,36.3977
2,2048,72,8,28.4989
2,2048,72,12,32.9095
2,2048,72,16,35.765
2,2048,72,20,37.1484
2,2048,72,24,38.5833
2,2048,72,28,38.1653
2,2048,72,32,39.1689
2,2048,72,36,41.3709
2,2048,76,8,28.6549
2,2048,76,12,32.7194
2,2048,76,16,37.2136
2,2048,76,20,38.7858
2,2048,76,24,37.4341
2,2048,76,28,39.3396
2,2048,76,32,40.1841
2,2048,76,36,39.7926
2,2048,80,8,29.9881
2,2048,80,12,34.2849
2,2048,80,16,39.2969
2,2048,80,20,40.7276
2,2048,80,24,39.2263
2,2048,80,28,40.69
2,2048,80,32,41.9878
2,2048,80,36,41.2398
2,2048,80,40,43.6952
2,2048,84,8,29.7558
2,2048,84,12,35.2538
2,2048,84,16,38.1348
2,2048,84,20,39.0354
2,2048,84,24,39.6275
2,2048,84,28,40.9825
2,2048,84,32,42.2966
2,2048,84,36,41.9663
2,2048,84,40,40.9933
2,2048,88,8,31.2132
2,2048,88,12,35.0599
2,2048,88,16,39.6092
2,2048,88,20,40.8532
2,2048,88,24,42.1742
2,2048,88,28,40.4294
2,2048,88,32,43.6441
2,2048,88,36,43.6647
2,2048,88,40,42.9518
2,2048,88,44,44.4463
2,2048,92,8,30.8728
2,2048,92,12,36.0184
2,2048,92,16,40.194
2,2048,92,20,41.2915
2,2048,92,24,42.1739
2,2048,92,28,41.2588
2,2048,92,32,43.7072
2,2048,92,36,43.8737
2,2048,92,40,43.1857
2,2048,92,44,42.1857
2,2048,96,8,31.694
2,2048,96,12,37.0623
2,2048,96,16,42.0842
2,2048,96,20,43.3134
2,2048,96,24,43.8863
2,2048,96,28,42.8483
2,2048,96,32,46.0948
2,2048,96,36,45.4656
2,2048,96,40,45.5535
2,2048,96,44,43.8508
2,2048,96,48,47.1044
2,2048,100,8,31.8029
2,2048,100,12,36.7817
2,2048,100,16,40.8155
2,2048,100,20,44.1288
2,2048,100,24,42.5247
2,2048,100,28,43.8418
2,2048,100,32,44.4631
2,2048,100,36,45.7853
2,2048,100,40,45.7973
2,2048,100,44,44.434
2,2048,100,48,45.065
2,2048,104,8,33.1426
2,2048,104,12,38.1938
2,2048,104,16,42.7317
2,2048,104,20,43.6896
2,2048,104,24,44.0712
2,2048,104,28,45.6597
2,2048,104,32,46.3857
2,2048,104,36,48.0675
2,2048,104,40,47.468
2,2048,104,44,46.2056
2,2048,104,48,46.9878
2,2048,104,52,48.4736
2,2048,108,8,32.9995
2,2048,108,12,39.0053
2,2048,108,16,42.9545
2,2048,108,20,44.1905
2,2048,108,24,44.6476
2,2048,108,28,45.8821
2,2048,108,32,46.605
2,2048,108,36,48.3444
2,2048,108,40,47.5282
2,2048,108,44,46.7336
2,2048,108,48,47.4647
2,2048,108,52,46.711
2,2048,112,8,33.4333
2,2048,112,12,38.2429
2,2048,112,16,44.0471
2,2048,112,20,45.1626
2,2048,112,24,45.7298
2,2048,112,28,46.3983
2,2048,112,32,47.705
2,2048,112,36,46.8218
2,2048,112,40,48.6454
2,2048,112,44,47.1252
2,2048,112,48,48.3248
2,2048,112,52,47.4322
2,2048,112,56,49.0105
2,2048,116,8,33.6242
2,2048,116,12,39.3061
2,2048,116,16,43.2285
2,2048,116,20,46.1098
2,2048,116,24,46.4956
2,2048,116,28,45.3388
2,2048,116,32,48.158
2,2048,116,36,47.5181
2,2048,116,40,48.894
2,2048,116,44,47.6342
2,2048,116,48,48.8513
2,2048,116,52,47.7449
2,2048,116,56,47.1416
2,2048,120,8,33.9818
2,2048,120,12,39.6692
2,2048,120,16,43.7908
2,2048,120,20,46.7384
2,2048,120,24,47.1379
2,2048,120,28,45.9555
2,2048,120,32,48.8666
2,2048,120,36,48.3831
2,2048,120,40,49.876
2,2048,120,44,48.7338
2,2048,120,48,49.3957
2,2048,120,52,49.1832
2,2048,120,56,48.1905
2,2048,120,60,48.9974
2,2048,124,8,34.0422
2,2048,124,12,39.4062
2,2048,124,16,44.8078
2,2048,124,20,45.8826
2,2048,124,24,46.2032
2,2048,124,28,47.1354
2,2048,124,32,49.5201
2,2048,124,36,49.5111
2,2048,124,40,48.7061
2,2048,124,44,49.3154
2,2048,124,48,50.0364
2,2048,124,52,49.6925
2,2048,124,56,48.6614
2,2048,124,60,47.5934
2,2048,128,8,34.4594
2,2048,128,12,39.9275
2,2048,128,16,45.483
2,2048,128,20,46.708
2,2048,128,24,46.9673
2,2048,128,28,47.9997
2,2048,128,32,50.3537
2,2048,128,36,50.3056
2,2048,128,40,49.6707
2,2048,128,44,50.5092
2,2048,128,48,51.3118
2,2048,128,52,50.8019
2,2048,128,56,50.5614
2,2048,128,60,49.2137
2,2048,128,64,51.2604
2,2048,132,8,34.808
2,2048,132,12,41.1483
2,2048,132,16,44.9395
2,2048,132,20,47.5876
2,2048,132,24,47.6348
2,2048,132,28,48.8038
2,2048,132,32,49.2801
2,2048,132,36,50.6717
2,2048,132,40,50.1569
2,2048,132,44,50.3883
2,2048,132,48,51.3548
2,2048,132,52,50.6453
2,2048,132,56,50.2664
2,2048,132,60,48.9325
2,2048,132,64,49.1553
2,2048,136,8,35.3734
2,2048,136,12,40.4025
2,2048,136,16,45.7033
2,2048,136,20,48.2489
2,2048,136,24,48.3305
2,2048,136,28,48.8488
2,2048,136,32,49.8339
2,2048,136,36,50.9574
2,2048,136,40,51.111
2,2048,136,44,48.9602
2,2048,136,48,51.7689
2,2048,136,52,51.5441
2,2048,136,56,50.529
2,2048,136,60,49.6737
2,2048,136,64,49.8225
2,2048,136,68,50.7502
2,2048,140,8,35.5828
2,2048,140,12,41.5367
2,2048,140,16,46.4457
2,2048,140,20,49.0348
2,2048,140,24,49.0419
2,2048,140,28,49.8383
2,2048,140,32,50.7661
2,2048,140,36,51.9741
2,2048,140,40,51.6648
2,2048,140,44,50.0359
2,2048,140,48,52.4329
2,2048,140,52,51.912
2,2048,140,56,50.8732
2,2048,140,60,50.3103
2,2048,140,64,50.1172
2,2048,140,68,49.526
2,2048,144,8,35.3566
2,2048,144,12,41.6201
2,2048,144,16,47.1257
2,2048,144,20,47.7384
2,2048,144,24,49.5217
2,2048,144,28,48.6657
2,2048,144,32,51.5718
2,2048,144,36,52.4562
2,2048,144,40,52.3448
2,2048,144,44,50.681
2,2048,144,48,53.6262
2,2048,144,52,52.7537
2,2048,144,56,52.1335
2,2048,144,60,50.8456
2,2048,144,64,51.589
2,2048,144,68,50.5337
2,2048,144,72,51.8205
2,2048,148,8,35.4608
2,2048,148,12,41.339
2,2048,148,16,46.1534
2,2048,148,20,48.4859
2,2048,148,24,48.5182
2,2048,148,28,49.3721
2,2048,148,32,52.1144
2,2048,148,36,51.5036
2,2048,148,40,52.8036
2,2048,148,44,51.7484
2,2048,148,48,52.1364
2,2048,148,52,53.209
2,2048,148,56,52.6207
2,2048,148,60,51.7463
2,2048,148,64,52.1687
2,2048,148,68,51.3263
2,2048,148,72,50.5568
2,2048,152,8,36.2073
2,2048,152,12,42.0246
2,2048,152,16,47.0065
2,2048,152,20,49.3471
2,2048,152,24,49.3011
2,2048,152,28,49.9933
2,2048,152,32,52.8088
2,2048,152,36,52.2044
2,2048,152,40,53.736
2,2048,152,44,52.409
2,2048,152,48,53.057
2,2048,152,52,54.0323
2,2048,152,56,53.2291
2,2048,152,60,52.4976
2,2048,152,64,52.3797
2,2048,152,68,52.1189
2,2048,152,72,51.1195
2,2048,152,76,51.8841
2,2048,156,8,35.4817
2,2048,156,12,41.9754
2,2048,156,16,46.7671
2,2048,156,20,49.0783
2,2048,156,24,48.8872
2,2048,156,28,49.709
2,2048,156,32,51.7026
2,2048,156,36,51.5128
2,2048,156,40,52.8836
2,2048,156,44,51.5109
2,2048,156,48,52.1744
2,2048,156,52,52.958
2,2048,156,56,52.1027
2,2048,156,60,51.4548
2,2048,156,64,51.6989
2,2048,156,68,51.1022
2,2048,156,72,50.3252
2,2048,156,76,49.0831
2,2048,160,8,36.2952
2,2048,160,12,41.8911
2,2048,160,16,48.368
2,2048,160,20,50.4551
2,2048,160,24,50.5372
2,2048,160,28,51.3389
2,2048,160,32,53.7188
2,2048,160,36,53.4615
2,2048,160,40,54.8462
2,2048,160,44,53.5869
2,2048,160,48,54.232
2,2048,160,52,52.8245
2,2048,160,56,54.2886
2,2048,160,60,53.3887
2,2048,160,64,53.8025
2,2048,160,68,52.8529
2,2048,160,72,52.4984
2,2048,160,76,51.0885
2,2048,160,80,53.1809
2,2048,164,8,36.1597
2,2048,164,12,42.8273
2,2048,164,16,47.3385
2,2048,164,20,49.3608
2,2048,164,24,50.767
2,2048,164,28,51.4519
2,2048,164,32,52.3207
2,2048,164,36,53.4452
2,2048,164,40,52.8785
2,2048,164,44,53.2418
2,2048,164,48,54.1313
2,2048,164,52,52.9934
2,2048,164,56,53.728
