threads,size,nb,ib,Time_sec,GFlops
1,2048,32,8,1.30283e-05,10.06056047220282
1,2048,32,12,1.17042e-05,11.19871499119974
1,2048,32,16,1.02195e-05,12.825676402955136
1,2048,36,8,1.83428e-05,10.174237302919947
1,2048,36,12,1.44938e-05,12.876126343677987
1,2048,36,16,1.46002e-05,12.78229065355269
1,2048,40,8,2.12074e-05,12.07125814574158
1,2048,40,12,1.95908e-05,13.067358147701983
1,2048,40,16,1.69379e-05,15.114034207310235
1,2048,40,20,1.52081e-05,16.83313497412563
1,2048,44,8,2.81652e-05,12.097766037521481
1,2048,44,12,2.32184e-05,14.675257554353443
1,2048,44,16,2.0686e-05,16.47181668761481
1,2048,44,20,2.11158e-05,16.136542304814405
1,2048,48,8,3.15113e-05,14.03839257663124
1,2048,48,12,2.68382e-05,16.482774552689822
1,2048,48,16,2.34939e-05,18.829057755417367
1,2048,48,20,2.41487e-05,18.31850161706427
1,2048,48,24,2.26286e-05,19.549066225926484
1,2048,52,8,4.06266e-05,13.84393476195399
1,2048,52,12,3.54357e-05,15.87190319367192
1,2048,52,16,3.13436e-05,17.94407789788027
1,2048,52,20,2.90529e-05,19.35889360442503
1,2048,52,24,3.02733e-05,18.578483350014697
1,2048,56,8,4.59615e-05,15.283748354601135
1,2048,56,12,3.98781e-05,17.615282573643178
1,2048,56,16,3.53749e-05,19.8576957108006
1,2048,56,20,3.26987e-05,21.482933572282693
1,2048,56,24,3.47951e-05,20.18858977269788
1,2048,56,28,3.17561e-05,22.120600451566787
1,2048,60,8,5.81234e-05,14.864925314073162
1,2048,60,12,4.63385e-05,18.645402850761247
1,2048,60,16,4.2197e-05,20.475389245680972
1,2048,60,20,3.87896e-05,22.27401159073566
1,2048,60,24,4.11542e-05,20.994212012382697
1,2048,60,28,4.17648e-05,20.687277324445468
1,2048,64,8,6.67614e-05,15.706321317407964
1,2048,64,12,5.81496e-05,18.032385433433763
1,2048,64,16,4.84481e-05,21.643284256761362
1,2048,64,20,4.84781e-05,21.629890610399332
1,2048,64,24,4.62643e-05,22.664905769675542
1,2048,64,28,4.68383e-05,22.387148978506904
1,2048,64,32,4.22897e-05,24.79506830268363
1,2048,68,8,7.91579e-05,15.888850007390293
1,2048,68,12,6.4605e-05,19.46796687562882
1,2048,68,16,5.93056e-05,21.20757567582151
1,2048,68,20,5.60692e-05,22.431709387685213
1,2048,68,24,5.37252e-05,23.41039214372399
1,2048,68,28,5.46854e-05,22.999338031723273
1,2048,68,32,5.39413e-05,23.316605272768733
1,2048,72,8,8.71438e-05,17.132509713829325
1,2048,72,12,7.24623e-05,20.60370703110445
1,2048,72,16,6.585e-05,22.67261958997722
1,2048,72,20,6.23108e-05,23.96040493782779
1,2048,72,24,5.99093e-05,24.920872051584645
1,2048,72,28,5.94889e-05,25.09698447945751
1,2048,72,32,5.90598e-05,25.279327054951086
1,2048,72,36,5.76072e-05,25.916760404949382
1,2048,76,8,0.000102187,17.183242486813388
1,2048,76,12,8.7328e-05,20.106998900696226
1,2048,76,16,7.51524e-05,23.364576513857173
1,2048,76,20,7.17326e-05,24.47846585792234
1,2048,76,24,7.44616e-05,23.581335883193482
1,2048,76,28,6.89238e-05,25.4760184435565
1,2048,76,32,6.83982e-05,25.67178668444491
1,2048,76,36,6.92657e-05,25.35026715964756
1,2048,80,8,0.000113297,18.07638331112033
1,2048,80,12,9.7455e-05,21.01482735621569
1,2048,80,16,8.29287e-05,24.69591347748126
1,2048,80,20,7.79823e-05,26.262369794171242
1,2048,80,24,8.20438e-05,24.962276247565324
1,2048,80,28,7.77458e-05,26.342259003058686
1,2048,80,32,7.65858e-05,26.74124968336167
1,2048,80,36,7.64428e-05,26.79127399833601
1,2048,80,40,7.14952e-05,28.645279683111593
1,2048,84,8,0.000135403,17.509331403292393
1,2048,84,12,0.000109892,21.57405452626215
1,2048,84,16,0.000100191,23.662963739258014
1,2048,84,20,9.59275e-05,24.71466472075265
1,2048,84,24,9.42636e-05,25.15091721512864
1,2048,84,28,8.83989e-05,26.81951924741145
1,2048,84,32,8.87397e-05,26.716520339825355
1,2048,84,36,8.7624e-05,27.056696795398523
1,2048,84,40,8.89393e-05,26.65656239705057
1,2048,88,8,0.000144053,18.922813131278073
1,2048,88,12,0.000124929,21.819497474565555
1,2048,88,16,0.000110134,24.750649209145223
1,2048,88,20,0.000104578,26.065596970682172
1,2048,88,24,0.000101779,26.782420735122177
1,2048,88,28,0.000104194,26.16165998042114
1,2048,88,32,9.4812e-05,28.750453529089146
1,2048,88,36,9.52356e-05,28.622573911436483
1,2048,88,40,9.70174e-05,28.096898082199687
