threads,size,nb,ib,GFlops
8,2048,32,8,31.5978
8,2048,32,12,34.781
8,2048,32,16,40.1145
8,2048,36,8,32.8883
8,2048,36,12,40.2218
8,2048,36,16,40.4926
8,2048,40,8,37.9314
8,2048,40,12,40.8653
8,2048,40,16,44.9242
8,2048,40,20,49.3348
8,2048,44,8,38.4323
8,2048,44,12,44.1846
8,2048,44,16,48.1606
8,2048,44,20,47.7785
8,2048,48,8,44.1445
8,2048,48,12,49.7844
8,2048,48,16,53.9103
8,2048,48,20,53.7762
8,2048,48,24,56.8131
8,2048,52,8,44.506
8,2048,52,12,49.4934
8,2048,52,16,53.2845
8,2048,52,20,55.8199
8,2048,52,24,55.0582
8,2048,56,8,49.0581
8,2048,56,12,54.134
8,2048,56,16,58.1691
8,2048,56,20,61.2521
8,2048,56,24,59.8173
8,2048,56,28,62.9337
8,2048,60,8,48.9303
8,2048,60,12,56.6371
8,2048,60,16,60.4572
8,2048,60,20,63.3211
8,2048,60,24,61.7496
8,2048,60,28,60.4345
8,2048,64,8,54.7753
8,2048,64,12,58.8905
8,2048,64,16,65.7819
8,2048,64,20,64.6318
8,2048,64,24,67.3132
8,2048,64,28,66.541
8,2048,64,32,69.5089
8,2048,68,8,53.3722
8,2048,68,12,60.5795
8,2048,68,16,63.7469
8,2048,68,20,66.021
8,2048,68,24,67.9007
8,2048,68,28,66.7026
8,2048,68,32,67.0563
8,2048,72,8,57.5543
8,2048,72,12,64.9262
8,2048,72,16,68.0864
8,2048,72,20,69.8624
8,2048,72,24,72.2093
8,2048,72,28,71.8272
8,2048,72,32,71.6315
8,2048,72,36,74.6108
8,2048,76,8,58.246
8,2048,76,12,65.418
8,2048,76,16,70.1681
8,2048,76,20,71.4892
8,2048,76,24,69.7289
8,2048,76,28,60.5936
8,2048,76,32,73.176
8,2048,76,36,73.1115
8,2048,80,8,61.1438
8,2048,80,12,68.6035
8,2048,80,16,73.956
8,2048,80,20,75.8285
8,2048,80,24,73.8328
8,2048,80,28,76.6561
8,2048,80,32,77.2273
8,2048,80,36,75.8905
8,2048,80,40,79.2092
8,2048,84,8,59.6264
8,2048,84,12,69.6679
8,2048,84,16,73.0731
8,2048,84,20,74.8421
8,2048,84,24,75.425
8,2048,84,28,76.8776
8,2048,84,32,77.6336
8,2048,84,36,77.2943
8,2048,84,40,76.6227
8,2048,88,8,62.8424
8,2048,88,12,68.482
8,2048,88,16,75.4209
8,2048,88,20,78.0294
8,2048,88,24,78.4709
8,2048,88,28,76.259
8,2048,88,32,79.6548
8,2048,88,36,79.4575
8,2048,88,40,76.8447
8,2048,88,44,81.4542
8,2048,92,8,62.6238
8,2048,92,12,70.8046
8,2048,92,16,77.0501
8,2048,92,20,77.5313
8,2048,92,24,79.5929
8,2048,92,28,77.6585
8,2048,92,32,81.5675
8,2048,92,36,81.6368
8,2048,92,40,80.0588
