threads,size,nb,ib,Time_sec,GFlops
1,8192,32,8,1.30001e-05,10.08238398166168
1,8192,32,12,1.16935e-05,11.208962243981698
1,8192,32,16,9.5065e-06,13.787618997528007
1,8192,36,8,1.77427e-05,10.518354027290098
1,8192,36,12,1.42628e-05,13.08466780716269
1,8192,36,16,1.43856e-05,12.972972972972974
1,8192,40,8,2.04083e-05,12.543915955763097
1,8192,40,12,1.90599e-05,13.431340143442515
1,8192,40,16,1.6555e-05,15.46360616128058
1,8192,40,20,1.46895e-05,17.42741413935124
1,8192,44,8,2.67213e-05,12.751475414744043
1,8192,44,12,2.24485e-05,15.178564269327572
1,8192,44,16,1.97481e-05,17.254115585803188
1,8192,44,20,2.02632e-05,16.81550791582771
1,8192,48,8,2.99187e-05,14.785669163432903
1,8192,48,12,2.58111e-05,17.13867289654451
1,8192,48,16,2.25943e-05,19.57874331136614
1,8192,48,20,2.29976e-05,19.23539847636275
1,8192,48,24,2.1372e-05,20.69848399775407
1,8192,52,8,3.79209e-05,14.831715491984632
1,8192,52,12,3.30007e-05,17.043032420524415
1,8192,52,16,2.98031e-05,18.871593894594856
1,8192,52,20,2.79359e-05,20.132947211294425
1,8192,52,24,2.84988e-05,19.735287099807714
1,8192,56,8,4.30176e-05,16.329688313620473
1,8192,56,12,3.72344e-05,18.865994886449094
1,8192,56,16,3.37312e-05,20.825348638649086
1,8192,56,20,3.09162e-05,22.72155051397002
1,8192,56,24,3.24062e-05,21.676839617110307
1,8192,56,28,2.98584e-05,23.52651180237387
1,8192,60,8,5.43114e-05,15.908262353759984
1,8192,60,12,4.35667e-05,19.831660419540615
1,8192,60,16,4.07748e-05,21.189558256570233
1,8192,60,20,3.64584e-05,23.69824238035679
1,8192,60,24,3.84351e-05,22.47945237556296
1,8192,60,28,3.88672e-05,22.229540589494484
1,8192,64,8,6.20827e-05,16.889987065639865
1,8192,64,12,5.32172e-05,19.703704817239537
1,8192,64,16,4.52389e-05,23.178636085315958
1,8192,64,20,4.52332e-05,23.18155690952663
1,8192,64,24,4.3786e-05,23.947745854839447
1,8192,64,28,4.32691e-05,24.233829684463046
1,8192,64,32,3.93832e-05,26.62495683438624
1,8192,68,8,7.24585e-05,17.35790831993486
1,8192,68,12,6.06788e-05,20.72763469284165
1,8192,68,16,5.54329e-05,22.689197209599353
1,8192,68,20,5.20186e-05,24.17842848519568
1,8192,68,24,4.95438e-05,25.386183538606243
1,8192,68,28,5.09123e-05,24.70381420599737
1,8192,68,32,4.94875e-05,25.415064410204597
1,8192,72,8,7.95685e-05,18.763606200946352
1,8192,72,12,6.71691e-05,22.227363475169383
1,8192,72,16,6.12507e-05,24.375101019253655
1,8192,72,20,5.75214e-05,25.95541833126454
1,8192,72,24,5.51597e-05,27.066717186641696
1,8192,72,28,5.53399e-05,26.97858145750173
1,8192,72,32,5.7343e-05,26.036168320457595
1,8192,72,36,5.3845e-05,27.727588448323896
1,8192,76,8,9.51643e-05,18.451288981267133
1,8192,76,12,8.14475e-05,21.558721876055127
1,8192,76,16,7.00394e-05,25.070231898045957
1,8192,76,20,6.62004e-05,26.524069340970748
1,8192,76,24,6.89231e-05,25.476277184282193
1,8192,76,28,6.35609e-05,27.625537083332677
1,8192,76,32,6.31075e-05,27.824014578298936
1,8192,76,36,6.44304e-05,27.252725421540138
1,8192,80,8,0.000104653,19.569434225488042
1,8192,80,12,8.94189e-05,22.903435403477342
1,8192,80,16,7.71146e-05,26.557876199837647
1,8192,80,20,7.19955e-05,28.44622233334028
1,8192,80,24,7.5368e-05,27.173336163889182
