threads,size,nb,ib,GFlops
8,8192,32,8,33.6058
8,8192,32,16,45.0133
8,8192,40,8,43.2977
8,8192,40,16,54.2346
8,8192,48,8,51.4737
8,8192,48,16,68.9498
8,8192,48,24,75.0548
8,8192,56,8,57.2399
8,8192,56,16,73.2297
8,8192,56,24,78.2113
8,8192,64,8,62.7428
8,8192,64,16,84.5157
8,8192,64,24,89.3985
8,8192,64,32,96.8774
8,8192,72,8,67.4303
8,8192,72,16,86.9468
8,8192,72,24,97.3088
8,8192,72,32,97.1889
8,8192,80,8,70.6493
8,8192,80,16,94.8893
8,8192,80,24,96.9785
8,8192,80,32,104.264
8,8192,80,40,110.9972
8,8192,88,8,73.912
8,8192,88,16,95.8858
8,8192,88,24,104.0219
8,8192,88,32,109.1345
8,8192,88,40,108.9756
8,8192,96,8,75.8749
8,8192,96,16,102.1307
8,8192,96,24,109.6785
8,8192,96,32,115.9386
8,8192,96,40,115.8958
8,8192,96,48,122.1263
8,8192,104,8,78.0609
8,8192,104,16,102.0206
8,8192,104,24,109.0791
8,8192,104,32,115.0754
8,8192,104,40,120.4735
8,8192,104,48,119.7625
8,8192,112,8,79.6106
8,8192,112,16,107.0858
8,8192,112,24,113.4445
8,8192,112,32,118.6254
8,8192,112,40,123.77
8,8192,112,48,123.5188
8,8192,112,56,128.1978
8,8192,120,8,81.3563
8,8192,120,16,106.7774
8,8192,120,24,118.1111
8,8192,120,32,123.3522
8,8192,120,40,128.0056
8,8192,120,48,127.5542
8,8192,120,56,125.5687
8,8192,128,8,81.5272
8,8192,128,16,110.2956
8,8192,128,24,115.9987
8,8192,128,32,126.6225
8,8192,128,40,125.0331
8,8192,128,48,131.0944
8,8192,128,56,129.9851
8,8192,128,64,134.6052
8,8192,136,8,83.9038
8,8192,136,16,111.3951
8,8192,136,24,120.9207
8,8192,136,32,126.4518
8,8192,136,40,129.5583
8,8192,136,48,133.9052
8,8192,136,56,132.1001
8,8192,136,64,131.1665
8,8192,144,8,85.3168
8,8192,144,16,115.5501
8,8192,144,24,124.6413
8,8192,144,32,130.8049
8,8192,144,40,133.0107
8,8192,144,48,138.1555
8,8192,144,56,135.9461
8,8192,144,64,135.0299
8,8192,144,72,138.2562
8,8192,152,8,86.7207
8,8192,152,16,115.297
8,8192,152,24,123.3566
8,8192,152,32,132.6479
8,8192,152,40,135.8808
8,8192,152,48,135.002
8,8192,152,56,138.2562
8,8192,152,64,137.2199
8,8192,152,72,135.3588
8,8192,160,8,87.2028
8,8192,160,16,118.1318
8,8192,160,24,126.2467
8,8192,160,32,135.3999
8,8192,160,40,137.4867
8,8192,160,48,137.2114
8,8192,160,56,139.4988
8,8192,160,64,137.1275
8,8192,160,72,135.9784
8,8192,160,80,141.022
8,8192,168,8,88.4998
8,8192,168,16,117.4652
8,8192,168,24,128.4758
8,8192,168,32,133.8738
8,8192,168,40,135.546
8,8192,168,48,139.2802
8,8192,168,56,141.395
8,8192,168,64,139.7918
8,8192,168,72,138.856
8,8192,168,80,136.961
8,8192,176,8,89.3646
8,8192,176,16,120.959
8,8192,176,24,127.1752
8,8192,176,32,136.7205
8,8192,176,40,138.3555
8,8192,176,48,141.8718
8,8192,176,56,137.8724
8,8192,176,64,143.0505
8,8192,176,72,141.3874
8,8192,176,80,139.6739
8,8192,176,88,141.7109
8,8192,184,8,90.5098
8,8192,184,16,119.9503
8,8192,184,24,130.0542
8,8192,184,32,138.5079
8,8192,184,40,139.8483
8,8192,184,48,143.2791
8,8192,184,56,140.4961
8,8192,184,64,144.4096
8,8192,184,72,142.7577
8,8192,184,80,140.9145
8,8192,184,88,139.01
8,8192,192,8,89.8927
8,8192,192,16,120.7515
8,8192,192,24,130.9201
8,8192,192,32,139.5931
8,8192,192,40,141.0769
8,8192,192,48,144.8341
8,8192,192,56,141.3203
8,8192,192,64,146.1502
8,8192,192,72,144.2156
8,8192,192,80,143.0461
8,8192,192,88,140.871
8,8192,192,96,144.427
8,8192,200,8,91.4988
8,8192,200,16,120.1981
8,8192,200,24,129.2226
8,8192,200,32,136.7515
8,8192,200,40,141.9196
8,8192,200,48,140.5847
8,8192,200,56,142.6829
8,8192,200,64,142.129
8,8192,200,72,145.7001
8,8192,200,80,144.9779
8,8192,200,88,141.4334
8,8192,200,96,139.8176
8,8192,208,8,91.591
