threads,size,nb,ib,Time_sec,GFlops
1,4096,32,8,1.29472e-05,10.123578843302028
1,4096,32,12,1.10357e-05,11.877089808530497
1,4096,32,16,9.54812e-06,13.727519134656873
1,4096,36,8,1.77494e-05,10.514383584797233
1,4096,36,12,1.35301e-05,13.79324616965137
1,4096,36,16,1.40068e-05,13.323814147414113
1,4096,40,8,2.11035e-05,12.130689222166941
1,4096,40,12,1.90918e-05,13.408898060947632
1,4096,40,16,1.64141e-05,15.596347043091
1,4096,40,20,1.46835e-05,17.434535362822217
1,4096,44,8,2.69886e-05,12.6251824844564
1,4096,44,12,2.23939e-05,15.215572097758766
1,4096,44,16,1.98452e-05,17.169693427125953
1,4096,44,20,2.02662e-05,16.81301872082581
1,4096,48,8,3.01425e-05,14.675889524757402
1,4096,48,12,2.55644e-05,17.30406346325359
1,4096,48,16,2.24123e-05,19.737733298233557
1,4096,48,20,2.30104e-05,19.224698397246463
1,4096,48,24,2.11955e-05,20.87084522658111
1,4096,52,8,5.10594e-05,11.015248906175943
1,4096,52,12,3.32639e-05,16.908179738395077
1,4096,52,16,3.04959e-05,18.442872648454383
1,4096,52,20,2.75012e-05,20.451180312131836
1,4096,52,24,2.84003e-05,19.80373446759365
1,4096,56,8,4.56711e-05,15.38093017247231
1,4096,56,12,3.74729e-05,18.745920385131658
1,4096,56,16,3.36085e-05,20.901379115402353
1,4096,56,20,3.12034e-05,22.512418518494776
1,4096,56,24,3.23784e-05,21.69545128851333
1,4096,56,28,2.97767e-05,23.59106281085547
1,4096,60,8,5.56605e-05,15.522677661896678
1,4096,60,12,4.44829e-05,19.423194081321135
1,4096,60,16,3.96589e-05,21.785778223803483
1,4096,60,20,3.6719e-05,23.530052561344267
1,4096,60,24,3.82306e-05,22.59969762441604
1,4096,60,28,3.90924e-05,22.101482641127177
1,4096,64,8,6.21466e-05,16.872620545613117
1,4096,64,12,5.29044e-05,19.820203990594358
1,4096,64,16,4.5195e-05,23.201150569753292
1,4096,64,20,4.49716e-05,23.316404130606873
1,4096,64,24,4.3034e-05,24.366222056978202
1,4096,64,28,4.40104e-05,23.825641212077144
1,4096,64,32,3.98476e-05,26.314658850219335
1,4096,68,8,7.2855e-05,17.263441081600437
1,4096,68,12,6.09427e-05,20.637877875446932
1,4096,68,16,5.53749e-05,22.712962009863674
1,4096,68,20,5.18581e-05,24.253260339271975
1,4096,68,24,4.95787e-05,25.368313408782402
1,4096,68,28,5.04001e-05,24.954871121287457
1,4096,68,32,4.95879e-05,25.363606847638234
1,4096,72,8,7.99609e-05,18.67152570818988
1,4096,72,12,6.7474e-05,22.126922962919053
1,4096,72,16,6.13268e-05,24.34485412576557
1,4096,72,20,6.17411e-05,24.18149336503561
1,4096,72,24,5.50275e-05,27.13174321929944
1,4096,72,28,5.54069e-05,26.94595799440142
1,4096,72,32,5.45957e-05,27.34632947283394
1,4096,72,36,5.1574e-05,28.948539961996357
1,4096,76,8,9.67199e-05,18.154526627922486
1,4096,76,12,8.17387e-05,21.481917378181937
1,4096,76,16,7.02952e-05,24.979002833763897
1,4096,76,20,6.65024e-05,26.40361851602348
1,4096,76,24,6.87943e-05,25.523975096774006
1,4096,76,28,6.37447e-05,27.54588224589652
1,4096,76,32,6.34593e-05,27.669766291150392
1,4096,76,36,6.46443e-05,27.162549520994123
1,4096,80,8,0.000105359,19.438301426551124
1,4096,80,12,8.91284e-05,22.978085548489595
1,4096,80,16,7.62723e-05,26.85116352856804
1,4096,80,20,7.22945e-05,28.328572713000298
1,4096,80,24,7.60066e-05,26.94502845805496
1,4096,80,28,7.12854e-05,28.729585581339236
1,4096,80,32,7.00366e-05,29.241853545146395
1,4096,80,36,7.03702e-05,29.103228355184438
1,4096,80,40,6.5739e-05,31.15350096594107
1,4096,84,8,0.000124199,19.0888493466131
1,4096,84,12,0.000102613,23.10444095777338
1,4096,84,16,9.38721e-05,25.25581083197244
1,4096,84,20,8.84808e-05,26.794694442184067
1,4096,84,24,8.92136e-05,26.574602975331114
1,4096,84,28,8.47151e-05,27.985754605731444
1,4096,84,32,7.95742e-05,29.793777380105613
1,4096,84,36,8.09949e-05,29.271176333324693
1,4096,84,40,8.3387e-05,28.43148212551117
1,4096,88,8,0.00014998,18.17501000133351
1,4096,88,12,0.000119208,22.866653244748672
1,4096,88,16,0.000102349,26.633264614212155
1,4096,88,20,9.80929e-05,27.788840986452637
1,4096,88,24,9.61203e-05,28.359129132971912
1,4096,88,28,9.89549e-05,27.546771306928715
1,4096,88,32,8.74045e-05,31.187044145324325
1,4096,88,36,9.20888e-05,29.600646332670205
1,4096,88,40,8.99591e-05,30.301414754038223
1,4096,88,44,8.61857e-05,31.628077511698578
1,4096,92,8,0.000156926,19.848540076214267
1,4096,92,12,0.000131796,23.633129988770524
1,4096,92,16,0.000115443,26.980865015635423
1,4096,92,20,0.000109361,28.481378187836615
1,4096,92,24,0.000109271,28.504836598914622
1,4096,92,28,0.000108747,28.642187830468888
1,4096,92,32,0.000101899,30.567051688436592
1,4096,92,36,0.000103476,30.10120221114075
1,4096,92,40,0.000106194,29.330771983351227
1,4096,92,44,0.000105023,29.657808289612753
1,4096,96,8,0.000170918,20.7055079043752
1,4096,96,12,0.000141917,24.936716531493758
1,4096,96,16,0.000127667,27.72011561327516
1,4096,96,20,0.000118003,29.99028838249875
1,4096,96,24,0.000118336,29.90589507842077
1,4096,96,28,0.000122742,28.83238011438627
1,4096,96,32,0.000111959,31.60928554202878
1,4096,96,36,0.000109151,32.42246062793745
1,4096,96,40,0.000111351,31.78187892340437
1,4096,96,44,0.000116204,30.45457987676844
1,4096,96,48,0.000105347,33.59321100743258
1,4096,100,8,0.000197551,20.247935976026444
1,4096,100,12,0.000170012,23.527750982283603
1,4096,100,16,0.000147672,27.087057803781352
1,4096,100,20,0.000132717,30.139319002087145
1,4096,100,24,0.000138713,28.83651856711339
