threads,size,nb,ib,Time_sec,GFlops
1,4096,32,8,7.39552e-06,17.723162130587166
1,4096,32,12,7.00576e-06,18.70917644909332
1,4096,32,16,6.30366e-06,20.792999622441567
1,4096,36,8,1.01294e-05,18.423993523802
1,4096,36,12,8.64144e-06,21.596400599900015
1,4096,36,16,9.11976e-06,20.463696413063502
1,4096,40,8,1.41524e-05,18.088804725700232
1,4096,40,12,1.09368e-05,23.40721234730451
1,4096,40,16,1.01663e-05,25.181236044578657
1,4096,40,20,9.49906e-06,26.950035056100283
1,4096,44,8,1.53809e-05,22.153189995383883
1,4096,44,12,1.36082e-05,25.039020590526302
1,4096,44,16,1.27932e-05,26.63414939186443
1,4096,44,20,1.2977e-05,26.256916082299455
1,4096,48,8,1.69431e-05,26.109035536590113
1,4096,48,12,1.51928e-05,29.11695013427413
1,4096,48,16,1.3934e-05,31.747380508109657
1,4096,48,20,1.42875e-05,30.961889763779524
1,4096,48,24,1.36214e-05,32.475956950093234
1,4096,52,8,2.20372e-05,25.52193563610622
1,4096,52,12,2.06853e-05,27.189936815032897
1,4096,52,16,1.87649e-05,29.972555142846485
1,4096,52,20,1.7991e-05,31.261853148796618
1,4096,52,24,1.91526e-05,29.365830226705512
1,4096,56,8,2.45997e-05,28.55579539587881
1,4096,56,12,2.22937e-05,31.509529598047877
1,4096,56,16,2.07146e-05,33.91154065248665
1,4096,56,20,1.97435e-05,35.57950717957809
1,4096,56,24,2.16952e-05,32.37877502857775
1,4096,56,28,2.10977e-05,33.29576209729023
1,4096,60,8,3.21306e-05,26.890254150249294
1,4096,60,12,2.71436e-05,31.830707791155188
1,4096,60,16,2.5505e-05,33.875710644971576
1,4096,60,20,2.42165e-05,35.67815332521215
1,4096,60,24,2.57755e-05,33.52020329382553
1,4096,60,28,2.64758e-05,32.633574811714844
1,4096,64,8,3.34253e-05,31.370728161003793
1,4096,64,12,3.05689e-05,34.30205208561643
1,4096,64,16,2.74246e-05,38.23486942380199
1,4096,64,20,3.13598e-05,33.436947939719005
1,4096,64,24,2.85771e-05,36.692876464021886
1,4096,64,28,2.96495e-05,35.3657228621056
1,4096,64,32,2.71801e-05,38.57881317581613
1,4096,68,8,4.13241e-05,30.435702168952258
1,4096,68,12,3.66331e-05,34.333103122585854
1,4096,68,16,3.46886e-05,36.25767543227458
1,4096,68,20,3.64646e-05,34.49175364600187
1,4096,68,24,3.50028e-05,35.932211137394724
1,4096,68,28,3.4661e-05,36.286546839387206
1,4096,68,32,3.34323e-05,37.62014578715793
1,4096,72,8,4.54068e-05,32.88036153175295
1,4096,72,12,3.96107e-05,37.69163382621363
1,4096,72,16,3.7436e-05,39.88118388716744
1,4096,72,20,4.06482e-05,36.729596882518784
1,4096,72,24,3.84851e-05,38.79402677919506
1,4096,72,28,3.89873e-05,38.29431635429999
1,4096,72,32,3.75412e-05,39.769426656579974
1,4096,72,36,3.67695e-05,40.604087626973445
1,4096,76,8,5.53649e-05,31.7151119210908
1,4096,76,12,4.96485e-05,35.36670795693727
1,4096,76,16,4.90198e-05,35.82030118441936
1,4096,76,20,4.85158e-05,36.192415666648806
1,4096,76,24,4.70773e-05,37.29831574877914
1,4096,76,28,4.639e-05,37.850916145721065
1,4096,76,32,4.37332e-05,40.150366312092416
1,4096,76,36,4.49165e-05,39.09262743089956
1,4096,80,8,5.93095e-05,34.530724420202496
1,4096,80,12,5.31531e-05,38.53020802173344
1,4096,80,16,5.50136e-05,37.227158375383546
1,4096,80,20,5.3629e-05,38.18829364709393
1,4096,80,24,5.20689e-05,39.33249982235077
1,4096,80,28,5.14165e-05,39.83157157721743
1,4096,80,32,4.96423e-05,41.2551392663112
1,4096,80,36,4.96972e-05,41.20956512640551
1,4096,80,40,4.82315e-05,42.461876574437866
1,4096,84,8,7.09789e-05,33.40170106890921
1,4096,84,12,6.2563e-05,37.894857983152974
1,4096,84,16,6.50517e-05,36.44510443232075
1,4096,84,20,6.36411e-05,37.25290731932666
1,4096,84,24,5.91426e-05,40.086435158413735
1,4096,84,28,5.87014e-05,40.38772499463386
1,4096,84,32,5.72965e-05,41.37802483572295
1,4096,84,36,5.65656e-05,41.91268191268192
1,4096,84,40,5.67575e-05,41.77097299916311
1,4096,88,8,7.63576e-05,35.69897429987323
1,4096,88,12,6.96221e-05,39.152625387628355
1,4096,88,16,7.1585e-05,38.079038904798495
1,4096,88,20,7.05989e-05,38.61091320119719
1,4096,88,24,6.68547e-05,40.773318854171805
1,4096,88,28,6.81475e-05,39.99982391136872
1,4096,88,32,6.32435e-05,43.10147287863575
1,4096,88,36,6.44694e-05,42.28188877203759
1,4096,88,40,6.28021e-05,43.40440845130975
1,4096,88,44,6.20809e-05,43.90864178837614
1,4096,92,8,9.16389e-05,33.98940842808022
1,4096,92,12,8.0849e-05,38.52554762582098
1,4096,92,16,8.25498e-05,37.731793414399554
1,4096,92,20,7.98553e-05,39.004950203680906
1,4096,92,24,7.71498e-05,40.37278126450101
1,4096,92,28,7.67573e-05,40.57922829489833
1,4096,92,32,7.29716e-05,42.68444161838304
1,4096,92,36,7.40667e-05,42.0533384098387
1,4096,92,40,7.17613e-05,43.404341894586636
1,4096,92,44,7.2862e-05,42.7486481293404
1,4096,96,8,9.60664e-05,36.838520023650304
1,4096,96,12,8.55344e-05,41.374511307731154
1,4096,96,16,9.00483e-05,39.30050872698318
1,4096,96,20,8.85697e-05,39.95659915298347
1,4096,96,24,8.3073e-05,42.6004116861074
1,4096,96,28,8.28247e-05,42.72812337382448
1,4096,96,32,7.80914e-05,45.31797355406613
1,4096,96,36,8.03609e-05,44.03813297262724
1,4096,96,40,7.95219e-05,44.50275961716207
1,4096,96,44,8.009e-05,44.18708952428518
1,4096,96,48,7.52665e-05,47.01884636591313
1,4096,100,8,0.000110782,36.10694878229315
1,4096,100,12,0.000101728,39.320541050644856
1,4096,100,16,0.000104965,38.107940742152145
1,4096,100,20,0.000102299,39.10106648158829
1,4096,100,24,9.68992e-05,41.28001056768271
1,4096,100,28,9.66467e-05,41.38785907847862
1,4096,100,32,9.10792e-05,43.91782097339458
1,4096,100,36,9.18806e-05,43.53476141862374
1,4096,100,40,9.00786e-05,44.40566349832258
1,4096,100,44,9.06532e-05,44.124200800413
1,4096,100,48,8.79844e-05,45.462604734475654
1,4096,104,8,0.000119529,37.6432162906073
1,4096,104,12,0.000132184,34.03933910306845
1,4096,104,16,0.000113165,39.760137851809304
1,4096,104,20,0.000111913,40.204944912566006
1,4096,104,24,0.00010523,42.75830086477241
1,4096,104,28,0.00010568,42.57623012869038
1,4096,104,32,9.96986e-05,45.13058357890683
1,4096,104,36,9.82157e-05,45.811983216532596
1,4096,104,40,9.98377e-05,45.067704885028405
1,4096,104,44,0.00010064,44.70842607313196
1,4096,104,48,9.70248e-05,46.37428781095142
1,4096,104,52,9.55508e-05,47.089673765159475
1,4096,108,8,0.000138941,36.26609855982035
1,4096,108,12,0.000151828,33.18787048502252
1,4096,108,16,0.000130533,38.602100618234466
1,4096,108,20,0.000125567,40.12875994488998
1,4096,108,24,0.000120994,41.645436963816394
1,4096,108,28,0.000117816,42.768792014666936
1,4096,108,32,0.000115627,43.578472156157304
1,4096,108,36,0.000110974,45.40566258763314
1,4096,108,40,0.000110534,45.586407802124235
1,4096,108,44,0.000112151,44.92914017708268
1,4096,108,48,0.000110004,45.80604341660303
1,4096,108,52,0.000109842,45.87360026219479
1,4096,112,8,0.000147198,38.17791002595144
1,4096,112,12,0.00016621,33.81091390409723
1,4096,112,16,0.000139109,40.39790380205451
1,4096,112,20,0.000139909,40.166908490518836
1,4096,112,24,0.000130156,43.17674175604658
1,4096,112,28,0.000128366,43.77881993674337
1,4096,112,32,0.00012373,45.41915461084619
1,4096,112,36,0.000124069,45.29505355890674
1,4096,112,40,0.000119761,46.924391078898815
1,4096,112,44,0.00012319,45.61824823443462
1,4096,112,48,0.000120282,46.72113865748823
1,4096,112,52,0.000120391,46.6788381191285
1,4096,112,56,0.000116304,48.31916357133031
1,4096,116,8,0.000171889,36.3233482072733
1,4096,116,12,0.000183256,34.07028419260488
1,4096,116,16,0.000157767,39.57471461078679
1,4096,116,20,0.000152803,40.86034960046596
1,4096,116,24,0.000145024,43.052074139452785
1,4096,116,28,0.000145117,43.024483692468834
1,4096,116,32,0.000137827,45.30015163937399
1,4096,116,36,0.000137382,45.446885327044306
1,4096,116,40,0.000132766,47.02697979904493
1,4096,116,44,0.000136184,45.84667802385009
1,4096,116,48,0.000133111,46.905094244652965
1,4096,116,52,0.000137125,45.53206198723792
1,4096,116,56,0.000133175,46.88255303172517
1,4096,120,8,0.000177036,39.04290652748594
1,4096,120,12,0.000201066,34.376771806272565
1,4096,120,16,0.000169815,40.70311809910785
1,4096,120,20,0.000164256,42.08065458796026
1,4096,120,24,0.000155107,44.5627856898786
1,4096,120,28,0.000156673,44.117365468204476
1,4096,120,32,0.000148534,46.53480011310541
1,4096,120,36,0.00015286,45.21784639539448
1,4096,120,40,0.000143788,48.07077085709517
1,4096,120,44,0.000145851,47.39083036797828
1,4096,120,48,0.000144267,47.91116471542348
1,4096,120,52,0.000146252,47.26089215873971
1,4096,120,56,0.00014437,47.87698275264945
1,4096,120,60,0.00014236,48.55296431581905
1,4096,124,8,0.000205818,37.05456276904839
1,4096,124,12,0.000225517,33.81783191511061
1,4096,124,16,0.000192818,39.55282183198664
1,4096,124,20,0.000188073,40.55072232590536
1,4096,124,24,0.000177198,43.03940225058974
1,4096,124,28,0.000178694,42.679082677650065
1,4096,124,32,0.000164631,46.32478694778019
1,4096,124,36,0.000167165,45.62256453204918
1,4096,124,40,0.000163436,46.66350130938104
1,4096,124,44,0.00016266,46.88611828353622
1,4096,124,48,0.000160352,47.560965875074835
1,4096,124,52,0.000163207,46.72897608558456
1,4096,124,56,0.000163953,46.51635529694485
1,4096,124,60,0.00016187,47.11494409093717
1,4096,128,8,0.000224072,37.43710950051769
1,4096,128,12,0.000243461,34.455654088334484
1,4096,128,16,0.000205369,40.846515296855905
1,4096,128,20,0.000203266,41.26911534639339
1,4096,128,24,0.000190986,43.922633072581235
1,4096,128,28,0.000191684,43.76269276517602
1,4096,128,32,0.000176861,47.43051322790214
1,4096,128,36,0.000181692,46.16938555357418
1,4096,128,40,0.000177082,47.37131950169977
1,4096,128,44,0.000176055,47.64765556218227
1,4096,128,48,0.000172379,48.663746744092954
1,4096,128,52,0.000176816,47.442584381503934
1,4096,128,56,0.000175375,47.83240484675695
1,4096,128,60,0.000175869,47.69804797889338
1,4096,128,64,0.000175218,47.87526395689941
1,4096,132,8,0.000241317,38.12359676276433
1,4096,132,12,0.000266633,34.503876114359436
1,4096,132,16,0.0002271,40.510224570673714
1,4096,132,20,0.00022453,40.9739099452189
1,4096,132,24,0.000212107,43.37373118284639
1,4096,132,28,0.000207895,44.25249284494577
1,4096,132,32,0.000197002,46.69938376260139
1,4096,132,36,0.000197071,46.68303301855676
1,4096,132,40,0.000197768,46.51850653290725
1,4096,132,44,0.000192372,47.82334227434346
1,4096,132,48,0.000187909,48.95918769191471
1,4096,132,52,0.000192742,47.731537495719664
1,4096,132,56,0.000191319,48.086557006883794
1,4096,132,60,0.000206152,44.626644417711205
1,4096,132,64,0.000194359,47.33442752843965
1,4096,136,8,0.000250413,40.18091712490965
1,4096,136,12,0.000288517,34.8742847041942
1,4096,136,16,0.000242088,41.56267142526685
1,4096,136,20,0.000237565,42.35398312040915
1,4096,136,24,0.000224842,44.75064267352185
1,4096,136,28,0.000222437,45.234488866510524
1,4096,136,32,0.000211847,47.49571152765911
1,4096,136,36,0.000213711,47.08145111856667
1,4096,136,40,0.000210831,47.72459458049338
1,4096,136,44,0.000212331,47.387446957815854
1,4096,136,48,0.000202464,49.69685474948633
1,4096,136,52,0.000204291,49.252409553039534
1,4096,136,56,0.000211355,47.606273804736105
1,4096,136,60,0.000215536,46.682800089080246
1,4096,136,64,0.000210218,47.86376047721889
1,4096,136,68,0.000210152,47.87879249305265
1,4096,140,8,0.000282927,38.79445934817108
1,4096,140,12,0.000313597,35.000334824631615
1,4096,140,16,0.000270735,40.54148890981957
1,4096,140,20,0.000258714,42.42522631168008
1,4096,140,24,0.000246734,44.48515405254241
1,4096,140,28,0.000242605,45.24226623523835
1,4096,140,32,0.000236126,46.48365703056843
1,4096,140,36,0.000229141,47.90063759868378
1,4096,140,40,0.000230092,47.7026580672079
1,4096,140,44,0.000229296,47.86825762333403
1,4096,140,48,0.000221372,49.581699582603036
1,4096,140,52,0.000228468,48.0417388868463
1,4096,140,56,0.000230823,47.55158714686144
1,4096,140,60,0.000235236,46.65952490265096
1,4096,140,64,0.000233111,47.08486515007871
1,4096,140,68,0.000231644,47.383053305934965
1,4096,144,8,0.000296914,40.226920926598275
1,4096,144,12,0.000336163,35.53019219842755
1,4096,144,16,0.000282622,42.261168628061505
1,4096,144,20,0.000280266,42.616428678469745
1,4096,144,24,0.000260016,45.93538859147129
1,4096,144,28,0.000264843,45.098175145274745
1,4096,144,32,0.000254746,46.88566650703054
1,4096,144,36,0.000245542,48.64314862630425
1,4096,144,40,0.000245092,48.732459647805726
1,4096,144,44,0.000252165,47.36555826542145
1,4096,144,48,0.000234837,50.860537308856784
1,4096,144,52,0.000244185,48.91347134344861
1,4096,144,56,0.000245727,48.606526755301616
1,4096,144,60,0.000250203,47.73698157096438
1,4096,144,64,0.000246872,48.38108817524872
1,4096,144,68,0.000246465,48.46098228957458
1,4096,144,72,0.000242282,49.29766140282811
1,4096,148,8,0.000329937,39.301951584696475
1,4096,148,12,0.000370551,34.99428688628556
1,4096,148,16,0.000315075,41.15581369515195
1,4096,148,20,0.000305399,42.45975920025934
1,4096,148,24,0.00028895,44.876857587817966
1,4096,148,28,0.000287728,45.06745259411666
1,4096,148,32,0.000272312,47.6187902112283
1,4096,148,36,0.000273425,47.42495382646064
1,4096,148,40,0.000266911,48.58236640677979
1,4096,148,44,0.000271491,47.762791400083245
1,4096,148,48,0.000270039,48.01961198197297
1,4096,148,52,0.000268371,48.31806715330644
1,4096,148,56,0.000265399,48.85914415653413
1,4096,148,60,0.000272102,47.65554093685457
1,4096,148,64,0.000270085,48.01143343762149
1,4096,148,68,0.000275606,47.049657844894526
1,4096,148,72,0.000268372,48.317887111919276
1,4096,152,8,0.000449221,31.270203307503436
1,4096,152,12,0.000398578,35.24337018099343
1,4096,152,16,0.000338126,41.54437103328345
1,4096,152,20,0.000328979,42.69947929807069
1,4096,152,24,0.000314404,44.678922660017044
1,4096,152,28,0.000311358,45.11601436288773
1,4096,152,32,0.000289071,48.594400683569084
1,4096,152,36,0.000294912,47.63194444444445
1,4096,152,40,0.000282826,49.667399744012215
1,4096,152,44,0.000298054,47.12982211277151
1,4096,152,48,0.000292119,48.08736165740674
1,4096,152,52,0.000286089,49.10091614847128
1,4096,152,56,0.000281478,49.905257249234396
1,4096,152,60,0.000286835,48.9732145658654
1,4096,152,64,0.000285696,49.168458781362006
1,4096,152,68,0.000289073,48.59406447506339
1,4096,152,72,0.000291602,48.17261884349216
1,4096,152,76,0.00028538,49.22290279627164
1,4096,156,8,0.000490269,30.974146845915204
1,4096,156,12,0.000429524,35.354634432534624
1,4096,156,16,0.000366415,41.44389285373143
1,4096,156,20,0.00035518,42.75483979953826
1,4096,156,24,0.000338907,44.80776142127486
1,4096,156,28,0.000334451,45.40474987367357
1,4096,156,32,0.000315487,48.134040388351984
1,4096,156,36,0.000321149,47.2854158038792
1,4096,156,40,0.000307509,49.382827819673565
1,4096,156,44,0.000321113,47.290716975021255
1,4096,156,48,0.000316787,47.936512546285044
1,4096,156,52,0.000309715,49.03108987294771
1,4096,156,56,0.00031031,48.93707582739841
1,4096,156,60,0.000311482,48.75294238511374
1,4096,156,64,0.000311397,48.766250156552566
1,4096,156,68,0.000312988,48.518358531317496
1,4096,156,72,0.000315862,48.07689433993327
1,4096,156,76,0.00031395,48.36968944099379
1,4096,160,8,0.000525841,31.15770736781651
1,4096,160,12,0.000459509,35.65544962122613
1,4096,160,16,0.000383348,42.739234324947574
1,4096,160,20,0.00037753,43.39787566551003
1,4096,160,24,0.000357424,45.839115448319085
1,4096,160,28,0.000356557,45.950577327047284
1,4096,160,32,0.000330763,49.53395633731706
1,4096,160,36,0.000339122,48.312996502733526
1,4096,160,40,0.000336688,48.66226298531578
1,4096,160,44,0.000342921,47.77776805736598
1,4096,160,48,0.000334149,49.032018650362566
1,4096,160,52,0.000336003,48.76146939164234
1,4096,160,56,0.000328318,49.902838102083955
1,4096,160,60,0.000333375,49.14585676790401
1,4096,160,64,0.000326616,50.162882406250766
1,4096,160,68,0.00033338,49.145119683244346
1,4096,160,72,0.000337508,48.544034511774534
1,4096,160,76,0.000341369,47.99498489903887
1,4096,160,80,0.000324227,50.53249729356284
1,4096,164,8,0.000563165,31.329674251773458
1,4096,164,12,0.000498844,35.36932588143788
1,4096,164,16,0.00042012,41.996991335808815
1,4096,164,20,0.000409969,43.03685400603461
1,4096,164,24,0.000384751,45.857648193247066
1,4096,164,28,0.000380989,46.31046040699338
1,4096,164,32,0.000363378,48.55488224383424
1,4096,164,36,0.000365801,48.23326344105128
1,4096,164,40,0.000367601,47.99708379465779
1,4096,164,44,0.000363465,48.54326001128032
1,4096,164,48,0.000358501,49.21541641445909
1,4096,164,52,0.000366232,48.176500141986494
1,4096,164,56,0.000352766,50.01552303793449
1,4096,164,60,0.000357681,49.32824500043335
1,4096,164,64,0.000350437,50.347925590048995
1,4096,164,68,0.000357473,49.356947237973216
1,4096,164,72,0.00035715,49.40158476830464
1,4096,164,76,0.000363221,48.5758697872645
1,4096,164,80,0.000353303,49.939502353503926
1,4096,168,8,0.000607378,31.226893302029378
1,4096,168,12,0.00052823,35.90581375537171
1,4096,168,16,0.000450244,42.12499888949104
1,4096,168,20,0.000442352,42.876550801171916
1,4096,168,24,0.000407663,46.5250169870702
1,4096,168,28,0.00040678,46.62600914499238
1,4096,168,32,0.000392222,48.356614366353746
1,4096,168,36,0.00039709,47.763801657055076
1,4096,168,40,0.000396671,47.8142541299969
1,4096,168,44,0.00039107,48.49906154908329
1,4096,168,48,0.000381849,49.67023090279141
1,4096,168,52,0.0003917,48.421056931325
1,4096,168,56,0.000374203,50.68513079798932
1,4096,168,60,0.000378937,50.051929476403735
1,4096,168,64,0.000376124,50.42626367899948
1,4096,168,68,0.000379506,49.97688574093691
1,4096,168,72,0.000379852,49.931362741278186
1,4096,168,76,0.000384537,49.32302483246085
1,4096,168,80,0.00038317,49.49899000443668
1,4096,168,84,0.000377769,50.20668186113736
1,4096,172,8,0.000662135,30.739640707710663
1,4096,172,12,0.00058389,34.858949459658504
1,4096,172,16,0.000491475,41.41368736965257
1,4096,172,20,0.000478514,42.53541589169805
1,4096,172,24,0.00044713,45.5209715295328
1,4096,172,28,0.000445904,45.64613010872296
1,4096,172,32,0.000424933,47.898826403221214
1,4096,172,36,0.000429261,47.41588916766256
1,4096,172,40,0.000428072,47.54759012502569
1,4096,172,44,0.000420693,48.38157991694656
1,4096,172,48,0.000412629,49.32710013111051
1,4096,172,52,0.00041816,48.67465085134877
1,4096,172,56,0.000412701,49.318494503284455
1,4096,172,60,0.000410974,49.52574128777003
1,4096,172,64,0.000409161,49.74519076842612
1,4096,172,68,0.000410856,49.53996534065463
1,4096,172,72,0.00041109,49.51176627989005
1,4096,172,76,0.000415757,48.9559814988082
1,4096,172,80,0.000412929,49.291263146933254
1,4096,172,84,0.000411692,49.43936729399648
1,4096,176,8,0.000695498,31.354660976738966
1,4096,176,12,0.000614039,35.514200238095626
1,4096,176,16,0.000509083,42.83604834575108
1,4096,176,20,0.00049687,43.8889528448085
1,4096,176,24,0.000477719,45.648391627714204
1,4096,176,28,0.000484113,45.04548318264538
1,4096,176,32,0.000443346,49.18755103237652
1,4096,176,36,0.000447032,48.78197533957301
1,4096,176,40,0.000445318,48.96973398784689
1,4096,176,44,0.00044291,49.23597119053532
1,4096,176,48,0.000429244,50.80351501709983
1,4096,176,52,0.000439088,49.664541048719165
1,4096,176,56,0.000439894,49.57354271710912
1,4096,176,60,0.000429546,50.76779669697774
1,4096,176,64,0.00042534,51.26981708750646
1,4096,176,68,0.000429536,50.768978618788644
1,4096,176,72,0.000426399,51.14248391764521
1,4096,176,76,0.000434851,50.148450848681506
1,4096,176,80,0.00043227,50.44787748397992
1,4096,176,84,0.00043877,49.70053558812134
1,4096,176,88,0.000424029,51.42833155279474
1,4096,180,8,0.000739932,31.527221420346734
1,4096,180,12,0.000648284,35.98422913414491
1,4096,180,16,0.00054716,42.63469551867827
1,4096,180,20,0.000530478,43.975433476977365
1,4096,180,24,0.000505861,46.11543487242543
1,4096,180,28,0.000508364,45.88837919286181
1,4096,180,32,0.000486321,47.96831722257521
1,4096,180,36,0.000481221,48.4766874263592
1,4096,180,40,0.000478412,48.76131869601933
1,4096,180,44,0.000480827,48.51641026814218
1,4096,180,48,0.00045949,50.76933121504276
1,4096,180,52,0.000466112,50.04805711931896
1,4096,180,56,0.000467733,49.87460794940703
1,4096,180,60,0.000459896,50.72451162871606
1,4096,180,64,0.000455372,51.22844619344185
