threads,size,nb,ib,GFlops
16,4096,404,8,140.3643
16,4096,404,12,169.6706
16,4096,404,16,192.9405
16,4096,404,20,201.1708
16,4096,404,24,216.7175
16,4096,404,28,216.9165
16,4096,404,32,221.9574
16,4096,404,36,227.9578
16,4096,404,40,236.8817
16,4096,404,44,231.1735
16,4096,404,48,236.9935
16,4096,404,52,233.6074
16,4096,404,56,228.929
16,4096,404,60,237.1195
16,4096,404,64,241.0342
16,4096,404,68,236.3033
16,4096,404,72,237.6124
16,4096,404,76,231.2599
16,4096,404,80,234.8566
16,4096,404,84,238.4871
16,4096,404,88,233.3333
16,4096,404,92,230.8453
16,4096,404,96,229.2231
16,4096,404,100,224.592
16,4096,404,104,233.369
16,4096,404,108,231.3364
16,4096,404,112,229.4391
16,4096,404,116,227.187
16,4096,404,120,225.9226
16,4096,404,124,221.1297
16,4096,404,128,218.3123
16,4096,404,132,217.226
16,4096,404,136,219.3346
16,4096,404,140,219.4329
16,4096,404,144,212.698
16,4096,404,148,217.847
16,4096,404,152,213.2349
16,4096,404,156,213.8673
16,4096,404,160,214.3909
16,4096,404,164,210.8031
16,4096,404,168,211.8171
16,4096,404,172,208.0188
16,4096,404,176,206.4255
16,4096,404,180,201.3326
16,4096,404,184,200.0098
16,4096,404,188,197.4855
16,4096,404,192,195.7964
16,4096,404,196,195.3502
16,4096,404,200,194.1076
16,4096,408,8,143.1805
16,4096,408,12,172.5506
16,4096,408,16,192.0974
16,4096,408,20,194.9199
16,4096,408,24,211.1612
16,4096,408,28,217.308
16,4096,408,32,225.4644
16,4096,408,36,223.5519
16,4096,408,40,229.893
16,4096,408,44,230.6811
16,4096,408,48,232.6187
16,4096,408,52,231.4567
16,4096,408,56,230.389
16,4096,408,60,235.3648
16,4096,408,64,233.255
16,4096,408,68,229.2417
16,4096,408,72,237.5059
16,4096,408,76,233.9423
16,4096,408,80,232.5144
16,4096,408,84,233.5793
16,4096,408,88,227.9404
16,4096,408,92,226.0621
16,4096,408,96,226.161
16,4096,408,100,225.2765
16,4096,408,104,230.3804
16,4096,408,108,227.8385
16,4096,408,112,228.3765
16,4096,408,116,225.3935
16,4096,408,120,223.8163
16,4096,408,124,221.9369
16,4096,408,128,219.8515
16,4096,408,132,216.0261
16,4096,408,136,219.8767
16,4096,408,140,217.3598
16,4096,408,144,218.5071
16,4096,408,148,212.9794
16,4096,408,152,217.062
16,4096,408,156,210.281
16,4096,408,160,211.2622
16,4096,408,164,216.57
16,4096,408,168,212.1527
16,4096,408,172,204.7493
16,4096,408,176,205.5037
16,4096,408,180,206.5143
16,4096,408,184,204.7813
16,4096,408,188,192.1674
16,4096,408,192,197.9636
16,4096,408,196,194.2147
16,4096,408,200,183.7894
16,4096,408,204,191.7557
