trial,threads,size,nb,ib,GFlops
1,4,4096,32,8,24.7886
1,4,4096,32,16,33.3931
1,4,4096,64,16,61.864
1,4,4096,64,32,67.4604
1,4,4096,128,32,94.2456
1,4,4096,192,48,101.8937
1,4,4096,224,56,106.6723
1,4,4096,232,48,111.3725
1,4,4096,320,64,109.2453
1,4,4096,448,112,107.1058
2,4,4096,32,8,25.057
2,4,4096,32,16,33.4996
2,4,4096,64,16,62.561
2,4,4096,64,32,70.1953
2,4,4096,128,32,94.2968
2,4,4096,192,48,108.6092
2,4,4096,224,56,110.0118
2,4,4096,232,48,112.0604
2,4,4096,320,64,112.616
2,4,4096,448,112,108.9155
3,4,4096,32,8,25.0368
3,4,4096,32,16,32.9663
3,4,4096,64,16,62.503
3,4,4096,64,32,68.3841
3,4,4096,128,32,94.2962
3,4,4096,192,48,108.7718
3,4,4096,224,56,110.5448
3,4,4096,232,48,111.9359
3,4,4096,320,64,113.1937
3,4,4096,448,112,108.9033
4,4,4096,32,8,24.8758
4,4,4096,32,16,33.5513
4,4,4096,64,16,62.5189
4,4,4096,64,32,70.0982
4,4,4096,128,32,94.2735
4,4,4096,192,48,106.104
4,4,4096,224,56,110.5994
4,4,4096,232,48,109.0292
4,4,4096,320,64,112.3618
4,4,4096,448,112,108.3353
5,4,4096,32,8,24.7563
5,4,4096,32,16,33.3868
5,4,4096,64,16,62.6498
5,4,4096,64,32,69.0458
5,4,4096,128,32,94.2253
5,4,4096,192,48,108.8459
5,4,4096,224,56,110.47
5,4,4096,232,48,111.4841
5,4,4096,320,64,112.4504
5,4,4096,448,112,108.3075
