# i5-7400 size=4096 threads=4 の代表10点。GFlops は5トライアルの平均。
# june   : 2026-06-24 の計測（raw/qr_sweep/i5-7400_s1_smt-off/*size4096*）
# ch1    : 2026-08-31 ChannelB-DIMM1 を抜いた状態
# ch2    : 2026-08-31 2枚挿し（出荷構成）
nb,ib,june_gflops,ch1_gflops,ch2_gflops,ch1_over_june,ch2_over_ch1
32,8,24.11,23.61,25.01,0.979,1.059
32,16,31.10,30.64,33.09,0.985,1.080
64,16,56.75,56.46,62.09,0.995,1.100
64,32,61.46,61.97,69.02,1.008,1.114
128,32,83.50,84.82,92.31,1.016,1.088
192,48,96.91,98.20,108.16,1.013,1.101
224,56,97.34,98.59,109.57,1.013,1.111
232,48,98.87,99.58,110.97,1.007,1.114
320,64,95.17,95.55,112.30,1.004,1.175
448,112,87.40,88.60,107.57,1.014,1.214
